DUT S/N,28285D1AE364
DUT MAC,28285D1AE364
;;Test Name,CH,Dmod,Rate,Ants,Data,Unit,LimitLo,LimitHi,P/F,ReTest,UsedTime,Remark
Tx EVM,36.000000,802.11A ,OFDM54,1,-12.216100,dB,-9999,-25.00,FAIL,0,?,Power = 13.50dBm
Tx Freq Error,36.000000,802.11A ,OFDM54,1,NaN,ppm,-20,20,FAIL,0,?,Power = 13.50dBm
Tx Power,36.000000,802.11A ,OFDM54,1,2.73,dBm,-2.50,2.5,FAIL,0,?,Power = 13.50dBm
Tx Mask,36.000000,802.11A ,OFDM54,1,4.14,%,0,5,PASS,0,?,Power = 13.50dBm
Tx EVM,36.000000,802.11A ,OFDM54,2,0.000000,dB,-9999,-25.00,FAIL,0,?,Power = 13.50dBm
Tx Freq Error,36.000000,802.11A ,OFDM54,2,NaN,ppm,-20,20,FAIL,0,?,Power = 13.50dBm
Tx Power,36.000000,802.11A ,OFDM54,2,2.33,dBm,-2.50,2.5,FAIL,0,?,Power = 13.50dBm
Tx Mask,36.000000,802.11A ,OFDM54,2,3.34,%,0,5,PASS,0,?,Power = 13.50dBm
Tx EVM,36.000000,802.11A ,OFDM54,4,-18.058100,dB,-9999,-25.00,FAIL,0,?,Power = 13.50dBm
Tx Freq Error,36.000000,802.11A ,OFDM54,4,NaN,ppm,-20,20,FAIL,0,?,Power = 13.50dBm
Tx Power,36.000000,802.11A ,OFDM54,4,0.53,dBm,-2.50,2.5,FAIL,0,?,Power = 13.50dBm
Tx Mask,36.000000,802.11A ,OFDM54,4,0.00,%,0,5,PASS,0,?,Power = 13.50dBm
