DUT S/N,28285D1AE364
DUT MAC,28285D1AE364
;;Test Name,CH,Dmod,Rate,Ants,Data,Unit,LimitLo,LimitHi,P/F,ReTest,UsedTime,Remark
Tx EVM,-517.600000,802.11B,CCA,1,24.198600,dB,-9999,-5.00,FAIL,0,?,Power = 13.50dBm
Tx Freq Error,-517.600000,802.11B,CCA,1,-8.30,ppm,-20,20,PASS,0,?,Power = 13.50dBm
Tx Power,-517.600000,802.11B,CCA,1,-16.53,dBm,-2.50,2.5,FAIL,0,?,Power = 13.50dBm
Tx Mask,-517.600000,802.11B,CCA,1,0.00,%,0,5,PASS,0,?,Power = 13.50dBm
Tx EVM,-517.600000,802.11B,CCA,2,22.572100,dB,-9999,-5.00,FAIL,0,?,Power = 13.50dBm
Tx Freq Error,-517.600000,802.11B,CCA,2,-8.42,ppm,-20,20,PASS,0,?,Power = 13.50dBm
Tx Power,-517.600000,802.11B,CCA,2,-17.27,dBm,-2.50,2.5,FAIL,0,?,Power = 13.50dBm
Tx Mask,-517.600000,802.11B,CCA,2,0.00,%,0,5,PASS,0,?,Power = 13.50dBm
Tx EVM,-517.600000,802.11N,MCS7,1,-35.355000,dB,-9999,-28.00,PASS,0,?,Power = 13.50dBm
Tx Freq Error,-517.600000,802.11N,MCS7,1,-8.43,ppm,-20,20,PASS,0,?,Power = 13.50dBm
Tx Power,-517.600000,802.11N,MCS7,1,-19.68,dBm,-2.50,2.5,FAIL,0,?,Power = 13.50dBm
Tx Mask,-517.600000,802.11N,MCS7,1,0.00,%,0,5,PASS,0,?,Power = 13.50dBm
Tx EVM,-517.600000,802.11N,MCS7,2,-35.069700,dB,-9999,-28.00,PASS,0,?,Power = 13.50dBm
Tx Freq Error,-517.600000,802.11N,MCS7,2,-8.43,ppm,-20,20,PASS,0,?,Power = 13.50dBm
Tx Power,-517.600000,802.11N,MCS7,2,-20.31,dBm,-2.50,2.5,FAIL,0,?,Power = 13.50dBm
Tx Mask,-517.600000,802.11N,MCS7,2,0.00,%,0,5,PASS,0,?,Power = 13.50dBm
Rx SEN,-518,802.11B,CCA,1.000000,100.00,%,0,10,FAIL,0,?,100 pkts @-82.000000dBm
Rx SEN,-518,802.11B,CCA,2.000000,100.00,%,0,10,FAIL,0,?,100 pkts @-82.000000dBm
Rx SEN,-518,802.11N,MCS7,1.000000,9.00,%,0,10,PASS,0,?,100 pkts @-82.000000dBm
Rx SEN,-518,802.11N,MCS7,2.000000,15.00,%,0,10,FAIL,0,?,100 pkts @-82.000000dBm
