DUT S/N,28285D1AE364
DUT MAC,28285D1AE364
;;Test Name,CH,Dmod,Rate,Ants,Data,Unit,LimitLo,LimitHi,P/F,ReTest,UsedTime,Remark
Tx EVM,36.000000,802.11A ,OFDM54,1,-37.922100,dB,-9999,-25.00,PASS,0,?,Power = 13.50dBm
Tx Freq Error,36.000000,802.11A ,OFDM54,1,1.90,ppm,-20,20,PASS,0,?,Power = 13.50dBm
Tx Power,36.000000,802.11A ,OFDM54,1,-20.04,dBm,-2.50,2.5,FAIL,0,?,Power = 13.50dBm
Tx Mask,36.000000,802.11A ,OFDM54,1,0.00,%,0,5,PASS,0,?,Power = 13.50dBm
Tx EVM,36.000000,802.11A ,OFDM54,2,-38.275000,dB,-9999,-25.00,PASS,0,?,Power = 13.50dBm
Tx Freq Error,36.000000,802.11A ,OFDM54,2,1.92,ppm,-20,20,PASS,0,?,Power = 13.50dBm
Tx Power,36.000000,802.11A ,OFDM54,2,-18.72,dBm,-2.50,2.5,FAIL,0,?,Power = 13.50dBm
Tx Mask,36.000000,802.11A ,OFDM54,2,0.00,%,0,5,PASS,0,?,Power = 13.50dBm
Tx EVM,36.000000,802.11A ,OFDM54,4,-38.463700,dB,-9999,-25.00,PASS,0,?,Power = 13.50dBm
Tx Freq Error,36.000000,802.11A ,OFDM54,4,1.93,ppm,-20,20,PASS,0,?,Power = 13.50dBm
Tx Power,36.000000,802.11A ,OFDM54,4,-19.40,dBm,-2.50,2.5,FAIL,0,?,Power = 13.50dBm
Tx Mask,36.000000,802.11A ,OFDM54,4,0.00,%,0,5,PASS,0,?,Power = 13.50dBm
Tx EVM,36.000000,802.11N,MCS7,1,-38.164900,dB,-9999,-28.00,PASS,0,?,Power = 13.50dBm
Tx Freq Error,36.000000,802.11N,MCS7,1,1.94,ppm,-20,20,PASS,0,?,Power = 13.50dBm
Tx Power,36.000000,802.11N,MCS7,1,-19.79,dBm,-2.50,2.5,FAIL,0,?,Power = 13.50dBm
Tx Mask,36.000000,802.11N,MCS7,1,0.00,%,0,5,PASS,0,?,Power = 13.50dBm
Tx EVM,36.000000,802.11N,MCS7,2,-38.150800,dB,-9999,-28.00,PASS,0,?,Power = 13.50dBm
Tx Freq Error,36.000000,802.11N,MCS7,2,1.95,ppm,-20,20,PASS,0,?,Power = 13.50dBm
Tx Power,36.000000,802.11N,MCS7,2,-18.93,dBm,-2.50,2.5,FAIL,0,?,Power = 13.50dBm
Tx Mask,36.000000,802.11N,MCS7,2,0.00,%,0,5,PASS,0,?,Power = 13.50dBm
Tx EVM,36.000000,802.11N,MCS7,4,-38.306900,dB,-9999,-28.00,PASS,0,?,Power = 13.50dBm
Tx Freq Error,36.000000,802.11N,MCS7,4,1.96,ppm,-20,20,PASS,0,?,Power = 13.50dBm
Tx Power,36.000000,802.11N,MCS7,4,-18.69,dBm,-2.50,2.5,FAIL,0,?,Power = 13.50dBm
Tx Mask,36.000000,802.11N,MCS7,4,0.00,%,0,5,PASS,0,?,Power = 13.50dBm
Tx EVM,36.000000,802.11AC 80M,MCS9,1,-34.480700,dB,-9999,-32.00,PASS,0,?,Power = 13.50dBm
Tx Freq Error,36.000000,802.11AC 80M,MCS9,1,1.96,ppm,-20,20,PASS,0,?,Power = 13.50dBm
Tx Power,36.000000,802.11AC 80M,MCS9,1,-18.89,dBm,-2.50,2.5,FAIL,0,?,Power = 13.50dBm
Tx Mask,36.000000,802.11AC 80M,MCS9,1,0.00,%,0,5,PASS,0,?,Power = 13.50dBm
Tx EVM,36.000000,802.11AC 80M,MCS9,2,-34.248500,dB,-9999,-32.00,PASS,0,?,Power = 13.50dBm
Tx Freq Error,36.000000,802.11AC 80M,MCS9,2,1.97,ppm,-20,20,PASS,0,?,Power = 13.50dBm
Tx Power,36.000000,802.11AC 80M,MCS9,2,-19.50,dBm,-2.50,2.5,FAIL,0,?,Power = 13.50dBm
Tx Mask,36.000000,802.11AC 80M,MCS9,2,0.00,%,0,5,PASS,0,?,Power = 13.50dBm
Tx EVM,36.000000,802.11AC 80M,MCS9,4,-34.269400,dB,-9999,-32.00,PASS,0,?,Power = 13.50dBm
Tx Freq Error,36.000000,802.11AC 80M,MCS9,4,1.97,ppm,-20,20,PASS,0,?,Power = 13.50dBm
Tx Power,36.000000,802.11AC 80M,MCS9,4,-19.99,dBm,-2.50,2.5,FAIL,0,?,Power = 13.50dBm
Tx Mask,36.000000,802.11AC 80M,MCS9,4,0.00,%,0,5,PASS,0,?,Power = 13.50dBm
Rx SEN,36,802.11A ,OFDM54,1.000000,47.00,%,0,10,FAIL,0,?,100 pkts @-82.000000dBm
Rx SEN,36,802.11A ,OFDM54,2.000000,3.00,%,0,10,PASS,0,?,100 pkts @-82.000000dBm
Rx SEN,36,802.11A ,OFDM54,4.000000,3.00,%,0,10,PASS,0,?,100 pkts @-82.000000dBm
Rx SEN,36,802.11N,MCS7,1.000000,3.00,%,0,10,PASS,0,?,100 pkts @-82.000000dBm
Rx SEN,36,802.11N,MCS7,2.000000,3.00,%,0,10,PASS,0,?,100 pkts @-82.000000dBm
Rx SEN,36,802.11N,MCS7,4.000000,3.00,%,0,10,PASS,0,?,100 pkts @-82.000000dBm
Rx SEN,36,802.11AC 80M,MCS9,1.000000,3.00,%,0,10,PASS,0,?,100 pkts @-82.000000dBm
Rx SEN,36,802.11AC 80M,MCS9,2.000000,3.00,%,0,10,PASS,0,?,100 pkts @-82.000000dBm
Rx SEN,36,802.11AC 80M,MCS9,4.000000,3.00,%,0,10,PASS,0,?,100 pkts @-82.000000dBm
