Channel Frequency(Hz),Power Level(dBm),Channel Bandwidth(Hz),DataRate/MCS Index,Frame Format,DUT Configuration Time,IQ demod Meas Time,RMS EVM(dB),Min Peak Power(dBm),Max Peak Power(dBm),Avg. Power(dBm),Min Avg. Power(dBm),Max Avg. Power(dBm),Frequency Offset(ppm),SampleClockOffset(ppm),LO Leakage(dB),GainImbalance(dB),Skew(deg),RMS Phase Noise(deg),SpectralFlatnessMargin(dB), Min SpectralFlatnessMargin(dB),Min SFM Subcarrier Index
2412000000.000000,0.000000,20000000.000000,4,Mixedmode,0.082000,0.111000,-32.660000,8.520000,10.840000,0.520000,0.430000,0.620000,3.870000,3.470000,-49.180000,0.040000,-0.090000,0.450000,3.650000,3.690000,-17.000000
2442000000.000000,0.000000,20000000.000000,4,Mixedmode,0.082000,0.109000,-32.140000,8.360000,10.340000,0.410000,0.330000,0.520000,3.880000,2.780000,-36.730000,0.030000,0.010000,0.500000,3.560000,3.540000,-21.000000
2472000000.000000,0.000000,20000000.000000,4,Mixedmode,0.082000,0.113000,-32.750000,8.210000,9.970000,0.370000,0.300000,0.480000,4.090000,3.590000,-35.950000,0.020000,-0.250000,0.470000,3.590000,3.580000,-21.000000
5180000000.000000,0.000000,20000000.000000,4,Mixedmode,0.083000,0.110000,-25.490000,8.190000,10.040000,-0.210000,-0.290000,-0.100000,3.850000,1.210000,-45.590000,0.030000,0.590000,1.250000,3.580000,3.630000,-15.000000
5500000000.000000,0.000000,20000000.000000,4,Mixedmode,0.082000,0.109000,-20.360000,6.870000,8.000000,-0.030000,-0.120000,0.060000,3.960000,0.930000,-42.700000,0.040000,-0.930000,1.420000,3.360000,3.350000,14.000000
5700000000.000000,0.000000,20000000.000000,4,Mixedmode,0.082000,0.106000,-20.070000,6.540000,7.600000,0.140000,0.080000,0.220000,3.990000,-4.170000,-40.090000,0.050000,-1.010000,1.350000,3.360000,3.420000,27.000000
2412000000.000000,0.000000,20000000.000000,7,Mixedmode,0.082000,0.109000,-32.030000,8.760000,10.850000,0.490000,0.410000,0.550000,3.950000,4.410000,-50.190000,0.030000,-0.310000,0.430000,3.620000,3.580000,-18.000000
2442000000.000000,0.000000,20000000.000000,7,Mixedmode,0.082000,0.110000,-31.730000,8.620000,10.770000,0.390000,0.310000,0.460000,3.950000,3.370000,-36.890000,0.020000,-0.320000,0.450000,3.540000,3.530000,-18.000000
2472000000.000000,0.000000,20000000.000000,7,Mixedmode,0.082000,0.110000,-32.260000,8.530000,10.290000,0.350000,0.290000,0.420000,3.860000,3.590000,-36.570000,0.050000,-0.370000,0.530000,3.570000,3.600000,-20.000000
5180000000.000000,0.000000,20000000.000000,7,Mixedmode,0.082000,0.109000,-25.180000,8.540000,9.880000,-0.200000,-0.280000,-0.090000,3.670000,5.450000,-43.290000,0.080000,0.680000,1.510000,3.580000,3.460000,14.000000
5500000000.000000,0.000000,20000000.000000,7,Mixedmode,0.082000,0.105000,-20.840000,7.190000,7.770000,-0.030000,-0.130000,0.090000,4.120000,-3.430000,-41.870000,0.020000,-0.920000,1.530000,3.470000,3.450000,14.000000
5700000000.000000,0.000000,20000000.000000,7,Mixedmode,0.082000,0.107000,-20.600000,6.900000,7.920000,0.110000,0.020000,0.200000,4.070000,1.240000,-40.260000,0.050000,-0.930000,1.350000,3.360000,3.370000,10.000000
