Channel Frequency(Hz),Power Level(dBm),Channel Bandwidth(Hz),DataRate/MCS Index,Frame Format,DUT Configuration Time,IQ demod Meas Time,RMS EVM(dB),Min Peak Power(dBm),Max Peak Power(dBm),Avg. Power(dBm),Min Avg. Power(dBm),Max Avg. Power(dBm),Frequency Offset(ppm),SampleClockOffset(ppm),LO Leakage(dB),GainImbalance(dB),Skew(deg),RMS Phase Noise(deg),SpectralFlatnessMargin(dB), Min SpectralFlatnessMargin(dB),Min SFM Subcarrier Index
2412000000.000000,0.000000,20000000.000000,18Mbps,OFDM,0.082000,0.177000,-33.140000,8.610000,10.410000,0.900000,0.580000,1.190000,-70.080000,-70.110000,-47.470000,0.020000,-0.110000,0.350000,3.690000,3.670000,-14.000000
2442000000.000000,0.000000,20000000.000000,18Mbps,OFDM,0.083000,0.171000,-33.410000,8.350000,9.790000,0.690000,0.480000,1.030000,-70.040000,-70.280000,-36.520000,0.030000,0.040000,0.370000,3.620000,3.620000,-19.000000
2472000000.000000,0.000000,20000000.000000,18Mbps,OFDM,0.082000,0.174000,-33.340000,8.490000,10.930000,0.860000,0.390000,1.000000,-69.990000,-70.530000,-47.040000,0.010000,-0.140000,0.390000,3.600000,3.600000,-21.000000
5180000000.000000,0.000000,20000000.000000,18Mbps,OFDM,0.083000,0.168000,-27.260000,6.460000,8.590000,-1.720000,-1.790000,-1.670000,-70.110000,-70.670000,-44.880000,0.080000,-0.520000,1.110000,3.600000,3.720000,-2.000000
5500000000.000000,0.000000,20000000.000000,18Mbps,OFDM,0.082000,0.176000,-22.630000,6.190000,7.020000,-1.040000,-1.350000,-0.770000,-69.830000,-67.490000,-49.010000,-0.090000,0.050000,1.190000,3.540000,3.600000,4.000000
5700000000.000000,0.000000,20000000.000000,18Mbps,OFDM,0.083000,0.156000,-24.110000,4.900000,6.130000,-2.520000,-2.570000,-2.440000,-69.940000,-74.690000,-44.800000,0.140000,0.140000,1.030000,3.600000,3.580000,2.000000
2412000000.000000,0.000000,20000000.000000,54Mbps,OFDM,0.082000,0.156000,-33.410000,9.490000,10.740000,1.030000,0.800000,1.250000,-70.030000,-70.600000,-46.540000,0.020000,0.080000,0.340000,3.690000,3.700000,-19.000000
2442000000.000000,0.000000,20000000.000000,54Mbps,OFDM,0.082000,0.133000,-33.700000,8.070000,10.220000,0.830000,0.780000,0.880000,-70.040000,-70.790000,-35.300000,0.010000,-0.140000,0.310000,3.620000,3.630000,-21.000000
2472000000.000000,0.000000,20000000.000000,54Mbps,OFDM,0.082000,0.136000,-32.910000,8.330000,10.290000,0.910000,0.810000,1.030000,-70.030000,-67.080000,-46.860000,0.020000,-0.170000,0.360000,3.610000,3.600000,-18.000000
5180000000.000000,0.000000,20000000.000000,54Mbps,OFDM,0.082000,0.157000,-27.310000,6.020000,7.250000,-1.760000,-1.840000,-1.610000,-70.050000,-72.140000,-44.980000,0.100000,-0.630000,1.090000,3.600000,3.380000,1.000000
5500000000.000000,0.000000,20000000.000000,54Mbps,OFDM,0.082000,0.133000,-22.080000,6.140000,7.580000,-0.760000,-0.860000,-0.650000,-69.830000,-67.910000,-48.080000,-0.100000,0.070000,1.250000,3.550000,3.550000,-12.000000
5700000000.000000,0.000000,20000000.000000,54Mbps,OFDM,0.081000,0.142000,-24.130000,4.660000,5.910000,-2.510000,-2.630000,-2.310000,-70.030000,-70.390000,-45.050000,0.180000,0.260000,1.090000,3.610000,3.660000,2.000000
