Standard,Frequency(Hz),Channel BW(Hz),Data Rate/MCS Index,Frame Format,Payload Length,Power Level,# Packets Transmitted,#Packets Received,PER(%),Measurment Time(min)
802.11 A/G OFDM,2412000000.000000,20000000.000000,18Mbps,OFDM,634,-67.000000,100,100,0.000000,0.055533
802.11 A/G OFDM,2412000000.000000,20000000.000000,18Mbps,OFDM,634,-68.000000,100,100,0.000000,
802.11 A/G OFDM,2412000000.000000,20000000.000000,18Mbps,OFDM,634,-69.000000,100,100,0.000000,
802.11 A/G OFDM,2412000000.000000,20000000.000000,18Mbps,OFDM,634,-70.000000,100,100,0.000000,
802.11 A/G OFDM,2412000000.000000,20000000.000000,18Mbps,OFDM,634,-71.000000,100,100,0.000000,
802.11 A/G OFDM,2412000000.000000,20000000.000000,18Mbps,OFDM,634,-72.000000,100,100,0.000000,
802.11 A/G OFDM,2412000000.000000,20000000.000000,18Mbps,OFDM,634,-73.000000,100,100,0.000000,
802.11 A/G OFDM,2412000000.000000,20000000.000000,18Mbps,OFDM,634,-74.000000,100,100,0.000000,
802.11 A/G OFDM,2412000000.000000,20000000.000000,18Mbps,OFDM,634,-75.000000,100,100,0.000000,
802.11 A/G OFDM,2412000000.000000,20000000.000000,18Mbps,OFDM,634,-76.000000,100,100,0.000000,
802.11 A/G OFDM,2412000000.000000,20000000.000000,18Mbps,OFDM,634,-77.000000,100,100,0.000000,
802.11 A/G OFDM,2412000000.000000,20000000.000000,18Mbps,OFDM,634,-78.000000,100,100,0.000000,
802.11 A/G OFDM,2412000000.000000,20000000.000000,18Mbps,OFDM,634,-79.000000,100,100,0.000000,
802.11 A/G OFDM,2412000000.000000,20000000.000000,18Mbps,OFDM,634,-80.000000,100,100,0.000000,
802.11 A/G OFDM,2412000000.000000,20000000.000000,18Mbps,OFDM,634,-81.000000,100,100,0.000000,
802.11 A/G OFDM,2412000000.000000,20000000.000000,18Mbps,OFDM,634,-82.000000,100,100,0.000000,
802.11 A/G OFDM,2412000000.000000,20000000.000000,18Mbps,OFDM,634,-83.000000,100,100,0.000000,
802.11 A/G OFDM,2412000000.000000,20000000.000000,18Mbps,OFDM,634,-84.000000,100,100,0.000000,
802.11 A/G OFDM,2412000000.000000,20000000.000000,18Mbps,OFDM,634,-85.000000,100,99,1.000000,
802.11 A/G OFDM,2412000000.000000,20000000.000000,18Mbps,OFDM,634,-86.000000,100,99,1.000000,
802.11 A/G OFDM,2412000000.000000,20000000.000000,18Mbps,OFDM,634,-87.000000,100,96,4.000000,
802.11 A/G OFDM,5180000000.000000,20000000.000000,18Mbps,OFDM,634,-67.000000,100,100,0.000000,0.042417
802.11 A/G OFDM,5180000000.000000,20000000.000000,18Mbps,OFDM,634,-68.000000,100,100,0.000000,
802.11 A/G OFDM,5180000000.000000,20000000.000000,18Mbps,OFDM,634,-69.000000,100,100,0.000000,
802.11 A/G OFDM,5180000000.000000,20000000.000000,18Mbps,OFDM,634,-70.000000,100,100,0.000000,
