Channel Frequency(Hz),Power Level(dBm),Channel BW(Hz),DataRate/MCS Index,Frame Format,DUT Configuration Time,IQ Spectrum Meas Time,SM Violation(%) ,SMM(dB),SMM(dB)(-33MHz  -  -30MHz) ,SMM(dB)(-30MHz  -  -20MHz) ,SMM(dB)(-20MHz  -  -11MHz) ,SMM(dB)(-11MHz  -  9MHz) ,SMM(dB)(-9MHz  -  9MHz) ,SMM(dB)(9MHz  -  11MHz) ,SMM(dB)(11MHz  -  20MHz) ,SMM(20MHz  -  30Hz) ,SMM(30MHz  -  33MHz) 
2412000000.000000,0.000000,20000000.000000,18Mbps,OFDM,0.082000,0.022000,0.000000,0.000000,19.050000,19.090000,10.820000,10.400000,0.000000,10.620000,9.760000,19.560000,19.970000
2442000000.000000,0.000000,20000000.000000,18Mbps,OFDM,0.242000,0.020000,0.000000,0.000000,19.300000,19.660000,10.600000,10.710000,0.000000,11.290000,10.140000,20.070000,19.870000
2472000000.000000,0.000000,20000000.000000,18Mbps,OFDM,0.082000,0.020000,0.000000,0.000000,17.560000,18.780000,9.560000,9.620000,0.000000,10.980000,9.720000,20.000000,19.160000
5180000000.000000,0.000000,20000000.000000,18Mbps,OFDM,0.082000,0.021000,0.000000,0.000000,11.870000,8.890000,5.740000,8.460000,0.000000,9.910000,5.810000,7.230000,12.850000
5500000000.000000,0.000000,20000000.000000,18Mbps,OFDM,0.082000,0.020000,1.280000,-1.510000,6.000000,1.430000,-1.510000,3.360000,0.000000,7.480000,1.680000,2.570000,8.410000
5700000000.000000,0.000000,20000000.000000,18Mbps,OFDM,0.082000,0.020000,1.590000,-1.900000,7.450000,1.610000,-1.730000,3.730000,0.000000,3.670000,-1.900000,1.890000,8.680000
2412000000.000000,0.000000,20000000.000000,54Mbps,OFDM,0.082000,0.019000,0.000000,0.000000,19.400000,20.450000,10.050000,9.920000,0.000000,11.800000,10.530000,20.630000,19.620000
2442000000.000000,0.000000,20000000.000000,54Mbps,OFDM,0.283000,0.020000,0.000000,0.000000,18.970000,19.830000,11.400000,10.740000,0.000000,11.800000,10.670000,21.230000,20.180000
2472000000.000000,0.000000,20000000.000000,54Mbps,OFDM,0.082000,0.020000,0.000000,0.000000,18.950000,20.350000,11.290000,11.190000,0.000000,11.840000,10.900000,20.520000,19.490000
5180000000.000000,0.000000,20000000.000000,54Mbps,OFDM,0.082000,0.139000,0.000000,0.000000,12.700000,9.900000,4.970000,7.370000,0.000000,8.250000,5.610000,8.780000,11.840000
5500000000.000000,0.000000,20000000.000000,54Mbps,OFDM,0.082000,0.020000,0.300000,-0.990000,7.540000,3.790000,-0.990000,4.810000,0.000000,9.200000,2.070000,3.240000,10.200000
5700000000.000000,0.000000,20000000.000000,54Mbps,OFDM,0.082000,0.020000,3.720000,-1.620000,6.960000,0.860000,-1.620000,2.800000,0.000000,3.090000,-1.280000,0.880000,8.600000
