Channel Frequency(Hz),Power Level(dBm),Channel BW(Hz),DataRate/MCS Index,Frame Format,DUT Configuration Time,IQ Spectrum Meas Time,SM Violation(%) ,SMM(dB),SMM(dB)(-33MHz  -  -30MHz) ,SMM(dB)(-30MHz  -  -20MHz) ,SMM(dB)(-20MHz  -  -11MHz) ,SMM(dB)(-11MHz  -  9MHz) ,SMM(dB)(-9MHz  -  9MHz) ,SMM(dB)(9MHz  -  11MHz) ,SMM(dB)(11MHz  -  20MHz) ,SMM(20MHz  -  30Hz) ,SMM(30MHz  -  33MHz) 
2412000000.000000,0.000000,20000000.000000,18Mbps,OFDM,0.082000,0.021000,0.000000,0.000000,19.010000,20.250000,9.580000,10.040000,0.000000,10.600000,10.120000,20.770000,19.850000
2442000000.000000,0.000000,20000000.000000,18Mbps,OFDM,0.082000,0.021000,0.000000,0.000000,18.360000,19.220000,9.470000,9.500000,0.000000,12.640000,11.700000,20.500000,19.320000
2472000000.000000,0.000000,20000000.000000,18Mbps,OFDM,0.082000,0.020000,0.000000,0.000000,18.500000,18.270000,9.540000,9.970000,0.000000,9.950000,9.350000,20.530000,19.640000
5180000000.000000,0.000000,20000000.000000,18Mbps,OFDM,0.081000,0.021000,0.000000,0.000000,13.870000,9.750000,8.040000,9.760000,0.000000,11.350000,8.040000,11.130000,14.280000
5500000000.000000,0.000000,20000000.000000,18Mbps,OFDM,0.082000,0.020000,0.180000,-0.670000,8.240000,1.120000,-0.670000,4.900000,0.000000,8.890000,3.140000,5.570000,11.740000
5700000000.000000,0.000000,20000000.000000,18Mbps,OFDM,0.082000,0.020000,0.000000,0.000000,11.200000,2.980000,1.080000,3.880000,0.000000,9.850000,2.290000,6.090000,14.270000
2412000000.000000,0.000000,20000000.000000,54Mbps,OFDM,0.082000,0.020000,0.000000,0.000000,19.890000,18.890000,8.990000,9.240000,0.000000,11.430000,10.860000,18.460000,19.270000
2442000000.000000,0.000000,20000000.000000,54Mbps,OFDM,0.082000,0.020000,0.000000,0.000000,17.900000,18.850000,10.250000,10.370000,0.000000,11.990000,11.190000,19.740000,19.210000
2472000000.000000,0.000000,20000000.000000,54Mbps,OFDM,0.081000,0.020000,0.000000,0.000000,18.670000,19.890000,9.650000,9.700000,0.000000,11.490000,10.610000,20.520000,19.850000
5180000000.000000,0.000000,20000000.000000,54Mbps,OFDM,0.082000,0.022000,0.000000,0.000000,13.820000,9.140000,7.710000,8.890000,0.000000,13.470000,7.220000,10.100000,13.030000
5500000000.000000,0.000000,20000000.000000,54Mbps,OFDM,0.082000,0.020000,1.890000,-2.060000,4.800000,1.170000,-2.060000,3.270000,0.000000,10.680000,2.760000,4.280000,10.240000
5700000000.000000,0.000000,20000000.000000,54Mbps,OFDM,0.082000,0.020000,0.000000,0.000000,11.070000,3.430000,0.700000,5.620000,0.000000,8.760000,2.550000,6.710000,13.860000
