Channel Frequency(Hz),Power Level(dBm),Channel BW(Hz),DataRate/MCS Index,Frame Format,DUT Configuration Time,IQ Spectrum Meas Time,SM Violation(%) ,SMM(dB),SMM(dB)(-33MHz  -  -30MHz) ,SMM(dB)(-30MHz  -  -20MHz) ,SMM(dB)(-20MHz  -  -11MHz) ,SMM(dB)(-11MHz  -  9MHz) ,SMM(dB)(-9MHz  -  9MHz) ,SMM(dB)(9MHz  -  11MHz) ,SMM(dB)(11MHz  -  20MHz) ,SMM(20MHz  -  30Hz) ,SMM(30MHz  -  33MHz) 
2412000000.000000,0.000000,20000000.000000,18Mbps,OFDM,0.082000,0.108000,0.000000,0.000000,19.640000,18.940000,8.820000,9.330000,0.000000,11.580000,10.100000,19.550000,19.770000
2442000000.000000,0.000000,20000000.000000,18Mbps,OFDM,0.083000,0.022000,0.000000,0.000000,18.890000,19.510000,9.170000,9.500000,0.000000,10.560000,10.190000,20.550000,20.260000
2472000000.000000,0.000000,20000000.000000,18Mbps,OFDM,0.082000,0.020000,0.000000,0.000000,19.170000,18.540000,10.300000,10.240000,0.000000,11.200000,10.550000,20.600000,19.790000
5180000000.000000,0.000000,20000000.000000,18Mbps,OFDM,0.082000,0.020000,0.000000,0.000000,12.200000,10.880000,7.170000,8.500000,0.000000,9.430000,7.260000,11.450000,11.990000
5500000000.000000,0.000000,20000000.000000,18Mbps,OFDM,0.082000,0.021000,0.000000,0.000000,9.760000,2.520000,0.980000,5.430000,0.000000,9.850000,3.220000,5.860000,13.180000
5700000000.000000,0.000000,20000000.000000,18Mbps,OFDM,0.082000,0.021000,0.000000,0.000000,11.360000,3.210000,1.330000,3.570000,0.000000,8.890000,3.240000,5.240000,12.830000
2412000000.000000,0.000000,20000000.000000,54Mbps,OFDM,0.083000,0.020000,0.000000,0.000000,19.610000,19.820000,9.810000,10.240000,0.000000,10.550000,10.690000,19.990000,20.130000
2442000000.000000,0.000000,20000000.000000,54Mbps,OFDM,0.082000,0.021000,0.000000,0.000000,19.110000,20.760000,12.480000,12.840000,0.000000,12.120000,11.530000,20.550000,20.100000
2472000000.000000,0.000000,20000000.000000,54Mbps,OFDM,0.082000,0.021000,0.000000,0.000000,19.810000,19.750000,11.270000,12.240000,0.000000,12.160000,11.490000,20.220000,20.190000
5180000000.000000,0.000000,20000000.000000,54Mbps,OFDM,0.082000,0.020000,0.000000,0.000000,11.790000,8.140000,6.800000,9.830000,0.000000,9.320000,6.700000,9.620000,11.780000
5500000000.000000,0.000000,20000000.000000,54Mbps,OFDM,0.082000,0.020000,0.000000,0.000000,10.970000,4.960000,0.610000,7.470000,0.000000,10.890000,4.690000,6.510000,15.140000
5700000000.000000,0.000000,20000000.000000,54Mbps,OFDM,0.083000,0.021000,0.000000,0.000000,10.710000,4.060000,1.050000,4.940000,0.000000,9.010000,3.190000,5.070000,12.810000
