Standard,Frequency(Hz),Channel BW(Hz),Data Rate/MCS Index,Frame Format,Payload Length,Power Level,# Packets Transmitted,#Packets Received,PER(%),Measurment Time(min)
802.11 A/G OFDM,2412000000.000000,20000000.000000,18Mbps,OFDM,634,-65.000000,100,81,19.000000,0.003667
802.11 A/G OFDM,5180000000.000000,20000000.000000,18Mbps,OFDM,634,-65.000000,100,100,0.000000,0.002717
802.11 A/G OFDM,5500000000.000000,20000000.000000,18Mbps,OFDM,634,-65.000000,100,100,0.000000,0.002750
802.11 A/G OFDM,5700000000.000000,20000000.000000,18Mbps,OFDM,634,-65.000000,100,100,0.000000,0.002833
802.11 A/G OFDM,2412000000.000000,20000000.000000,54Mbps,OFDM,734,-65.000000,100,100,0.000000,0.002433
802.11 A/G OFDM,5180000000.000000,20000000.000000,54Mbps,OFDM,734,-65.000000,100,100,0.000000,0.002450
802.11 A/G OFDM,5500000000.000000,20000000.000000,54Mbps,OFDM,734,-65.000000,100,100,0.000000,0.002850
802.11 A/G OFDM,5700000000.000000,20000000.000000,54Mbps,OFDM,734,-65.000000,100,100,0.000000,0.002850
802.11 N MIMOOFDM,2412000000.000000,20000000.000000,MCS4,Mixed Format,734,-65.000000,100,100,0.000000,0.002550
802.11 N MIMOOFDM,5180000000.000000,20000000.000000,MCS4,Mixed Format,734,-65.000000,100,100,0.000000,0.002500
802.11 N MIMOOFDM,5500000000.000000,20000000.000000,MCS4,Mixed Format,734,-65.000000,100,100,0.000000,0.002867
802.11 N MIMOOFDM,5700000000.000000,20000000.000000,MCS4,Mixed Format,734,-65.000000,100,100,0.000000,0.002850
802.11 N MIMOOFDM,2412000000.000000,20000000.000000,MCS7,Mixed Format,734,-65.000000,100,100,0.000000,0.002417
802.11 N MIMOOFDM,5180000000.000000,20000000.000000,MCS7,Mixed Format,734,-65.000000,100,100,0.000000,0.002517
802.11 N MIMOOFDM,5500000000.000000,20000000.000000,MCS7,Mixed Format,734,-65.000000,100,100,0.000000,0.002883
802.11 N MIMOOFDM,5700000000.000000,20000000.000000,MCS7,Mixed Format,734,-65.000000,100,100,0.000000,0.002867
