Channel Frequency(Hz),Power Level(dBm),Channel BW(Hz),DataRate/MCS Index,Frame Format,DUT Configuration Time,IQ Spectrum Meas Time,SM Violation(%) ,SMM(dB),SMM(dB)(-33MHz  -  -30MHz) ,SMM(dB)(-30MHz  -  -20MHz) ,SMM(dB)(-20MHz  -  -11MHz) ,SMM(dB)(-11MHz  -  9MHz) ,SMM(dB)(-9MHz  -  9MHz) ,SMM(dB)(9MHz  -  11MHz) ,SMM(dB)(11MHz  -  20MHz) ,SMM(20MHz  -  30Hz) ,SMM(30MHz  -  33MHz) 
2412000000.000000,0.000000,20000000.000000,18Mbps,OFDM,0.082000,0.021000,0.000000,0.000000,19.670000,18.860000,9.190000,9.380000,0.000000,11.000000,10.090000,19.630000,19.360000
2442000000.000000,0.000000,20000000.000000,18Mbps,OFDM,0.083000,0.020000,0.000000,0.000000,18.540000,18.930000,8.940000,9.000000,0.000000,10.990000,10.850000,19.290000,19.450000
2472000000.000000,0.000000,20000000.000000,18Mbps,OFDM,0.082000,0.020000,0.000000,0.000000,18.360000,17.570000,8.860000,9.150000,0.000000,10.100000,10.100000,19.790000,19.650000
5180000000.000000,0.000000,20000000.000000,18Mbps,OFDM,0.083000,0.020000,0.000000,0.000000,12.870000,8.440000,6.710000,10.510000,0.000000,9.410000,6.710000,10.130000,12.580000
5500000000.000000,0.000000,20000000.000000,18Mbps,OFDM,0.082000,0.020000,0.670000,-0.850000,8.730000,1.880000,-0.850000,3.700000,0.000000,7.000000,1.780000,4.850000,11.640000
5700000000.000000,0.000000,20000000.000000,18Mbps,OFDM,0.083000,0.020000,0.060000,0.000000,10.780000,3.340000,0.020000,5.930000,0.000000,8.770000,1.650000,5.380000,13.220000
2412000000.000000,0.000000,20000000.000000,54Mbps,OFDM,0.082000,0.020000,0.000000,0.000000,19.890000,19.140000,8.960000,9.900000,0.000000,11.250000,11.300000,19.390000,19.760000
2442000000.000000,0.000000,20000000.000000,54Mbps,OFDM,0.082000,0.020000,0.000000,0.000000,19.410000,20.050000,12.100000,12.540000,0.000000,11.330000,10.390000,21.100000,19.430000
2472000000.000000,0.000000,20000000.000000,54Mbps,OFDM,0.082000,0.019000,0.000000,0.000000,18.890000,20.120000,11.050000,11.460000,0.000000,12.190000,11.790000,21.160000,20.320000
5180000000.000000,0.000000,20000000.000000,54Mbps,OFDM,0.082000,0.020000,0.000000,0.000000,12.250000,9.220000,6.470000,9.160000,0.000000,10.860000,7.450000,10.120000,11.360000
5500000000.000000,0.000000,20000000.000000,54Mbps,OFDM,0.082000,0.022000,0.000000,0.000000,11.340000,4.770000,2.030000,7.040000,0.000000,11.910000,5.260000,7.650000,14.630000
5700000000.000000,0.000000,20000000.000000,54Mbps,OFDM,0.081000,0.020000,0.000000,0.000000,12.090000,4.640000,1.400000,4.600000,0.000000,7.980000,2.600000,6.290000,13.700000
