Channel Frequency(Hz),Power Level(dBm),Channel Bandwidth(Hz),DataRate/MCS Index,Frame Format,DUT Configuration Time,IQ demod Meas Time,RMS EVM(dB),Min Peak Power(dBm),Max Peak Power(dBm),Avg. Power(dBm),Min Avg. Power(dBm),Max Avg. Power(dBm),Frequency Offset(ppm),SampleClockOffset(ppm),LO Leakage(dB),GainImbalance(dB),Skew(deg),RMS Phase Noise(deg),SpectralFlatnessMargin(dB), Min SpectralFlatnessMargin(dB),Min SFM Subcarrier Index
2412000000.000000,15.000000,20000000.000000,18Mbps,OFDM,0.082000,0.127000,-22.760000,20.580000,21.400000,13.840000,13.810000,13.880000,-12.290000,-11.820000,-45.420000,0.000000,-0.210000,1.060000,1.590000,1.570000,-15.000000
5180000000.000000,15.000000,20000000.000000,18Mbps,OFDM,0.082000,0.153000,-23.110000,19.700000,20.820000,13.310000,13.270000,13.360000,-12.290000,-13.250000,-43.140000,0.080000,0.540000,1.230000,1.430000,1.450000,-4.000000
5700000000.000000,15.000000,20000000.000000,18Mbps,OFDM,0.082000,0.148000,-22.590000,20.100000,20.790000,13.640000,13.590000,13.680000,-12.220000,-11.650000,-54.160000,0.010000,-0.300000,1.250000,1.540000,1.560000,-4.000000
2412000000.000000,15.000000,20000000.000000,54Mbps,OFDM,0.081000,0.105000,-30.410000,21.250000,22.350000,14.140000,13.980000,14.270000,-12.280000,-11.960000,-39.340000,-0.010000,-0.030000,0.490000,1.660000,1.680000,-17.000000
5180000000.000000,15.000000,20000000.000000,54Mbps,OFDM,0.081000,0.154000,-27.650000,21.440000,22.410000,13.730000,13.580000,13.870000,-12.320000,-11.540000,-39.570000,0.080000,0.450000,0.900000,1.590000,1.600000,16.000000
5700000000.000000,15.000000,20000000.000000,54Mbps,OFDM,0.081000,0.146000,-26.820000,20.790000,21.380000,13.870000,13.650000,14.000000,-12.310000,-12.080000,-49.780000,-0.030000,-0.220000,0.880000,1.730000,1.770000,-4.000000
