Channel Frequency(Hz),Power Level(dBm),Channel BW(Hz),DataRate/MCS Index,Frame Format,DUT Configuration Time,IQ Spectrum Meas Time,SM Violation(%) ,SMM(dB),SMM(dB)(-33MHz  -  -30MHz) ,SMM(dB)(-30MHz  -  -20MHz) ,SMM(dB)(-20MHz  -  -11MHz) ,SMM(dB)(-11MHz  -  9MHz) ,SMM(dB)(-9MHz  -  9MHz) ,SMM(dB)(9MHz  -  11MHz) ,SMM(dB)(11MHz  -  20MHz) ,SMM(20MHz  -  33MHz) 
2412000000.000000,0.000000,20000000.000000,MCS 4,Mixedmode,0.082000,0.021000,0.000000,0.000000,15.370000,16.450000,8.570000,7.330000,0.000000,10.290000,9.540000,16.110000,13.860000
2442000000.000000,0.000000,20000000.000000,MCS 4,Mixedmode,0.081000,0.020000,0.000000,0.000000,13.660000,14.830000,8.420000,6.450000,0.000000,10.330000,9.950000,15.250000,14.650000
2472000000.000000,0.000000,20000000.000000,MCS 4,Mixedmode,0.081000,0.020000,0.000000,0.000000,13.850000,14.970000,7.970000,6.780000,0.000000,10.290000,9.720000,16.500000,15.200000
5180000000.000000,0.000000,20000000.000000,MCS 4,Mixedmode,0.081000,0.021000,0.000000,0.000000,7.680000,7.000000,5.980000,3.010000,0.000000,10.820000,6.290000,7.460000,7.010000
5500000000.000000,0.000000,20000000.000000,MCS 4,Mixedmode,0.083000,0.020000,2.260000,-1.830000,1.980000,-0.500000,-1.830000,2.940000,0.000000,9.540000,3.030000,3.240000,5.410000
5700000000.000000,0.000000,20000000.000000,MCS 4,Mixedmode,0.082000,0.020000,0.000000,0.000000,5.630000,1.940000,1.380000,2.940000,0.000000,9.720000,2.770000,4.660000,9.340000
2412000000.000000,0.000000,20000000.000000,MCS 7,Mixedmode,0.081000,0.021000,0.000000,0.000000,15.350000,16.120000,8.240000,6.060000,0.000000,9.420000,8.770000,17.090000,14.630000
2442000000.000000,0.000000,20000000.000000,MCS 7,Mixedmode,0.082000,0.020000,0.000000,0.000000,12.890000,13.560000,8.550000,6.650000,0.000000,9.120000,8.950000,14.370000,13.430000
2472000000.000000,0.000000,20000000.000000,MCS 7,Mixedmode,0.082000,0.020000,0.000000,0.000000,13.430000,15.130000,7.980000,5.890000,0.000000,9.650000,9.630000,15.640000,14.640000
5180000000.000000,0.000000,20000000.000000,MCS 7,Mixedmode,0.082000,0.020000,0.000000,0.000000,6.710000,7.420000,5.990000,4.360000,0.000000,11.290000,6.880000,7.530000,7.930000
5500000000.000000,0.000000,20000000.000000,MCS 7,Mixedmode,0.082000,0.020000,2.130000,-2.650000,0.810000,-0.240000,-2.650000,2.990000,0.000000,8.420000,1.020000,4.100000,5.050000
5700000000.000000,0.000000,20000000.000000,MCS 7,Mixedmode,0.081000,0.020000,0.000000,0.000000,6.080000,2.480000,0.780000,2.880000,0.000000,7.830000,2.030000,3.410000,8.410000
