Channel Frequency(Hz),Power Level(dBm),Channel Bandwidth(Hz),DataRate/MCS Index,Frame Format,DUT Configuration Time,IQ demod Meas Time,RMS EVM(dB),Min Peak Power(dBm),Max Peak Power(dBm),Avg. Power(dBm),Min Avg. Power(dBm),Max Avg. Power(dBm),Frequency Offset(ppm),SampleClockOffset(ppm),LO Leakage(dB),GainImbalance(dB),Skew(deg),RMS Phase Noise(deg),SpectralFlatnessMargin(dB), Min SpectralFlatnessMargin(dB),Min SFM Subcarrier Index
2412000000.000000,15.000000,20000000.000000,18Mbps,OFDM,0.082000,0.136000,-22.070000,20.170000,21.350000,13.950000,13.880000,14.020000,-14.480000,-17.090000,-41.740000,-0.060000,-0.050000,1.230000,1.620000,1.610000,-4.000000
5180000000.000000,15.000000,20000000.000000,18Mbps,OFDM,0.081000,0.152000,-22.610000,20.000000,21.050000,13.620000,13.360000,13.940000,-14.470000,-13.130000,-44.640000,0.100000,0.070000,1.290000,1.360000,1.270000,-4.000000
5700000000.000000,15.000000,20000000.000000,18Mbps,OFDM,0.082000,0.154000,-22.540000,20.150000,21.120000,14.200000,14.150000,14.300000,-14.440000,-13.870000,-45.770000,0.000000,-0.080000,1.310000,1.530000,1.570000,-4.000000
2412000000.000000,15.000000,20000000.000000,54Mbps,OFDM,0.152000,0.107000,-28.520000,21.170000,22.130000,14.220000,14.060000,14.290000,-14.440000,-13.030000,-39.860000,-0.070000,0.070000,0.520000,1.690000,1.680000,-17.000000
5180000000.000000,15.000000,20000000.000000,54Mbps,OFDM,0.082000,0.151000,-26.340000,21.230000,22.340000,14.080000,13.980000,14.120000,-14.470000,-12.620000,-42.490000,0.080000,-0.090000,0.880000,1.510000,1.460000,-4.000000
5700000000.000000,15.000000,20000000.000000,54Mbps,OFDM,0.082000,0.151000,-27.350000,21.240000,21.930000,14.490000,14.350000,14.570000,-14.420000,-13.330000,-49.550000,-0.020000,-0.090000,0.960000,1.610000,1.620000,-15.000000
