Channel Frequency(Hz),Power Level(dBm),Channel Bandwidth(Hz),DataRate/MCS Index,Frame Format,DUT Configuration Time,IQ demod Meas Time,RMS EVM(dB),Min Peak Power(dBm),Max Peak Power(dBm),Avg. Power(dBm),Min Avg. Power(dBm),Max Avg. Power(dBm),Frequency Offset(ppm),SampleClockOffset(ppm),LO Leakage(dB),GainImbalance(dB),Skew(deg),RMS Phase Noise(deg),SpectralFlatnessMargin(dB), Min SpectralFlatnessMargin(dB),Min SFM Subcarrier Index
2412000000.000000,15.000000,20000000.000000,4,Mixedmode,0.082000,0.110000,-21.750000,22.040000,23.090000,15.550000,15.330000,15.940000,-12.480000,-14.990000,-39.170000,-0.060000,0.210000,1.450000,1.680000,1.710000,11.000000
5180000000.000000,15.000000,20000000.000000,4,Mixedmode,0.082000,0.112000,-22.550000,21.310000,22.620000,14.680000,14.570000,14.780000,-12.550000,-13.440000,-43.080000,0.040000,0.170000,1.010000,1.370000,1.330000,11.000000
5700000000.000000,15.000000,20000000.000000,4,Mixedmode,0.082000,0.112000,-22.620000,21.200000,22.160000,14.950000,14.810000,15.040000,-12.520000,-11.940000,-43.490000,-0.080000,0.100000,1.110000,1.560000,1.600000,-13.000000
2412000000.000000,15.000000,20000000.000000,7,Mixedmode,0.082000,0.112000,-29.050000,23.120000,24.080000,16.000000,15.870000,16.120000,-12.500000,-14.090000,-38.320000,-0.050000,0.060000,0.550000,1.690000,1.710000,-17.000000
5180000000.000000,15.000000,20000000.000000,7,Mixedmode,0.082000,0.114000,-26.850000,22.550000,23.310000,14.990000,14.910000,15.110000,-12.660000,-10.250000,-40.140000,0.090000,0.200000,0.750000,1.510000,1.540000,16.000000
5700000000.000000,15.000000,20000000.000000,7,Mixedmode,0.082000,0.115000,-26.730000,22.260000,22.750000,15.290000,15.160000,15.380000,-12.540000,-11.130000,-49.180000,-0.070000,0.160000,0.810000,1.650000,1.670000,-13.000000
