Channel Frequency(Hz),Power Level(dBm),Channel BW(Hz),DataRate/MCS Index,Frame Format,DUT Configuration Time,IQ Spectrum Meas Time,SM Violation(%) ,SMM(dB),SMM(dB)(-33MHz  -  -30MHz) ,SMM(dB)(-30MHz  -  -20MHz) ,SMM(dB)(-20MHz  -  -11MHz) ,SMM(dB)(-11MHz  -  9MHz) ,SMM(dB)(-9MHz  -  9MHz) ,SMM(dB)(9MHz  -  11MHz) ,SMM(dB)(11MHz  -  20MHz) ,SMM(20MHz  -  30Hz) ,SMM(30MHz  -  33MHz) 
2412000000.000000,15.000000,20000000.000000,18Mbps,OFDM,0.082000,0.020000,0.000000,0.000000,14.170000,7.800000,4.700000,6.270000,0.000000,5.960000,4.360000,8.370000,14.010000
5180000000.000000,15.000000,20000000.000000,18Mbps,OFDM,0.082000,0.811000,0.000000,0.000000,8.740000,4.200000,3.420000,5.160000,0.000000,5.460000,4.210000,5.020000,8.560000
5700000000.000000,15.000000,20000000.000000,18Mbps,OFDM,0.082000,0.381000,0.000000,0.000000,10.260000,2.280000,1.180000,3.280000,0.000000,4.940000,3.420000,5.390000,12.810000
2412000000.000000,15.000000,20000000.000000,54Mbps,OFDM,0.081000,0.346000,0.000000,0.000000,9.260000,2.690000,2.520000,3.710000,0.000000,3.930000,1.740000,3.870000,8.430000
5180000000.000000,15.000000,20000000.000000,54Mbps,OFDM,0.081000,0.351000,0.000000,0.000000,8.760000,4.170000,3.280000,5.240000,0.000000,5.460000,4.130000,5.280000,9.280000
5700000000.000000,15.000000,20000000.000000,54Mbps,OFDM,0.082000,0.358000,0.000000,0.000000,10.740000,2.460000,1.280000,3.590000,0.000000,5.390000,3.550000,5.520000,12.800000
