Channel Frequency(Hz),Power Level(dBm),Channel Bandwidth(Hz),DataRate/MCS Index,Frame Format,DUT Configuration Time,IQ demod Meas Time,RMS EVM(dB),Min Peak Power(dBm),Max Peak Power(dBm),Avg. Power(dBm),Min Avg. Power(dBm),Max Avg. Power(dBm),Frequency Offset(ppm),SampleClockOffset(ppm),LO Leakage(dB),GainImbalance(dB),Skew(deg),RMS Phase Noise(deg),SpectralFlatnessMargin(dB), Min SpectralFlatnessMargin(dB),Min SFM Subcarrier Index
2412000000.000000,15.000000,20000000.000000,18Mbps,OFDM,0.082000,0.166000,-27.250000,23.280000,24.520000,15.190000,15.150000,15.230000,-7.180000,-6.630000,-38.000000,0.080000,0.250000,0.690000,1.560000,1.570000,-19.000000
2442000000.000000,15.000000,20000000.000000,18Mbps,OFDM,0.082000,0.162000,-28.000000,22.780000,24.230000,14.920000,14.840000,15.390000,-7.230000,-8.320000,-39.320000,0.050000,0.230000,0.640000,1.690000,1.690000,19.000000
2472000000.000000,15.000000,20000000.000000,18Mbps,OFDM,0.082000,0.158000,-29.850000,23.020000,23.870000,15.110000,15.020000,15.160000,-7.220000,-6.500000,-39.890000,0.060000,0.010000,0.470000,1.520000,1.530000,-19.000000
5180000000.000000,15.000000,20000000.000000,18Mbps,OFDM,0.082000,0.164000,-23.890000,22.140000,23.030000,15.390000,15.320000,15.460000,-7.260000,-4.180000,-41.670000,0.130000,0.680000,1.040000,1.610000,1.580000,-3.000000
5500000000.000000,15.000000,20000000.000000,18Mbps,OFDM,0.082000,0.138000,-20.270000,21.020000,21.620000,15.230000,14.910000,15.350000,-7.170000,-7.070000,-39.530000,-0.040000,-0.140000,1.350000,1.570000,1.620000,-14.000000
5700000000.000000,15.000000,20000000.000000,18Mbps,OFDM,0.082000,0.119000,-18.030000,20.160000,20.440000,15.210000,15.150000,15.300000,-7.200000,-10.960000,-36.180000,-0.110000,0.280000,1.800000,1.690000,1.660000,10.000000
2412000000.000000,15.000000,20000000.000000,54Mbps,OFDM,0.081000,0.116000,-27.590000,23.020000,24.890000,15.130000,14.940000,15.630000,-7.310000,-5.410000,-37.280000,0.070000,0.270000,0.600000,1.570000,1.580000,-19.000000
2442000000.000000,15.000000,20000000.000000,54Mbps,OFDM,0.081000,0.157000,-27.530000,22.900000,23.900000,15.360000,15.180000,15.480000,-7.330000,-10.480000,-39.130000,0.040000,0.260000,0.500000,1.690000,1.700000,-19.000000
2472000000.000000,15.000000,20000000.000000,54Mbps,OFDM,0.082000,0.152000,-29.350000,22.870000,24.230000,15.390000,15.010000,15.790000,-7.340000,-0.760000,-35.140000,0.040000,0.030000,0.540000,1.560000,1.560000,-19.000000
5180000000.000000,15.000000,20000000.000000,54Mbps,OFDM,0.082000,0.165000,-24.200000,22.150000,22.880000,15.430000,15.300000,15.620000,-7.350000,-7.500000,-45.030000,0.130000,0.590000,0.950000,1.610000,1.640000,15.000000
5500000000.000000,15.000000,20000000.000000,54Mbps,OFDM,0.082000,0.155000,-20.250000,20.970000,21.550000,15.430000,15.370000,15.520000,-7.200000,-3.150000,-41.850000,-0.050000,-0.120000,1.440000,1.560000,1.590000,-14.000000
5700000000.000000,15.000000,20000000.000000,54Mbps,OFDM,0.082000,0.149000,-19.140000,20.060000,20.440000,15.200000,15.110000,15.290000,-7.360000,-10.520000,-36.120000,-0.120000,0.250000,1.860000,1.700000,1.740000,-14.000000
