Channel Frequency(Hz),Power Level(dBm),Channel BW(Hz),DataRate/MCS Index,Frame Format,DUT Configuration Time,IQ Spectrum Meas Time,SM Violation(%) ,SMM(dB),SMM(dB)(-33MHz  -  -30MHz) ,SMM(dB)(-30MHz  -  -20MHz) ,SMM(dB)(-20MHz  -  -11MHz) ,SMM(dB)(-11MHz  -  9MHz) ,SMM(dB)(-9MHz  -  9MHz) ,SMM(dB)(9MHz  -  11MHz) ,SMM(dB)(11MHz  -  20MHz) ,SMM(20MHz  -  30Hz) ,SMM(30MHz  -  33MHz) 
2412000000.000000,0.000000,20000000.000000,18Mbps,OFDM,0.083000,0.021000,0.000000,0.000000,19.650000,21.380000,10.460000,10.910000,0.000000,11.900000,11.310000,20.630000,20.610000
2442000000.000000,0.000000,20000000.000000,18Mbps,OFDM,0.081000,0.020000,0.000000,0.000000,18.820000,20.120000,10.560000,10.230000,0.000000,12.230000,11.040000,20.640000,20.080000
2472000000.000000,0.000000,20000000.000000,18Mbps,OFDM,0.082000,0.020000,0.000000,0.000000,18.490000,19.340000,9.960000,9.360000,0.000000,9.620000,9.390000,19.920000,19.580000
5180000000.000000,0.000000,20000000.000000,18Mbps,OFDM,0.082000,0.020000,0.000000,0.000000,13.280000,10.700000,8.080000,9.350000,0.000000,9.240000,7.400000,11.100000,12.630000
5500000000.000000,0.000000,20000000.000000,18Mbps,OFDM,0.082000,0.021000,0.300000,-1.310000,8.900000,3.100000,-1.310000,3.260000,0.000000,8.850000,3.100000,5.350000,11.630000
5700000000.000000,0.000000,20000000.000000,18Mbps,OFDM,0.082000,0.020000,0.000000,0.000000,13.460000,5.130000,2.600000,5.940000,0.000000,8.960000,2.470000,5.790000,14.520000
2412000000.000000,0.000000,20000000.000000,54Mbps,OFDM,0.081000,0.020000,0.000000,0.000000,19.110000,20.400000,10.350000,10.230000,0.000000,10.230000,9.770000,19.270000,19.200000
2442000000.000000,0.000000,20000000.000000,54Mbps,OFDM,0.082000,0.020000,0.000000,0.000000,18.540000,19.570000,12.260000,11.710000,0.000000,11.710000,10.590000,19.690000,18.900000
2472000000.000000,0.000000,20000000.000000,54Mbps,OFDM,0.082000,0.020000,0.000000,0.000000,19.710000,19.220000,13.200000,13.330000,0.000000,10.830000,10.180000,19.780000,19.960000
5180000000.000000,0.000000,20000000.000000,54Mbps,OFDM,0.082000,0.020000,0.000000,0.000000,14.000000,10.370000,7.800000,8.820000,0.000000,10.530000,7.470000,10.830000,13.610000
5500000000.000000,0.000000,20000000.000000,54Mbps,OFDM,0.082000,0.020000,0.000000,0.000000,11.460000,7.370000,2.360000,6.320000,0.000000,11.540000,6.390000,8.880000,15.620000
5700000000.000000,0.000000,20000000.000000,54Mbps,OFDM,0.082000,0.020000,0.000000,0.000000,12.280000,5.220000,2.310000,5.790000,0.000000,7.440000,3.220000,4.760000,14.410000
