Channel Frequency(Hz),Power Level(dBm),Channel BW(Hz),DataRate/MCS Index,Frame Format,DUT Configuration Time,IQ Spectrum Meas Time,SM Violation(%) ,SMM(dB),SMM(dB)(-33MHz  -  -30MHz) ,SMM(dB)(-30MHz  -  -20MHz) ,SMM(dB)(-20MHz  -  -11MHz) ,SMM(dB)(-11MHz  -  9MHz) ,SMM(dB)(-9MHz  -  9MHz) ,SMM(dB)(9MHz  -  11MHz) ,SMM(dB)(11MHz  -  20MHz) ,SMM(20MHz  -  33MHz) 
2412000000.000000,15.000000,20000000.000000,MCS 4,Mixedmode,0.082000,0.313000,0.000000,0.000000,4.630000,2.490000,2.390000,3.840000,0.000000,3.750000,1.770000,3.540000,3.390000
5180000000.000000,15.000000,20000000.000000,MCS 4,Mixedmode,0.082000,0.363000,0.000000,0.000000,4.130000,4.000000,3.580000,5.380000,0.000000,5.000000,4.050000,4.540000,4.010000
5700000000.000000,15.000000,20000000.000000,MCS 4,Mixedmode,0.082000,0.373000,0.000000,0.000000,5.870000,2.140000,1.760000,3.870000,0.000000,5.310000,3.470000,5.720000,7.370000
2412000000.000000,15.000000,20000000.000000,MCS 7,Mixedmode,0.082000,0.352000,0.000000,0.000000,4.260000,2.820000,2.960000,4.160000,0.000000,3.880000,2.130000,3.310000,3.880000
5180000000.000000,15.000000,20000000.000000,MCS 7,Mixedmode,0.082000,0.352000,0.000000,0.000000,4.440000,3.910000,3.580000,5.350000,0.000000,5.570000,4.190000,4.660000,4.570000
5700000000.000000,15.000000,20000000.000000,MCS 7,Mixedmode,0.082000,0.371000,0.000000,0.000000,6.180000,2.300000,1.850000,3.970000,0.000000,5.450000,3.680000,5.840000,8.170000
