Channel Frequency(Hz),Power Level(dBm),Channel BW(Hz),DataRate/MCS Index,Frame Format,DUT Configuration Time,IQ Spectrum Meas Time,SM Violation(%) ,SMM(dB),SMM(dB)(-33MHz  -  -30MHz) ,SMM(dB)(-30MHz  -  -20MHz) ,SMM(dB)(-20MHz  -  -11MHz) ,SMM(dB)(-11MHz  -  9MHz) ,SMM(dB)(-9MHz  -  9MHz) ,SMM(dB)(9MHz  -  11MHz) ,SMM(dB)(11MHz  -  20MHz) ,SMM(20MHz  -  33MHz) 
2412000000.000000,15.000000,20000000.000000,MCS 4,Mixedmode,0.082000,0.313000,0.000000,0.000000,3.760000,2.540000,2.700000,4.200000,0.000000,3.790000,1.930000,3.740000,3.140000
5180000000.000000,15.000000,20000000.000000,MCS 4,Mixedmode,0.082000,0.355000,0.000000,0.000000,4.060000,4.010000,3.550000,5.300000,0.000000,5.480000,3.920000,4.640000,3.630000
5700000000.000000,15.000000,20000000.000000,MCS 4,Mixedmode,0.082000,0.373000,0.000000,0.000000,5.870000,2.180000,1.780000,3.740000,0.000000,5.690000,3.810000,5.830000,8.400000
2412000000.000000,15.000000,20000000.000000,MCS 7,Mixedmode,0.082000,0.351000,0.000000,0.000000,4.750000,2.590000,2.790000,3.820000,0.000000,4.080000,1.820000,3.610000,3.370000
5180000000.000000,15.000000,20000000.000000,MCS 7,Mixedmode,0.082000,0.352000,0.000000,0.000000,4.370000,4.130000,3.470000,5.310000,0.000000,5.320000,4.180000,4.520000,4.220000
5700000000.000000,15.000000,20000000.000000,MCS 7,Mixedmode,0.082000,0.376000,0.000000,0.000000,6.030000,2.290000,1.860000,3.920000,0.000000,5.530000,3.850000,6.030000,8.200000
