Channel Frequency(Hz),Power Level(dBm),Channel Bandwidth(Hz),DataRate/MCS Index,Frame Format,DUT Configuration Time,IQ demod Meas Time,RMS EVM(dB),Min Peak Power(dBm),Max Peak Power(dBm),Avg. Power(dBm),Min Avg. Power(dBm),Max Avg. Power(dBm),Frequency Offset(ppm),SampleClockOffset(ppm),LO Leakage(dB),GainImbalance(dB),Skew(deg),RMS Phase Noise(deg),SpectralFlatnessMargin(dB), Min SpectralFlatnessMargin(dB),Min SFM Subcarrier Index
2412000000.000000,0.000000,20000000.000000,18Mbps,OFDM,1.279000,0.162000,18.400000,7.860000,10.230000,1.060000,0.920000,1.470000,167.190000,89.550000,-12.550000,-7.170000,3.160000,275.920000,-26.610000,-23.720000,-16.000000
2442000000.000000,0.000000,20000000.000000,18Mbps,OFDM,1.084000,0.172000,14.670000,8.230000,11.250000,0.720000,0.640000,0.830000,142.240000,-534.690000,-9.050000,-10.260000,28.750000,157.490000,-28.420000,-27.590000,24.000000
2472000000.000000,0.000000,20000000.000000,18Mbps,OFDM,0.707000,0.137000,15.450000,7.320000,10.740000,0.740000,0.450000,1.060000,154.760000,-260.220000,-11.070000,-6.080000,-12.660000,381.170000,-28.210000,-26.490000,14.000000
5180000000.000000,0.000000,20000000.000000,18Mbps,OFDM,0.815000,0.148000,-27.140000,8.160000,10.080000,0.310000,0.200000,0.820000,-70.100000,-69.290000,-43.140000,0.160000,0.010000,1.020000,3.610000,3.620000,2.000000
5500000000.000000,0.000000,20000000.000000,18Mbps,OFDM,0.802000,0.155000,-23.220000,7.500000,8.360000,0.180000,0.080000,0.300000,-69.890000,-73.620000,-53.330000,0.040000,0.500000,1.100000,3.490000,3.470000,2.000000
5700000000.000000,0.000000,20000000.000000,18Mbps,OFDM,0.612000,0.184000,-24.050000,7.850000,9.290000,0.890000,0.430000,1.030000,-70.040000,-70.180000,-46.510000,0.070000,0.880000,0.990000,3.590000,3.570000,2.000000
2412000000.000000,0.000000,20000000.000000,54Mbps,OFDM,0.585000,0.154000,-33.320000,9.380000,11.000000,1.350000,1.260000,1.530000,-70.090000,-69.710000,-39.300000,0.010000,-0.040000,0.360000,3.720000,3.700000,-14.000000
2442000000.000000,0.000000,20000000.000000,54Mbps,OFDM,0.573000,0.146000,-33.120000,8.560000,10.340000,0.860000,0.660000,1.230000,-70.080000,-69.600000,-41.630000,0.020000,0.060000,0.340000,3.590000,3.590000,-14.000000
2472000000.000000,0.000000,20000000.000000,54Mbps,OFDM,0.589000,0.153000,-32.930000,8.970000,10.380000,0.990000,0.530000,1.170000,-70.060000,-68.910000,-44.500000,0.020000,-0.090000,0.400000,3.550000,3.590000,-15.000000
5180000000.000000,0.000000,20000000.000000,54Mbps,OFDM,0.598000,0.147000,-27.220000,8.450000,10.010000,0.350000,0.190000,0.730000,-70.100000,-70.720000,-45.170000,0.170000,-0.130000,1.070000,3.620000,3.580000,1.000000
