Channel Frequency(Hz),Power Level(dBm),Channel BW(Hz),DataRate/MCS Index,Frame Format,DUT Configuration Time,IQ Spectrum Meas Time,SM Violation(%) ,SMM(dB),SMM(dB)(-33MHz  -  -30MHz) ,SMM(dB)(-30MHz  -  -20MHz) ,SMM(dB)(-20MHz  -  -11MHz) ,SMM(dB)(-11MHz  -  9MHz) ,SMM(dB)(-9MHz  -  9MHz) ,SMM(dB)(9MHz  -  11MHz) ,SMM(dB)(11MHz  -  20MHz) ,SMM(20MHz  -  30Hz) ,SMM(30MHz  -  33MHz) 
2412000000.000000,15.000000,20000000.000000,18Mbps,OFDM,0.082000,0.028000,0.000000,0.000000,9.290000,8.550000,7.010000,7.410000,0.000000,9.400000,8.700000,12.290000,11.760000
2442000000.000000,15.000000,20000000.000000,18Mbps,OFDM,0.082000,0.050000,0.000000,0.000000,9.570000,10.170000,9.100000,9.130000,0.000000,9.220000,8.680000,13.890000,12.700000
2472000000.000000,15.000000,20000000.000000,18Mbps,OFDM,0.082000,0.059000,0.000000,0.000000,11.640000,12.770000,9.590000,9.600000,0.000000,9.860000,9.560000,14.330000,13.330000
5180000000.000000,15.000000,20000000.000000,18Mbps,OFDM,0.082000,0.049000,0.000000,0.000000,4.430000,4.820000,10.570000,11.240000,0.000000,7.840000,2.510000,6.480000,7.340000
5500000000.000000,15.000000,20000000.000000,18Mbps,OFDM,0.082000,0.054000,0.000000,0.000000,8.650000,5.660000,1.030000,4.280000,0.000000,7.730000,3.400000,9.300000,11.370000
5700000000.000000,15.000000,20000000.000000,18Mbps,OFDM,0.082000,0.049000,0.000000,0.000000,6.500000,4.090000,0.070000,2.950000,0.000000,3.520000,1.160000,4.740000,6.840000
2412000000.000000,15.000000,20000000.000000,54Mbps,OFDM,0.081000,0.056000,0.000000,0.000000,10.450000,9.790000,9.140000,9.200000,0.000000,10.180000,8.820000,12.550000,13.680000
2442000000.000000,15.000000,20000000.000000,54Mbps,OFDM,0.081000,0.046000,0.000000,0.000000,12.870000,12.600000,11.030000,10.540000,0.000000,11.030000,8.480000,15.210000,14.220000
2472000000.000000,15.000000,20000000.000000,54Mbps,OFDM,0.082000,0.054000,0.000000,0.000000,13.830000,14.820000,11.270000,11.030000,0.000000,11.290000,9.770000,14.180000,14.210000
5180000000.000000,15.000000,20000000.000000,54Mbps,OFDM,0.082000,0.057000,0.000000,0.000000,1.780000,3.480000,9.290000,9.750000,0.000000,5.030000,2.380000,5.030000,5.030000
5500000000.000000,15.000000,20000000.000000,54Mbps,OFDM,0.082000,0.044000,0.000000,0.000000,11.410000,8.340000,3.990000,7.020000,0.000000,8.400000,4.820000,11.150000,14.290000
5700000000.000000,15.000000,20000000.000000,54Mbps,OFDM,0.082000,0.059000,0.000000,0.000000,4.840000,4.110000,0.190000,3.640000,0.000000,4.680000,1.250000,5.580000,7.100000
