Channel Frequency(Hz),Power Level(dBm),Channel Bandwidth(Hz),DataRate/MCS Index,Frame Format,DUT Configuration Time,IQ demod Meas Time,RMS EVM(dB),Min Peak Power(dBm),Max Peak Power(dBm),Avg. Power(dBm),Min Avg. Power(dBm),Max Avg. Power(dBm),Frequency Offset(ppm),SampleClockOffset(ppm),LO Leakage(dB),GainImbalance(dB),Skew(deg),RMS Phase Noise(deg),SpectralFlatnessMargin(dB), Min SpectralFlatnessMargin(dB),Min SFM Subcarrier Index
2412000000.000000,0.000000,20000000.000000,18Mbps,OFDM,0.082000,0.190000,-33.730000,8.390000,10.590000,0.840000,0.520000,1.160000,-53.020000,-53.880000,-52.730000,0.020000,-0.130000,0.350000,3.670000,3.680000,-17.000000
2442000000.000000,0.000000,20000000.000000,18Mbps,OFDM,0.082000,0.180000,-33.230000,8.470000,9.900000,0.470000,0.300000,0.880000,-53.060000,-52.840000,-38.610000,0.030000,-0.110000,0.410000,3.600000,3.640000,-20.000000
2472000000.000000,0.000000,20000000.000000,18Mbps,OFDM,0.082000,0.170000,-33.140000,8.040000,10.060000,0.750000,0.360000,0.940000,-53.020000,-52.080000,-38.100000,-0.030000,-0.360000,0.420000,3.600000,3.570000,-14.000000
5180000000.000000,0.000000,20000000.000000,18Mbps,OFDM,0.082000,0.182000,-25.930000,7.580000,9.060000,-0.070000,-0.320000,0.190000,-53.030000,-51.310000,-44.300000,0.060000,-0.260000,1.140000,3.570000,3.780000,13.000000
5500000000.000000,0.000000,20000000.000000,18Mbps,OFDM,0.082000,0.157000,-20.480000,6.620000,7.620000,0.050000,-0.010000,0.090000,-52.810000,-45.770000,-54.140000,0.130000,-0.300000,1.290000,3.440000,3.370000,1.000000
5700000000.000000,0.000000,20000000.000000,18Mbps,OFDM,0.082000,0.182000,-20.210000,5.820000,7.130000,0.120000,0.050000,0.150000,-52.890000,-47.480000,-40.050000,0.160000,0.830000,1.370000,3.570000,3.610000,-11.000000
2412000000.000000,0.000000,20000000.000000,54Mbps,OFDM,0.083000,0.138000,-33.730000,9.230000,11.140000,0.870000,0.780000,1.040000,-53.050000,-53.600000,-56.290000,0.010000,-0.190000,0.390000,3.680000,3.650000,-18.000000
2442000000.000000,0.000000,20000000.000000,54Mbps,OFDM,0.083000,0.155000,-33.320000,7.940000,9.200000,0.570000,0.190000,0.880000,-53.050000,-51.740000,-38.590000,0.020000,-0.110000,0.340000,3.630000,3.610000,-18.000000
2472000000.000000,0.000000,20000000.000000,54Mbps,OFDM,0.082000,0.134000,-33.250000,8.520000,9.990000,0.810000,0.710000,1.050000,-53.040000,-53.340000,-37.550000,-0.040000,-0.270000,0.350000,3.610000,3.590000,-18.000000
5180000000.000000,0.000000,20000000.000000,54Mbps,OFDM,0.082000,0.142000,-26.320000,7.830000,9.110000,0.090000,-0.280000,0.350000,-53.040000,-55.440000,-44.330000,0.030000,-0.330000,1.070000,3.600000,3.590000,1.000000
5500000000.000000,0.000000,20000000.000000,54Mbps,OFDM,0.082000,0.146000,-20.880000,6.650000,8.650000,0.170000,0.080000,0.240000,-52.780000,-62.810000,-54.390000,0.130000,-0.370000,1.560000,3.470000,3.550000,-9.000000
5700000000.000000,0.000000,20000000.000000,54Mbps,OFDM,0.082000,0.143000,-20.780000,5.890000,7.160000,0.100000,-0.020000,0.210000,-52.940000,-53.310000,-39.400000,0.160000,0.870000,1.450000,3.570000,3.530000,-11.000000
