Channel Frequency(Hz),Power Level(dBm),Channel BW(Hz),DataRate/MCS Index,Frame Format,DUT Configuration Time,IQ Spectrum Meas Time,SM Violation(%) ,SMM(dB),SMM(dB)(-33MHz  -  -30MHz) ,SMM(dB)(-30MHz  -  -20MHz) ,SMM(dB)(-20MHz  -  -11MHz) ,SMM(dB)(-11MHz  -  9MHz) ,SMM(dB)(-9MHz  -  9MHz) ,SMM(dB)(9MHz  -  11MHz) ,SMM(dB)(11MHz  -  20MHz) ,SMM(20MHz  -  33MHz) 
2412000000.000000,15.000000,20000000.000000,MCS 4,Mixedmode,0.082000,0.354000,0.000000,0.000000,4.220000,2.120000,2.010000,3.570000,0.000000,3.590000,1.330000,2.900000,3.640000
5180000000.000000,15.000000,20000000.000000,MCS 4,Mixedmode,0.082000,0.355000,0.000000,0.000000,3.770000,3.750000,3.620000,5.200000,0.000000,5.540000,3.970000,4.150000,3.610000
5700000000.000000,15.000000,20000000.000000,MCS 4,Mixedmode,0.082000,0.372000,0.000000,0.000000,4.970000,1.930000,1.490000,3.340000,0.000000,5.390000,3.390000,5.390000,7.850000
2412000000.000000,15.000000,20000000.000000,MCS 7,Mixedmode,0.082000,0.351000,0.000000,0.000000,3.640000,2.290000,2.080000,3.780000,0.000000,3.730000,1.670000,3.280000,3.250000
5180000000.000000,15.000000,20000000.000000,MCS 7,Mixedmode,0.082000,0.356000,0.000000,0.000000,4.180000,4.240000,3.620000,5.410000,0.000000,5.630000,4.390000,4.530000,4.420000
5700000000.000000,15.000000,20000000.000000,MCS 7,Mixedmode,0.082000,0.375000,0.000000,0.000000,5.740000,1.680000,1.560000,3.570000,0.000000,5.450000,3.560000,5.310000,8.060000
