Channel Frequency(Hz),Power Level(dBm),Channel BW(Hz),DataRate/MCS Index,Frame Format,DUT Configuration Time,IQ Spectrum Meas Time,SM Violation(%) ,SMM(dB),SMM(dB)(-33MHz  -  -30MHz) ,SMM(dB)(-30MHz  -  -20MHz) ,SMM(dB)(-20MHz  -  -11MHz) ,SMM(dB)(-11MHz  -  9MHz) ,SMM(dB)(-9MHz  -  9MHz) ,SMM(dB)(9MHz  -  11MHz) ,SMM(dB)(11MHz  -  20MHz) ,SMM(20MHz  -  33MHz) 
2412000000.000000,0.000000,20000000.000000,MCS 4,Mixedmode,0.081000,0.020000,0.000000,0.000000,15.540000,16.080000,7.370000,6.810000,0.000000,10.440000,10.100000,15.830000,16.110000
2442000000.000000,0.000000,20000000.000000,MCS 4,Mixedmode,0.082000,0.023000,0.000000,0.000000,13.240000,13.950000,7.160000,6.540000,0.000000,10.510000,10.400000,15.360000,13.790000
2472000000.000000,0.000000,20000000.000000,MCS 4,Mixedmode,0.082000,0.020000,0.000000,0.000000,13.930000,13.670000,7.820000,6.750000,0.000000,10.060000,9.500000,16.560000,14.960000
5180000000.000000,0.000000,20000000.000000,MCS 4,Mixedmode,0.082000,0.022000,0.000000,0.000000,6.470000,5.250000,5.730000,2.120000,0.000000,9.010000,5.390000,7.320000,8.300000
5500000000.000000,0.000000,20000000.000000,MCS 4,Mixedmode,0.082000,0.021000,2.200000,-1.840000,1.940000,-0.320000,-1.840000,2.810000,0.000000,8.710000,2.130000,2.600000,4.980000
5700000000.000000,0.000000,20000000.000000,MCS 4,Mixedmode,0.082000,0.020000,0.000000,0.000000,5.330000,2.100000,0.210000,3.250000,0.000000,8.860000,2.630000,3.000000,7.720000
2412000000.000000,0.000000,20000000.000000,MCS 7,Mixedmode,0.082000,0.021000,0.000000,0.000000,15.080000,15.130000,8.130000,6.270000,0.000000,9.320000,9.480000,16.430000,15.730000
2442000000.000000,0.000000,20000000.000000,MCS 7,Mixedmode,0.082000,0.021000,0.000000,0.000000,13.530000,13.300000,7.860000,5.870000,0.000000,9.340000,9.540000,14.930000,13.930000
2472000000.000000,0.000000,20000000.000000,MCS 7,Mixedmode,0.081000,0.020000,0.000000,0.000000,14.370000,15.340000,7.590000,6.120000,0.000000,10.980000,10.750000,15.750000,14.400000
5180000000.000000,0.000000,20000000.000000,MCS 7,Mixedmode,0.081000,0.021000,0.000000,0.000000,6.440000,6.600000,5.580000,3.190000,0.000000,10.330000,6.820000,7.180000,6.910000
5500000000.000000,0.000000,20000000.000000,MCS 7,Mixedmode,0.081000,0.020000,0.670000,-1.440000,2.750000,0.710000,-1.440000,3.780000,0.000000,8.140000,2.140000,2.950000,6.080000
5700000000.000000,0.000000,20000000.000000,MCS 7,Mixedmode,0.082000,0.020000,0.000000,0.000000,5.760000,2.650000,0.960000,2.900000,0.000000,7.810000,1.880000,3.280000,7.500000
