Standard,Frequency(Hz),Channel BW(Hz),Data Rate/MCS Index,Frame Format,Payload Length,Power Level,# Packets Transmitted,#Packets Received,PER(%),Measurment Time(min)
802.11 A/G OFDM,2412000000.000000,20000000.000000,18Mbps,OFDM,634,NaN,100,100,0.000000,0.020283
802.11 A/G OFDM,2412000000.000000,20000000.000000,18Mbps,OFDM,634,-69.500000,100,100,0.000000,
802.11 A/G OFDM,2412000000.000000,20000000.000000,18Mbps,OFDM,634,-69.000000,100,100,0.000000,
802.11 A/G OFDM,2412000000.000000,20000000.000000,18Mbps,OFDM,634,-68.500000,100,100,0.000000,
802.11 A/G OFDM,2412000000.000000,20000000.000000,18Mbps,OFDM,634,-68.000000,100,100,0.000000,
802.11 A/G OFDM,2412000000.000000,20000000.000000,18Mbps,OFDM,634,-67.500000,100,100,0.000000,
802.11 A/G OFDM,2412000000.000000,20000000.000000,18Mbps,OFDM,634,-67.000000,100,100,0.000000,
802.11 A/G OFDM,5180000000.000000,20000000.000000,18Mbps,OFDM,634,NaN,100,100,0.000000,0.019650
802.11 A/G OFDM,5180000000.000000,20000000.000000,18Mbps,OFDM,634,-69.500000,100,100,0.000000,
802.11 A/G OFDM,5180000000.000000,20000000.000000,18Mbps,OFDM,634,-69.000000,100,100,0.000000,
802.11 A/G OFDM,5180000000.000000,20000000.000000,18Mbps,OFDM,634,-68.500000,100,100,0.000000,
802.11 A/G OFDM,5180000000.000000,20000000.000000,18Mbps,OFDM,634,-68.000000,100,100,0.000000,
802.11 A/G OFDM,5180000000.000000,20000000.000000,18Mbps,OFDM,634,-67.500000,100,100,0.000000,
802.11 A/G OFDM,5180000000.000000,20000000.000000,18Mbps,OFDM,634,-67.000000,100,100,0.000000,
802.11 A/G OFDM,5500000000.000000,20000000.000000,18Mbps,OFDM,634,NaN,100,100,0.000000,0.019817
802.11 A/G OFDM,5500000000.000000,20000000.000000,18Mbps,OFDM,634,-69.500000,100,100,0.000000,
802.11 A/G OFDM,5500000000.000000,20000000.000000,18Mbps,OFDM,634,-69.000000,100,100,0.000000,
802.11 A/G OFDM,5500000000.000000,20000000.000000,18Mbps,OFDM,634,-68.500000,100,100,0.000000,
802.11 A/G OFDM,5500000000.000000,20000000.000000,18Mbps,OFDM,634,-68.000000,100,100,0.000000,
802.11 A/G OFDM,5500000000.000000,20000000.000000,18Mbps,OFDM,634,-67.500000,100,100,0.000000,
802.11 A/G OFDM,5500000000.000000,20000000.000000,18Mbps,OFDM,634,-67.000000,100,100,0.000000,
802.11 A/G OFDM,5700000000.000000,20000000.000000,18Mbps,OFDM,634,NaN,100,100,0.000000,0.019767
802.11 A/G OFDM,5700000000.000000,20000000.000000,18Mbps,OFDM,634,-69.500000,100,100,0.000000,
802.11 A/G OFDM,5700000000.000000,20000000.000000,18Mbps,OFDM,634,-69.000000,100,100,0.000000,
802.11 A/G OFDM,5700000000.000000,20000000.000000,18Mbps,OFDM,634,-68.500000,100,100,0.000000,
802.11 A/G OFDM,5700000000.000000,20000000.000000,18Mbps,OFDM,634,-68.000000,100,100,0.000000,
802.11 A/G OFDM,5700000000.000000,20000000.000000,18Mbps,OFDM,634,-67.500000,100,100,0.000000,
802.11 A/G OFDM,5700000000.000000,20000000.000000,18Mbps,OFDM,634,-67.000000,100,100,0.000000,
802.11 A/G OFDM,2412000000.000000,20000000.000000,54Mbps,OFDM,734,NaN,100,100,0.000000,0.002433
802.11 A/G OFDM,5180000000.000000,20000000.000000,54Mbps,OFDM,734,NaN,100,100,0.000000,0.002500
802.11 A/G OFDM,5500000000.000000,20000000.000000,54Mbps,OFDM,734,NaN,100,100,0.000000,0.002483
802.11 A/G OFDM,5700000000.000000,20000000.000000,54Mbps,OFDM,734,NaN,100,100,0.000000,0.002467
802.11 N MIMOOFDM,2412000000.000000,20000000.000000,MCS4,Mixed Format,734,NaN,100,100,0.000000,0.002633
802.11 N MIMOOFDM,5180000000.000000,20000000.000000,MCS4,Mixed Format,734,NaN,100,100,0.000000,0.002700
802.11 N MIMOOFDM,5500000000.000000,20000000.000000,MCS4,Mixed Format,734,NaN,100,100,0.000000,0.002683
802.11 N MIMOOFDM,5700000000.000000,20000000.000000,MCS4,Mixed Format,734,NaN,100,100,0.000000,0.002633
802.11 N MIMOOFDM,2412000000.000000,20000000.000000,MCS7,Mixed Format,734,NaN,100,100,0.000000,0.002467
802.11 N MIMOOFDM,5180000000.000000,20000000.000000,MCS7,Mixed Format,734,NaN,100,100,0.000000,0.002483
802.11 N MIMOOFDM,5500000000.000000,20000000.000000,MCS7,Mixed Format,734,NaN,100,100,0.000000,0.002467
802.11 N MIMOOFDM,5700000000.000000,20000000.000000,MCS7,Mixed Format,734,NaN,100,100,0.000000,0.002483
