Channel Frequency(Hz),Power Level(dBm),Channel BW(Hz),DataRate/MCS Index,Frame Format,DUT Configuration Time,IQ Spectrum Meas Time,SM Violation(%) ,SMM(dB),SMM(dB)(-33MHz  -  -30MHz) ,SMM(dB)(-30MHz  -  -20MHz) ,SMM(dB)(-20MHz  -  -11MHz) ,SMM(dB)(-11MHz  -  9MHz) ,SMM(dB)(-9MHz  -  9MHz) ,SMM(dB)(9MHz  -  11MHz) ,SMM(dB)(11MHz  -  20MHz) ,SMM(20MHz  -  30Hz) ,SMM(30MHz  -  33MHz) 
2412000000.000000,0.000000,20000000.000000,18Mbps,OFDM,2.083000,0.022000,0.000000,0.000000,20.390000,19.600000,10.130000,9.740000,0.000000,10.370000,10.020000,20.240000,20.440000
2442000000.000000,0.000000,20000000.000000,18Mbps,OFDM,2.084000,0.020000,0.000000,0.000000,18.740000,18.920000,9.110000,9.200000,0.000000,13.000000,12.220000,20.140000,19.190000
2472000000.000000,0.000000,20000000.000000,18Mbps,OFDM,2.082000,0.021000,0.000000,0.000000,19.550000,18.300000,9.430000,9.240000,0.000000,12.170000,11.180000,20.560000,20.380000
5180000000.000000,0.000000,20000000.000000,18Mbps,OFDM,2.083000,0.021000,0.000000,0.000000,12.440000,7.600000,5.790000,8.030000,0.000000,10.270000,5.500000,9.990000,11.890000
5500000000.000000,0.000000,20000000.000000,18Mbps,OFDM,2.082000,0.020000,0.370000,-1.700000,8.010000,0.960000,-1.700000,4.190000,0.000000,10.730000,3.340000,6.040000,12.130000
5700000000.000000,0.000000,20000000.000000,18Mbps,OFDM,2.082000,0.020000,0.000000,0.000000,11.740000,4.060000,1.570000,6.000000,0.000000,10.050000,2.400000,5.910000,13.930000
2412000000.000000,0.000000,20000000.000000,54Mbps,OFDM,2.082000,0.020000,0.000000,0.000000,20.330000,20.580000,9.370000,9.400000,0.000000,10.650000,10.020000,20.440000,20.540000
2442000000.000000,0.000000,20000000.000000,54Mbps,OFDM,2.082000,0.021000,0.000000,0.000000,18.240000,19.430000,10.600000,10.910000,0.000000,11.390000,10.980000,20.150000,19.500000
2472000000.000000,0.000000,20000000.000000,54Mbps,OFDM,2.083000,0.020000,0.000000,0.000000,18.770000,18.250000,8.480000,9.080000,0.000000,10.410000,9.930000,19.790000,19.960000
5180000000.000000,0.000000,20000000.000000,54Mbps,OFDM,2.082000,0.020000,0.000000,0.000000,12.400000,9.310000,7.070000,8.470000,0.000000,11.300000,7.470000,11.290000,13.140000
5500000000.000000,0.000000,20000000.000000,54Mbps,OFDM,2.082000,0.020000,0.300000,-0.570000,7.230000,2.160000,-0.570000,3.460000,0.000000,10.130000,4.040000,5.570000,12.650000
5700000000.000000,0.000000,20000000.000000,54Mbps,OFDM,2.082000,0.020000,0.000000,0.000000,11.590000,3.700000,1.380000,5.940000,0.000000,8.930000,2.970000,6.100000,14.440000
2412000000.000000,0.000000,20000000.000000,18Mbps,OFDM,2.082000,0.020000,0.000000,0.000000,19.940000,19.920000,10.120000,10.170000,0.000000,11.010000,11.000000,20.070000,20.340000
2442000000.000000,0.000000,20000000.000000,18Mbps,OFDM,2.082000,0.021000,0.000000,0.000000,17.270000,18.790000,8.670000,9.330000,0.000000,10.790000,9.990000,19.660000,18.810000
2472000000.000000,0.000000,20000000.000000,18Mbps,OFDM,2.082000,0.020000,0.000000,0.000000,17.720000,18.220000,10.680000,10.490000,0.000000,9.970000,9.180000,20.250000,19.510000
5180000000.000000,0.000000,20000000.000000,18Mbps,OFDM,2.082000,0.021000,0.000000,0.000000,12.990000,8.990000,6.510000,8.600000,0.000000,10.870000,7.020000,10.530000,13.470000
5500000000.000000,0.000000,20000000.000000,18Mbps,OFDM,2.082000,0.020000,0.370000,-1.100000,8.520000,0.280000,-1.100000,3.940000,0.000000,9.980000,3.960000,5.730000,12.190000
5700000000.000000,0.000000,20000000.000000,18Mbps,OFDM,2.082000,0.020000,0.120000,-0.270000,11.120000,1.930000,-0.270000,5.800000,0.000000,9.580000,2.790000,5.940000,14.520000
2412000000.000000,0.000000,20000000.000000,54Mbps,OFDM,2.082000,0.020000,0.000000,0.000000,20.100000,20.210000,10.430000,10.920000,0.000000,11.100000,10.640000,19.750000,19.740000
2442000000.000000,0.000000,20000000.000000,54Mbps,OFDM,2.082000,0.021000,0.000000,0.000000,18.920000,18.820000,9.890000,9.500000,0.000000,11.740000,10.780000,20.750000,19.320000
2472000000.000000,0.000000,20000000.000000,54Mbps,OFDM,2.083000,0.020000,0.000000,0.000000,18.290000,18.410000,10.080000,10.580000,0.000000,11.230000,10.620000,20.110000,18.750000
5180000000.000000,0.000000,20000000.000000,54Mbps,OFDM,2.083000,0.021000,0.000000,0.000000,12.660000,8.650000,6.610000,8.190000,0.000000,10.920000,6.720000,9.300000,12.140000
5500000000.000000,0.000000,20000000.000000,54Mbps,OFDM,2.084000,0.020000,0.300000,-0.730000,7.790000,1.050000,-0.730000,3.320000,0.000000,11.650000,3.680000,4.630000,12.890000
5700000000.000000,0.000000,20000000.000000,54Mbps,OFDM,2.085000,0.020000,0.000000,0.000000,11.400000,3.810000,1.280000,5.780000,0.000000,8.360000,3.060000,6.260000,14.930000
2412000000.000000,0.000000,20000000.000000,18Mbps,OFDM,2.085000,0.020000,0.000000,0.000000,19.660000,19.620000,9.120000,9.720000,0.000000,10.590000,9.800000,19.670000,19.500000
2442000000.000000,0.000000,20000000.000000,18Mbps,OFDM,2.084000,0.020000,0.000000,0.000000,18.470000,18.800000,9.340000,9.860000,0.000000,11.400000,10.750000,20.610000,19.220000
2472000000.000000,0.000000,20000000.000000,18Mbps,OFDM,2.083000,0.020000,0.000000,0.000000,17.870000,18.900000,10.230000,9.990000,0.000000,10.190000,9.530000,20.290000,19.240000
5180000000.000000,0.000000,20000000.000000,18Mbps,OFDM,2.084000,0.020000,0.000000,0.000000,12.950000,8.980000,6.070000,9.240000,0.000000,9.810000,6.350000,10.140000,11.940000
5500000000.000000,0.000000,20000000.000000,18Mbps,OFDM,2.083000,0.020000,0.610000,-0.700000,8.360000,1.450000,-0.700000,4.590000,0.000000,10.080000,3.990000,5.300000,12.930000
5700000000.000000,0.000000,20000000.000000,18Mbps,OFDM,2.085000,0.020000,0.000000,0.000000,12.940000,3.380000,1.010000,6.330000,0.000000,10.010000,3.220000,5.680000,13.460000
2412000000.000000,0.000000,20000000.000000,54Mbps,OFDM,2.084000,0.020000,0.000000,0.000000,18.560000,19.510000,10.460000,10.200000,0.000000,10.540000,10.290000,17.580000,19.700000
2442000000.000000,0.000000,20000000.000000,54Mbps,OFDM,2.085000,0.020000,0.000000,0.000000,19.180000,19.580000,10.350000,10.350000,0.000000,11.870000,11.300000,20.490000,20.170000
2472000000.000000,0.000000,20000000.000000,54Mbps,OFDM,2.084000,0.020000,0.000000,0.000000,17.990000,18.560000,10.290000,9.950000,0.000000,10.950000,10.400000,17.870000,19.740000
5180000000.000000,0.000000,20000000.000000,54Mbps,OFDM,2.085000,0.020000,0.000000,0.000000,12.410000,9.420000,6.550000,9.290000,0.000000,10.080000,6.560000,9.670000,12.590000
5500000000.000000,0.000000,20000000.000000,54Mbps,OFDM,2.083000,0.021000,1.100000,-1.620000,7.020000,1.590000,-1.620000,2.530000,0.000000,10.670000,4.070000,5.280000,12.420000
5700000000.000000,0.000000,20000000.000000,54Mbps,OFDM,2.083000,0.020000,0.000000,0.000000,10.680000,3.680000,0.760000,4.720000,0.000000,9.070000,3.310000,5.170000,13.610000
2412000000.000000,0.000000,20000000.000000,18Mbps,OFDM,2.083000,0.020000,0.000000,0.000000,19.460000,19.230000,8.730000,8.550000,0.000000,11.400000,10.060000,19.950000,19.900000
2442000000.000000,0.000000,20000000.000000,18Mbps,OFDM,2.083000,0.020000,0.000000,0.000000,17.590000,18.910000,9.420000,9.420000,0.000000,11.490000,10.590000,19.870000,18.320000
2472000000.000000,0.000000,20000000.000000,18Mbps,OFDM,2.085000,1.011000,21474836.470000,0.000000
