Channel Frequency(Hz),Power Level(dBm),Channel BW(Hz),DataRate/MCS Index,Frame Format,DUT Configuration Time,IQ Spectrum Meas Time,SM Violation(%) ,SMM(dB),SMM(dB)(-33MHz  -  -30MHz) ,SMM(dB)(-30MHz  -  -20MHz) ,SMM(dB)(-20MHz  -  -11MHz) ,SMM(dB)(-11MHz  -  9MHz) ,SMM(dB)(-9MHz  -  9MHz) ,SMM(dB)(9MHz  -  11MHz) ,SMM(dB)(11MHz  -  20MHz) ,SMM(20MHz  -  33MHz) 
2412000000.000000,0.000000,20000000.000000,MCS 4,Mixedmode,0.082000,0.020000,0.000000,0.000000,14.240000,15.950000,7.010000,7.000000,0.000000,10.000000,9.660000,16.170000,14.650000
2442000000.000000,0.000000,20000000.000000,MCS 4,Mixedmode,0.083000,0.020000,0.000000,0.000000,14.190000,15.110000,6.240000,6.650000,0.000000,9.900000,9.240000,14.780000,14.710000
2472000000.000000,0.000000,20000000.000000,MCS 4,Mixedmode,0.082000,0.020000,0.000000,0.000000,13.790000,15.180000,6.970000,6.640000,0.000000,9.530000,9.480000,16.400000,15.270000
5180000000.000000,0.000000,20000000.000000,MCS 4,Mixedmode,0.082000,0.021000,0.000000,0.000000,7.830000,7.420000,6.860000,2.710000,0.000000,11.340000,7.710000,8.840000,8.170000
5500000000.000000,0.000000,20000000.000000,MCS 4,Mixedmode,0.082000,0.022000,0.430000,-0.600000,3.890000,1.090000,-0.600000,2.970000,0.000000,10.280000,2.820000,4.390000,6.900000
5700000000.000000,0.000000,20000000.000000,MCS 4,Mixedmode,0.081000,0.020000,0.000000,0.000000,6.310000,2.690000,1.930000,3.250000,0.000000,10.220000,3.470000,5.350000,8.060000
2412000000.000000,0.000000,20000000.000000,MCS 7,Mixedmode,0.082000,0.020000,0.000000,0.000000,15.910000,16.090000,9.160000,8.700000,0.000000,8.930000,9.170000,15.130000,15.760000
2442000000.000000,0.000000,20000000.000000,MCS 7,Mixedmode,0.083000,0.020000,0.000000,0.000000,13.740000,13.940000,9.640000,7.370000,0.000000,9.370000,9.540000,14.770000,14.600000
2472000000.000000,0.000000,20000000.000000,MCS 7,Mixedmode,0.083000,0.020000,0.000000,0.000000,13.720000,14.890000,7.720000,6.530000,0.000000,9.080000,9.280000,15.600000,15.790000
5180000000.000000,0.000000,20000000.000000,MCS 7,Mixedmode,0.083000,0.021000,0.000000,0.000000,6.720000,6.670000,6.090000,3.530000,0.000000,10.670000,6.390000,7.610000,7.650000
5500000000.000000,0.000000,20000000.000000,MCS 7,Mixedmode,0.082000,0.021000,0.120000,-0.640000,4.510000,1.190000,-0.640000,2.150000,0.000000,8.540000,2.410000,2.320000,6.540000
5700000000.000000,0.000000,20000000.000000,MCS 7,Mixedmode,0.082000,0.020000,0.000000,0.000000,6.010000,3.080000,1.930000,3.350000,0.000000,9.740000,2.770000,3.320000,8.070000
