Channel Frequency(Hz),Power Level(dBm),Channel Bandwidth(Hz),DataRate/MCS Index,Frame Format,DUT Configuration Time,IQ demod Meas Time,RMS EVM(dB),Min Peak Power(dBm),Max Peak Power(dBm),Avg. Power(dBm),Min Avg. Power(dBm),Max Avg. Power(dBm),Frequency Offset(ppm),SampleClockOffset(ppm),LO Leakage(dB),GainImbalance(dB),Skew(deg),RMS Phase Noise(deg),SpectralFlatnessMargin(dB), Min SpectralFlatnessMargin(dB),Min SFM Subcarrier Index
2412000000.000000,0.000000,20000000.000000,4,Mixedmode,0.082000,0.096000,-32.470000,8.920000,10.860000,1.010000,0.960000,1.120000,-70.160000,-70.910000,-36.730000,0.030000,0.290000,0.340000,3.650000,3.660000,-11.000000
2442000000.000000,0.000000,20000000.000000,4,Mixedmode,0.082000,0.095000,-32.570000,8.670000,10.810000,0.780000,0.720000,0.940000,-70.200000,-69.920000,-38.130000,0.030000,-0.140000,0.370000,3.570000,3.580000,-18.000000
2472000000.000000,0.000000,20000000.000000,4,Mixedmode,0.082000,0.103000,-32.480000,8.580000,9.900000,0.740000,0.690000,0.910000,-70.190000,-70.690000,-34.000000,0.020000,-0.020000,0.420000,3.560000,3.540000,-21.000000
5180000000.000000,0.000000,20000000.000000,4,Mixedmode,0.082000,0.081000,-26.130000,8.690000,9.850000,0.300000,0.210000,0.390000,-70.210000,-70.040000,-43.310000,0.160000,-0.370000,1.130000,3.470000,3.410000,2.000000
5500000000.000000,0.000000,20000000.000000,4,Mixedmode,0.082000,0.103000,-22.330000,7.660000,8.530000,0.060000,-0.030000,0.140000,-70.120000,-68.260000,-48.370000,0.020000,0.280000,1.110000,3.330000,3.290000,14.000000
5700000000.000000,0.000000,20000000.000000,4,Mixedmode,0.083000,0.096000,-23.070000,8.300000,9.630000,0.620000,0.490000,1.080000,-70.270000,-71.170000,-39.140000,0.030000,-1.060000,0.960000,3.460000,3.450000,14.000000
2412000000.000000,0.000000,20000000.000000,7,Mixedmode,0.082000,0.096000,-32.610000,9.120000,10.940000,0.980000,0.830000,1.070000,-70.080000,-70.370000,-36.970000,0.010000,0.070000,0.380000,3.670000,3.640000,-18.000000
2442000000.000000,0.000000,20000000.000000,7,Mixedmode,0.082000,0.102000,-32.420000,8.560000,10.590000,0.760000,0.670000,0.830000,-70.180000,-70.090000,-39.280000,0.020000,-0.150000,0.410000,3.560000,3.560000,-19.000000
2472000000.000000,0.000000,20000000.000000,7,Mixedmode,0.082000,0.092000,-32.000000,8.630000,10.130000,0.720000,0.660000,0.800000,-70.140000,-70.710000,-34.370000,0.010000,-0.030000,0.380000,3.540000,3.500000,-21.000000
5180000000.000000,0.000000,20000000.000000,7,Mixedmode,0.082000,0.080000,-25.790000,9.050000,9.860000,0.290000,0.220000,0.410000,-70.280000,-69.090000,-44.720000,0.180000,-0.400000,1.130000,3.450000,3.430000,1.000000
5500000000.000000,0.000000,20000000.000000,7,Mixedmode,0.082000,0.105000,-22.190000,7.830000,8.860000,0.090000,-0.010000,0.210000,-70.180000,-66.930000,-48.930000,0.010000,0.290000,1.260000,3.310000,3.440000,2.000000
5700000000.000000,0.000000,20000000.000000,7,Mixedmode,0.083000,0.095000,-23.060000,8.330000,9.320000,0.820000,0.480000,1.190000,-70.260000,-68.480000,-39.050000,0.030000,-1.110000,1.050000,3.450000,3.450000,-14.000000
