Channel Frequency(Hz),Power Level(dBm),Channel BW(Hz),DataRate/MCS Index,Frame Format,DUT Configuration Time,IQ Spectrum Meas Time,SM Violation(%) ,SMM(dB),SMM(dB)(-33MHz  -  -30MHz) ,SMM(dB)(-30MHz  -  -20MHz) ,SMM(dB)(-20MHz  -  -11MHz) ,SMM(dB)(-11MHz  -  9MHz) ,SMM(dB)(-9MHz  -  9MHz) ,SMM(dB)(9MHz  -  11MHz) ,SMM(dB)(11MHz  -  20MHz) ,SMM(20MHz  -  33MHz) 
2412000000.000000,15.000000,20000000.000000,MCS 4,Mixedmode,0.082000,0.061000,0.000000,0.000000,2.050000,2.820000,7.570000,8.090000,0.000000,10.890000,9.040000,8.640000,7.100000
2442000000.000000,15.000000,20000000.000000,MCS 4,Mixedmode,0.081000,0.035000,0.000000,0.000000,3.480000,4.420000,8.570000,9.170000,0.000000,10.370000,9.230000,8.240000,7.090000
2472000000.000000,15.000000,20000000.000000,MCS 4,Mixedmode,0.081000,0.045000,0.000000,0.000000,5.320000,5.990000,8.090000,8.550000,0.000000,9.190000,8.770000,7.160000,7.130000
5180000000.000000,15.000000,20000000.000000,MCS 4,Mixedmode,0.081000,0.027000,0.120000,-0.580000,-0.580000,0.350000,8.280000,8.720000,0.000000,5.940000,3.190000,2.660000,3.180000
5500000000.000000,15.000000,20000000.000000,MCS 4,Mixedmode,0.081000,0.044000,0.000000,0.000000,1.690000,0.530000,0.140000,2.970000,0.000000,6.910000,3.140000,6.380000,7.040000
5700000000.000000,15.000000,20000000.000000,MCS 4,Mixedmode,0.081000,0.044000,3.050000,-2.470000,-1.360000,-2.470000,-0.950000,1.960000,0.000000,5.620000,1.260000,2.340000,2.100000
2412000000.000000,15.000000,20000000.000000,MCS 7,Mixedmode,0.082000,0.037000,0.000000,0.000000,3.940000,4.240000,7.210000,8.840000,0.000000,10.140000,8.810000,8.650000,7.920000
2442000000.000000,15.000000,20000000.000000,MCS 7,Mixedmode,0.082000,0.035000,0.000000,0.000000,5.450000,6.050000,8.170000,10.010000,0.000000,9.900000,9.130000,8.130000,8.160000
2472000000.000000,15.000000,20000000.000000,MCS 7,Mixedmode,0.081000,0.036000,0.000000,0.000000,7.180000,6.470000,7.830000,9.500000,0.000000,10.160000,9.630000,8.100000,8.240000
5180000000.000000,15.000000,20000000.000000,MCS 7,Mixedmode,0.082000,0.043000,0.610000,-1.160000,-1.160000,-0.710000,9.230000,10.670000,0.000000,7.920000,3.410000,2.780000,2.510000
5500000000.000000,15.000000,20000000.000000,MCS 7,Mixedmode,0.082000,0.040000,0.000000,0.000000,2.470000,2.360000,0.980000,5.830000,0.000000,7.410000,3.870000,7.380000,6.230000
5700000000.000000,15.000000,20000000.000000,MCS 7,Mixedmode,0.082000,0.035000,0.670000,-1.020000,0.030000,-1.020000,-0.530000,4.450000,0.000000,5.170000,0.990000,2.340000,1.820000
