Channel Frequency(Hz),Power Level(dBm),Channel Bandwidth(Hz),DataRate/MCS Index,Frame Format,DUT Configuration Time,IQ demod Meas Time,RMS EVM(dB),Min Peak Power(dBm),Max Peak Power(dBm),Avg. Power(dBm),Min Avg. Power(dBm),Max Avg. Power(dBm),Frequency Offset(ppm),SampleClockOffset(ppm),LO Leakage(dB),GainImbalance(dB),Skew(deg),RMS Phase Noise(deg),SpectralFlatnessMargin(dB), Min SpectralFlatnessMargin(dB),Min SFM Subcarrier Index
2412000000.000000,15.000000,20000000.000000,18Mbps,OFDM,0.082000,0.116000,-22.010000,22.040000,22.780000,15.520000,15.310000,15.780000,-11.440000,-9.350000,-39.060000,-0.010000,-0.090000,1.180000,1.650000,1.650000,-4.000000
5180000000.000000,15.000000,20000000.000000,18Mbps,OFDM,0.081000,0.107000,-22.710000,21.580000,22.960000,14.860000,14.570000,15.020000,-11.450000,-10.280000,-42.350000,0.090000,0.180000,1.180000,1.390000,1.430000,-4.000000
5700000000.000000,15.000000,20000000.000000,18Mbps,OFDM,0.082000,0.118000,-22.590000,21.200000,22.470000,14.960000,14.670000,15.170000,-11.480000,-9.180000,-45.960000,0.120000,0.010000,1.340000,1.500000,1.510000,-15.000000
2412000000.000000,15.000000,20000000.000000,54Mbps,OFDM,0.081000,0.121000,-27.430000,23.200000,24.260000,16.160000,16.050000,16.220000,-11.470000,-10.750000,-44.760000,-0.090000,-0.330000,0.650000,1.720000,1.740000,4.000000
5180000000.000000,15.000000,20000000.000000,54Mbps,OFDM,0.082000,0.114000,-27.900000,22.430000,23.760000,15.280000,15.110000,15.360000,-11.590000,-8.300000,-47.210000,0.060000,-0.080000,0.880000,1.570000,1.550000,16.000000
5700000000.000000,15.000000,20000000.000000,54Mbps,OFDM,0.081000,0.106000,-27.880000,22.410000,23.020000,15.740000,15.670000,15.820000,-11.530000,-8.900000,-42.810000,0.070000,-0.100000,0.880000,1.610000,1.610000,-15.000000
