Channel Frequency(Hz),Power Level(dBm),Channel BW(Hz),DataRate/MCS Index,Frame Format,DUT Configuration Time,IQ Spectrum Meas Time,SM Violation(%) ,SMM(dB),SMM(dB)(-33MHz  -  -30MHz) ,SMM(dB)(-30MHz  -  -20MHz) ,SMM(dB)(-20MHz  -  -11MHz) ,SMM(dB)(-11MHz  -  9MHz) ,SMM(dB)(-9MHz  -  9MHz) ,SMM(dB)(9MHz  -  11MHz) ,SMM(dB)(11MHz  -  20MHz) ,SMM(20MHz  -  33MHz) 
2412000000.000000,0.000000,20000000.000000,MCS 4,Mixedmode,0.082000,0.020000,0.000000,0.000000,15.340000,16.250000,8.220000,8.600000,0.000000,9.040000,9.330000,16.090000,15.550000
2442000000.000000,0.000000,20000000.000000,MCS 4,Mixedmode,0.082000,0.020000,0.000000,0.000000,12.800000,14.180000,8.040000,8.150000,0.000000,10.060000,9.920000,15.570000,13.920000
2472000000.000000,0.000000,20000000.000000,MCS 4,Mixedmode,0.081000,0.020000,0.000000,0.000000,13.950000,14.800000,7.470000,7.320000,0.000000,9.490000,9.620000,15.980000,14.230000
5180000000.000000,0.000000,20000000.000000,MCS 4,Mixedmode,0.082000,0.021000,0.000000,0.000000,8.080000,7.760000,7.990000,8.210000,0.000000,8.920000,6.740000,8.510000,7.220000
5500000000.000000,0.000000,20000000.000000,MCS 4,Mixedmode,0.081000,0.020000,1.220000,-1.040000,1.620000,1.610000,-1.040000,3.920000,0.000000,7.360000,3.040000,3.250000,5.670000
5700000000.000000,0.000000,20000000.000000,MCS 4,Mixedmode,0.082000,0.020000,0.000000,0.000000,6.060000,3.570000,1.920000,4.990000,0.000000,7.530000,2.740000,3.330000,8.350000
2412000000.000000,0.000000,20000000.000000,MCS 7,Mixedmode,0.082000,0.020000,0.000000,0.000000,14.440000,15.240000,7.660000,7.850000,0.000000,8.190000,7.970000,16.320000,14.130000
2442000000.000000,0.000000,20000000.000000,MCS 7,Mixedmode,0.082000,0.017000,0.000000,0.000000,13.090000,14.140000,8.260000,8.430000,0.000000,9.390000,8.430000,15.880000,14.520000
2472000000.000000,0.000000,20000000.000000,MCS 7,Mixedmode,0.082000,0.017000,0.000000,0.000000,13.920000,14.470000,7.750000,7.800000,0.000000,8.160000,8.140000,15.510000,14.990000
5180000000.000000,0.000000,20000000.000000,MCS 7,Mixedmode,0.082000,0.020000,0.000000,0.000000,9.000000,8.200000,7.440000,9.250000,0.000000,9.090000,6.180000,7.270000,7.360000
5500000000.000000,0.000000,20000000.000000,MCS 7,Mixedmode,0.082000,0.020000,0.060000,-0.070000,2.750000,2.500000,-0.070000,5.130000,0.000000,8.930000,3.420000,3.600000,7.260000
5700000000.000000,0.000000,20000000.000000,MCS 7,Mixedmode,0.082000,0.020000,0.120000,-0.120000,6.530000,3.040000,-0.120000,5.450000,0.000000,7.100000,0.540000,3.640000,7.530000
