Channel Frequency(Hz),Power Level(dBm),Channel BW(Hz),DataRate/MCS Index,Frame Format,DUT Configuration Time,IQ Spectrum Meas Time,SM Violation(%) ,SMM(dB),SMM(dB)(-33MHz  -  -30MHz) ,SMM(dB)(-30MHz  -  -20MHz) ,SMM(dB)(-20MHz  -  -11MHz) ,SMM(dB)(-11MHz  -  9MHz) ,SMM(dB)(-9MHz  -  9MHz) ,SMM(dB)(9MHz  -  11MHz) ,SMM(dB)(11MHz  -  20MHz) ,SMM(20MHz  -  33MHz) 
2412000000.000000,15.000000,20000000.000000,MCS 4,Mixedmode,0.081000,0.339000,0.000000,0.000000,4.540000,2.620000,2.450000,3.710000,0.000000,3.850000,1.870000,3.570000,3.370000
5180000000.000000,15.000000,20000000.000000,MCS 4,Mixedmode,0.082000,0.347000,0.000000,0.000000,4.280000,4.070000,3.340000,5.410000,0.000000,5.370000,4.030000,4.400000,3.830000
5700000000.000000,15.000000,20000000.000000,MCS 4,Mixedmode,0.082000,0.374000,0.000000,0.000000,6.080000,2.380000,1.920000,3.840000,0.000000,5.290000,3.820000,5.900000,8.290000
2412000000.000000,15.000000,20000000.000000,MCS 7,Mixedmode,0.082000,0.350000,0.000000,0.000000,4.290000,2.790000,2.800000,3.820000,0.000000,4.200000,1.980000,3.650000,3.820000
5180000000.000000,15.000000,20000000.000000,MCS 7,Mixedmode,0.082000,0.353000,0.000000,0.000000,4.100000,4.100000,3.570000,5.430000,0.000000,5.540000,3.940000,4.730000,3.970000
5700000000.000000,15.000000,20000000.000000,MCS 7,Mixedmode,0.082000,0.372000,0.000000,0.000000,6.150000,2.320000,1.710000,3.970000,0.000000,5.780000,3.940000,6.070000,9.210000
