Channel Frequency(Hz),Power Level(dBm),Channel Bandwidth(Hz),DataRate/MCS Index,Frame Format,DUT Configuration Time,IQ demod Meas Time,RMS EVM(dB),Min Peak Power(dBm),Max Peak Power(dBm),Avg. Power(dBm),Min Avg. Power(dBm),Max Avg. Power(dBm),Frequency Offset(ppm),SampleClockOffset(ppm),LO Leakage(dB),GainImbalance(dB),Skew(deg),RMS Phase Noise(deg),SpectralFlatnessMargin(dB), Min SpectralFlatnessMargin(dB),Min SFM Subcarrier Index
2412000000.000000,0.000000,20000000.000000,4,Mixedmode,0.082000,0.105000,-32.040000,8.570000,10.330000,0.540000,0.430000,0.620000,3.840000,2.700000,-45.390000,0.030000,0.020000,0.370000,3.620000,3.660000,-21.000000
2442000000.000000,0.000000,20000000.000000,4,Mixedmode,0.082000,0.089000,-33.070000,8.290000,9.740000,0.450000,0.350000,0.530000,3.760000,4.110000,-36.610000,-0.020000,0.050000,0.440000,3.630000,3.680000,-17.000000
2472000000.000000,0.000000,20000000.000000,4,Mixedmode,0.081000,0.080000,-32.300000,8.590000,10.150000,0.710000,0.620000,0.800000,3.810000,4.890000,-39.000000,-0.040000,0.010000,0.480000,3.630000,3.690000,-20.000000
5180000000.000000,0.000000,20000000.000000,4,Mixedmode,0.082000,0.082000,-26.370000,8.560000,10.350000,0.210000,0.080000,0.330000,4.050000,3.380000,-37.270000,0.150000,0.120000,1.380000,3.540000,3.620000,10.000000
5500000000.000000,0.000000,20000000.000000,4,Mixedmode,0.081000,0.092000,-22.240000,7.590000,8.510000,0.000000,-0.360000,0.180000,4.050000,1.160000,-38.420000,0.130000,-0.440000,1.170000,3.320000,3.420000,-15.000000
5700000000.000000,0.000000,20000000.000000,4,Mixedmode,0.082000,0.099000,-23.270000,7.720000,9.440000,0.190000,0.110000,0.300000,3.860000,-0.090000,-38.080000,0.160000,-0.780000,1.150000,3.420000,3.460000,-15.000000
2412000000.000000,0.000000,20000000.000000,7,Mixedmode,0.082000,0.088000,-32.470000,8.650000,10.760000,0.520000,0.410000,0.670000,3.870000,3.540000,-43.150000,0.010000,0.000000,0.430000,3.620000,3.640000,-21.000000
2442000000.000000,0.000000,20000000.000000,7,Mixedmode,0.082000,0.094000,-33.040000,8.280000,10.490000,0.380000,0.280000,0.470000,3.810000,4.800000,-36.610000,-0.030000,0.230000,0.450000,3.630000,3.590000,-17.000000
2472000000.000000,0.000000,20000000.000000,7,Mixedmode,0.082000,0.098000,-32.680000,8.510000,10.050000,0.660000,0.610000,0.740000,3.890000,4.170000,-38.210000,-0.040000,-0.160000,0.440000,3.640000,3.680000,-18.000000
5180000000.000000,0.000000,20000000.000000,7,Mixedmode,0.082000,0.104000,-25.990000,9.000000,10.430000,0.230000,0.130000,0.340000,3.780000,5.830000,-37.140000,0.170000,0.080000,1.330000,3.510000,3.360000,10.000000
5500000000.000000,0.000000,20000000.000000,7,Mixedmode,0.082000,0.101000,-22.140000,7.630000,9.110000,0.060000,-0.460000,0.230000,3.930000,1.450000,-38.250000,0.150000,-0.430000,1.180000,3.290000,3.320000,14.000000
5700000000.000000,0.000000,20000000.000000,7,Mixedmode,0.082000,0.103000,-23.390000,8.000000,9.200000,0.160000,0.050000,0.250000,3.900000,4.170000,-37.840000,0.200000,-0.800000,1.010000,3.410000,3.410000,14.000000
