Channel Frequency(Hz),Power Level(dBm),Channel BW(Hz),DataRate/MCS Index,Frame Format,DUT Configuration Time,IQ Spectrum Meas Time,SM Violation(%) ,SMM(dB),SMM(dB)(-33MHz  -  -30MHz) ,SMM(dB)(-30MHz  -  -20MHz) ,SMM(dB)(-20MHz  -  -11MHz) ,SMM(dB)(-11MHz  -  9MHz) ,SMM(dB)(-9MHz  -  9MHz) ,SMM(dB)(9MHz  -  11MHz) ,SMM(dB)(11MHz  -  20MHz) ,SMM(20MHz  -  33MHz) 
2412000000.000000,0.000000,20000000.000000,MCS 4,Mixedmode,0.321000,0.021000,0.000000,0.000000,14.290000,16.430000,7.940000,7.850000,0.000000,9.620000,8.810000,15.690000,14.620000
2442000000.000000,0.000000,20000000.000000,MCS 4,Mixedmode,0.082000,0.020000,0.000000,0.000000,14.070000,14.470000,9.120000,8.430000,0.000000,9.120000,9.390000,15.880000,15.300000
2472000000.000000,0.000000,20000000.000000,MCS 4,Mixedmode,0.082000,0.020000,0.000000,0.000000,13.200000,14.830000,8.370000,8.690000,0.000000,9.170000,9.210000,14.750000,14.410000
5180000000.000000,0.000000,20000000.000000,MCS 4,Mixedmode,0.082000,0.020000,0.000000,0.000000,7.060000,5.420000,4.140000,7.840000,0.000000,9.120000,4.610000,7.180000,7.350000
5500000000.000000,0.000000,20000000.000000,MCS 4,Mixedmode,0.082000,0.019000,4.700000,-3.070000,-0.330000,-1.390000,-3.070000,2.970000,0.000000,6.350000,0.590000,0.790000,3.260000
5700000000.000000,0.000000,20000000.000000,MCS 4,Mixedmode,0.082000,0.020000,7.260000,-2.660000,-0.100000,-1.330000,-2.660000,3.490000,0.000000,4.810000,-2.350000,-0.770000,2.450000
2412000000.000000,0.000000,20000000.000000,MCS 7,Mixedmode,0.082000,0.023000,0.000000,0.000000,14.230000,15.340000,9.580000,9.040000,0.000000,10.020000,9.490000,15.780000,14.560000
2442000000.000000,0.000000,20000000.000000,MCS 7,Mixedmode,0.082000,0.020000,0.000000,0.000000,13.120000,13.280000,7.920000,8.020000,0.000000,8.300000,7.440000,14.850000,13.600000
2472000000.000000,0.000000,20000000.000000,MCS 7,Mixedmode,0.081000,0.020000,0.000000,0.000000,13.640000,14.010000,9.530000,8.980000,0.000000,10.210000,9.740000,15.800000,14.870000
5180000000.000000,0.000000,20000000.000000,MCS 7,Mixedmode,0.201000,0.020000,0.000000,0.000000,7.680000,7.520000,5.110000,7.020000,0.000000,8.540000,5.340000,7.000000,7.290000
5500000000.000000,0.000000,20000000.000000,MCS 7,Mixedmode,0.082000,0.020000,2.800000,-1.840000,0.570000,0.700000,-1.840000,2.880000,0.000000,5.790000,0.470000,1.960000,3.970000
5700000000.000000,0.000000,20000000.000000,MCS 7,Mixedmode,0.082000,0.020000,4.940000,-2.330000,1.030000,-0.950000,-2.310000,3.040000,0.000000,4.370000,-2.330000,-1.010000,2.600000
