Channel Frequency(Hz),Power Level(dBm),Channel Bandwidth(Hz),DataRate/MCS Index,Frame Format,DUT Configuration Time,IQ demod Meas Time,RMS EVM(dB),Min Peak Power(dBm),Max Peak Power(dBm),Avg. Power(dBm),Min Avg. Power(dBm),Max Avg. Power(dBm),Frequency Offset(ppm),SampleClockOffset(ppm),LO Leakage(dB),GainImbalance(dB),Skew(deg),RMS Phase Noise(deg),SpectralFlatnessMargin(dB), Min SpectralFlatnessMargin(dB),Min SFM Subcarrier Index
2412000000.000000,0.000000,20000000.000000,18Mbps,OFDM,0.082000,0.189000,-33.320000,8.790000,10.730000,0.820000,0.430000,0.910000,3.880000,3.650000,-48.120000,0.020000,-0.240000,0.430000,3.690000,3.690000,-14.000000
2442000000.000000,0.000000,20000000.000000,18Mbps,OFDM,0.082000,0.180000,-33.390000,7.480000,9.660000,0.250000,0.060000,0.670000,3.970000,4.450000,-37.520000,0.020000,-0.330000,0.470000,3.610000,3.620000,-15.000000
2472000000.000000,0.000000,20000000.000000,18Mbps,OFDM,0.082000,0.133000,-33.800000,8.000000,10.100000,0.210000,-0.010000,0.590000,3.970000,3.250000,-35.240000,0.030000,-0.170000,0.450000,3.610000,3.610000,-16.000000
5180000000.000000,0.000000,20000000.000000,18Mbps,OFDM,0.082000,0.165000,-25.980000,7.750000,9.120000,-0.100000,-0.590000,0.050000,3.850000,4.840000,-43.520000,0.030000,0.590000,1.250000,3.710000,3.780000,1.000000
5500000000.000000,0.000000,20000000.000000,18Mbps,OFDM,0.082000,0.188000,-20.410000,6.500000,7.670000,0.150000,0.080000,0.240000,4.200000,8.960000,-41.380000,-0.010000,-0.850000,1.350000,3.580000,3.560000,16.000000
5700000000.000000,0.000000,20000000.000000,18Mbps,OFDM,0.082000,0.157000,-20.670000,6.770000,7.360000,0.270000,0.230000,0.300000,4.120000,3.170000,-40.220000,-0.020000,-0.970000,1.440000,3.670000,3.600000,16.000000
2412000000.000000,0.000000,20000000.000000,54Mbps,OFDM,0.082000,0.186000,-33.320000,8.730000,10.010000,0.610000,0.520000,0.780000,4.030000,3.370000,-47.790000,0.030000,-0.200000,0.410000,3.690000,3.740000,-18.000000
2442000000.000000,0.000000,20000000.000000,54Mbps,OFDM,0.082000,0.180000,-32.520000,8.150000,10.110000,0.410000,-0.050000,0.730000,3.970000,5.890000,-37.320000,0.010000,-0.120000,0.400000,3.610000,3.570000,-21.000000
2472000000.000000,0.000000,20000000.000000,54Mbps,OFDM,0.082000,0.172000,-33.020000,7.460000,9.120000,0.360000,0.020000,0.500000,3.830000,8.050000,-36.010000,0.040000,-0.150000,0.490000,3.600000,3.630000,-17.000000
5180000000.000000,0.000000,20000000.000000,54Mbps,OFDM,0.082000,0.163000,-26.420000,7.700000,9.760000,-0.040000,-0.140000,0.130000,3.900000,2.540000,-42.220000,0.050000,0.610000,1.340000,3.710000,3.770000,1.000000
5500000000.000000,0.000000,20000000.000000,54Mbps,OFDM,0.082000,0.150000,-20.970000,6.790000,8.050000,0.190000,0.100000,0.260000,4.140000,-5.840000,-41.050000,0.000000,-0.850000,1.120000,3.590000,3.610000,3.000000
5700000000.000000,0.000000,20000000.000000,54Mbps,OFDM,0.082000,0.187000,-20.970000,6.490000,7.790000,0.270000,0.180000,0.420000,4.200000,-1.730000,-39.850000,0.020000,-0.920000,1.340000,3.650000,3.700000,16.000000
