Channel Frequency(Hz),Power Level(dBm),Channel BW(Hz),DataRate/MCS Index,Frame Format,DUT Configuration Time,IQ Spectrum Meas Time,SM Violation(%) ,SMM(dB),SMM(dB)(-33MHz  -  -30MHz) ,SMM(dB)(-30MHz  -  -20MHz) ,SMM(dB)(-20MHz  -  -11MHz) ,SMM(dB)(-11MHz  -  9MHz) ,SMM(dB)(-9MHz  -  9MHz) ,SMM(dB)(9MHz  -  11MHz) ,SMM(dB)(11MHz  -  20MHz) ,SMM(20MHz  -  33MHz) 
2412000000.000000,0.000000,20000000.000000,MCS 4,Mixedmode,0.082000,0.020000,0.000000,0.000000,16.000000,16.300000,7.760000,7.070000,0.000000,10.480000,10.330000,17.340000,16.060000
2442000000.000000,0.000000,20000000.000000,MCS 4,Mixedmode,0.081000,0.020000,0.000000,0.000000,14.430000,14.650000,7.130000,6.660000,0.000000,10.360000,10.220000,15.920000,14.990000
2472000000.000000,0.000000,20000000.000000,MCS 4,Mixedmode,0.083000,0.020000,0.000000,0.000000,13.940000,13.760000,7.120000,7.720000,0.000000,10.590000,10.130000,16.780000,14.630000
5180000000.000000,0.000000,20000000.000000,MCS 4,Mixedmode,0.082000,0.021000,0.000000,0.000000,8.260000,8.380000,7.210000,2.940000,0.000000,11.240000,7.720000,8.670000,7.550000
5500000000.000000,0.000000,20000000.000000,MCS 4,Mixedmode,0.083000,0.021000,0.790000,-0.800000,2.360000,0.170000,-0.800000,2.840000,0.000000,10.450000,4.240000,5.540000,7.330000
5700000000.000000,0.000000,20000000.000000,MCS 4,Mixedmode,0.082000,0.020000,0.000000,0.000000,6.590000,3.650000,1.750000,3.140000,0.000000,10.300000,3.290000,5.600000,9.140000
2412000000.000000,0.000000,20000000.000000,MCS 7,Mixedmode,0.082000,0.020000,0.000000,0.000000,15.260000,16.490000,8.590000,7.650000,0.000000,9.430000,9.600000,16.330000,14.840000
2442000000.000000,0.000000,20000000.000000,MCS 7,Mixedmode,0.082000,0.021000,0.000000,0.000000,12.970000,14.920000,8.320000,7.230000,0.000000,9.740000,10.150000,16.180000,14.310000
2472000000.000000,0.000000,20000000.000000,MCS 7,Mixedmode,0.082000,0.023000,0.000000,0.000000,13.730000,14.590000,9.610000,7.270000,0.000000,9.150000,9.320000,15.810000,15.150000
5180000000.000000,0.000000,20000000.000000,MCS 7,Mixedmode,0.082000,0.020000,0.000000,0.000000,7.420000,7.990000,6.670000,3.730000,0.000000,10.580000,6.500000,7.890000,7.390000
5500000000.000000,0.000000,20000000.000000,MCS 7,Mixedmode,0.082000,0.020000,2.380000,-2.850000,0.030000,-0.600000,-2.850000,2.130000,0.000000,8.620000,1.110000,4.390000,5.370000
5700000000.000000,0.000000,20000000.000000,MCS 7,Mixedmode,0.082000,0.021000,0.000000,0.000000,6.400000,2.610000,1.220000,2.840000,0.000000,8.810000,2.870000,4.430000,8.770000
