Channel Frequency(Hz),Power Level(dBm),Channel Bandwidth(Hz),DataRate/MCS Index,Frame Format,DUT Configuration Time,IQ demod Meas Time,RMS EVM(dB),Min Peak Power(dBm),Max Peak Power(dBm),Avg. Power(dBm),Min Avg. Power(dBm),Max Avg. Power(dBm),Frequency Offset(ppm),SampleClockOffset(ppm),LO Leakage(dB),GainImbalance(dB),Skew(deg),RMS Phase Noise(deg),SpectralFlatnessMargin(dB), Min SpectralFlatnessMargin(dB),Min SFM Subcarrier Index
2412000000.000000,0.000000,20000000.000000,18Mbps,OFDM,0.083000,0.138000,-33.220000,8.860000,10.730000,0.730000,0.330000,0.950000,3.880000,4.730000,-43.690000,0.020000,-0.170000,0.440000,3.690000,3.650000,-18.000000
2442000000.000000,0.000000,20000000.000000,18Mbps,OFDM,0.081000,0.119000,-33.420000,7.720000,9.650000,0.350000,0.160000,0.620000,3.840000,3.720000,-37.770000,-0.050000,0.210000,0.460000,3.650000,3.630000,-17.000000
2472000000.000000,0.000000,20000000.000000,18Mbps,OFDM,0.082000,0.131000,-33.120000,8.620000,10.260000,0.830000,0.780000,0.860000,3.840000,3.500000,-37.220000,-0.040000,-0.070000,0.440000,3.650000,3.650000,-18.000000
5180000000.000000,0.000000,20000000.000000,18Mbps,OFDM,0.082000,0.156000,-26.770000,8.160000,9.850000,0.430000,0.390000,0.490000,3.860000,6.330000,-36.900000,0.190000,0.120000,1.280000,3.650000,3.710000,3.000000
5500000000.000000,0.000000,20000000.000000,18Mbps,OFDM,0.082000,0.120000,-22.700000,7.490000,8.460000,0.120000,-0.340000,0.260000,4.170000,-0.270000,-38.500000,0.100000,-0.490000,1.070000,3.490000,3.550000,-12.000000
5700000000.000000,0.000000,20000000.000000,18Mbps,OFDM,0.082000,0.142000,-23.680000,7.610000,8.600000,0.330000,0.280000,0.380000,3.890000,5.570000,-38.230000,0.170000,-0.760000,0.910000,3.610000,3.660000,-9.000000
2412000000.000000,0.000000,20000000.000000,54Mbps,OFDM,0.081000,0.120000,-33.350000,8.490000,11.490000,0.610000,0.540000,0.730000,3.980000,2.680000,-44.720000,0.020000,-0.390000,0.430000,3.670000,3.640000,-14.000000
2442000000.000000,0.000000,20000000.000000,54Mbps,OFDM,0.082000,0.133000,-33.890000,7.800000,9.320000,0.520000,0.430000,0.600000,4.010000,3.760000,-37.560000,-0.030000,-0.030000,0.440000,3.650000,3.690000,-17.000000
2472000000.000000,0.000000,20000000.000000,54Mbps,OFDM,0.082000,0.120000,-33.000000,8.040000,9.870000,0.750000,0.630000,0.800000,3.900000,1.740000,-37.510000,-0.040000,-0.210000,0.410000,3.650000,3.620000,-14.000000
5180000000.000000,0.000000,20000000.000000,54Mbps,OFDM,0.082000,0.173000,-27.270000,7.820000,10.940000,0.360000,-0.170000,0.500000,3.900000,1.310000,-36.600000,0.190000,0.100000,1.320000,3.650000,3.690000,11.000000
5500000000.000000,0.000000,20000000.000000,54Mbps,OFDM,0.082000,0.117000,-22.450000,7.300000,8.660000,0.140000,-0.230000,0.510000,4.160000,-0.220000,-36.830000,0.120000,-0.510000,0.980000,3.450000,3.530000,-12.000000
5700000000.000000,0.000000,20000000.000000,54Mbps,OFDM,0.082000,0.134000,-24.100000,7.600000,9.330000,0.370000,0.310000,0.430000,3.920000,-1.320000,-37.620000,0.150000,-0.770000,1.090000,3.620000,3.680000,-2.000000
