Channel Frequency(Hz),Power Level(dBm),Channel BW(Hz),DataRate/MCS Index,Frame Format,DUT Configuration Time,IQ Spectrum Meas Time,SM Violation(%) ,SMM(dB),SMM(dB)(-33MHz  -  -30MHz) ,SMM(dB)(-30MHz  -  -20MHz) ,SMM(dB)(-20MHz  -  -11MHz) ,SMM(dB)(-11MHz  -  9MHz) ,SMM(dB)(-9MHz  -  9MHz) ,SMM(dB)(9MHz  -  11MHz) ,SMM(dB)(11MHz  -  20MHz) ,SMM(20MHz  -  33MHz) 
2412000000.000000,0.000000,20000000.000000,MCS 4,Mixedmode,0.082000,0.021000,0.000000,0.000000,14.800000,16.070000,7.540000,7.200000,0.000000,10.300000,9.850000,16.720000,15.590000
2442000000.000000,0.000000,20000000.000000,MCS 4,Mixedmode,0.082000,0.021000,0.000000,0.000000,13.860000,14.010000,7.890000,7.510000,0.000000,11.770000,11.440000,15.900000,14.460000
2472000000.000000,0.000000,20000000.000000,MCS 4,Mixedmode,0.083000,0.022000,0.000000,0.000000,13.690000,14.300000,6.890000,7.480000,0.000000,10.450000,9.650000,15.470000,14.650000
5180000000.000000,0.000000,20000000.000000,MCS 4,Mixedmode,0.082000,0.021000,0.000000,0.000000,6.430000,6.910000,4.390000,5.790000,0.000000,10.870000,5.130000,7.870000,7.060000
5500000000.000000,0.000000,20000000.000000,MCS 4,Mixedmode,0.082000,0.020000,7.260000,-2.530000,-0.760000,-2.530000,-2.390000,1.220000,0.000000,6.000000,1.020000,1.960000,3.220000
5700000000.000000,0.000000,20000000.000000,MCS 4,Mixedmode,0.081000,0.021000,3.600000,-2.070000,1.420000,0.200000,-2.070000,3.070000,0.000000,4.030000,-1.550000,0.250000,3.570000
2412000000.000000,0.000000,20000000.000000,MCS 7,Mixedmode,0.081000,0.020000,0.000000,0.000000,15.470000,15.890000,8.530000,8.540000,0.000000,10.300000,10.050000,15.970000,15.120000
2442000000.000000,0.000000,20000000.000000,MCS 7,Mixedmode,0.082000,0.020000,0.000000,0.000000,12.720000,14.000000,7.910000,7.570000,0.000000,8.510000,8.120000,14.700000,14.130000
2472000000.000000,0.000000,20000000.000000,MCS 7,Mixedmode,0.082000,0.021000,0.000000,0.000000,13.320000,14.360000,8.100000,7.750000,0.000000,10.150000,9.440000,16.800000,14.780000
5180000000.000000,0.000000,20000000.000000,MCS 7,Mixedmode,0.082000,0.021000,0.000000,0.000000,7.170000,7.170000,4.480000,2.750000,0.000000,9.080000,4.930000,7.630000,7.200000
5500000000.000000,0.000000,20000000.000000,MCS 7,Mixedmode,0.082000,0.021000,6.400000,-3.260000,-1.260000,-1.490000,-3.260000,3.330000,0.000000,5.670000,-0.800000,1.050000,1.830000
5700000000.000000,0.000000,20000000.000000,MCS 7,Mixedmode,0.083000,0.021000,2.680000,-1.420000,0.360000,0.430000,-1.420000,4.110000,0.000000,4.160000,-0.710000,0.180000,3.940000
