Channel Frequency(Hz),Power Level(dBm),Channel BW(Hz),DataRate/MCS Index,Frame Format,DUT Configuration Time,IQ Spectrum Meas Time,SM Violation(%) ,SMM(dB),SMM(dB)(-33MHz  -  -30MHz) ,SMM(dB)(-30MHz  -  -20MHz) ,SMM(dB)(-20MHz  -  -11MHz) ,SMM(dB)(-11MHz  -  9MHz) ,SMM(dB)(-9MHz  -  9MHz) ,SMM(dB)(9MHz  -  11MHz) ,SMM(dB)(11MHz  -  20MHz) ,SMM(20MHz  -  30Hz) ,SMM(30MHz  -  33MHz) 
2412000000.000000,0.000000,20000000.000000,18Mbps,OFDM,1.279000,0.022000,0.000000,0.000000,22.940000,23.760000,33.300000,33.170000,0.000000,35.790000,34.330000,24.950000,23.150000
2442000000.000000,0.000000,20000000.000000,18Mbps,OFDM,1.084000,0.021000,0.000000,0.000000,23.310000,23.380000,33.540000,33.480000,0.000000,36.980000,35.730000,25.360000,24.230000
2472000000.000000,0.000000,20000000.000000,18Mbps,OFDM,0.707000,0.020000,0.000000,0.000000,22.050000,23.650000,33.110000,33.050000,0.000000,35.060000,34.450000,24.560000,23.170000
5180000000.000000,0.000000,20000000.000000,18Mbps,OFDM,0.815000,0.021000,0.000000,0.000000,13.540000,10.190000,8.330000,9.050000,0.000000,9.090000,7.120000,11.000000,13.270000
5500000000.000000,0.000000,20000000.000000,18Mbps,OFDM,0.802000,0.021000,0.120000,-0.100000,7.750000,2.170000,-0.100000,4.110000,0.000000,10.830000,4.010000,6.750000,12.880000
5700000000.000000,0.000000,20000000.000000,18Mbps,OFDM,0.612000,0.020000,0.000000,0.000000,11.880000,3.070000,1.640000,5.530000,0.000000,9.810000,3.540000,5.860000,14.430000
2412000000.000000,0.000000,20000000.000000,54Mbps,OFDM,0.585000,0.021000,0.000000,0.000000,19.410000,19.820000,8.050000,8.680000,0.000000,11.270000,10.770000,19.510000,20.140000
2442000000.000000,0.000000,20000000.000000,54Mbps,OFDM,0.573000,0.021000,0.000000,0.000000,20.040000,18.610000,10.020000,10.460000,0.000000,12.420000,12.300000,21.030000,20.820000
2472000000.000000,0.000000,20000000.000000,54Mbps,OFDM,0.589000,0.021000,0.000000,0.000000,18.370000,18.400000,9.750000,9.770000,0.000000,12.050000,10.640000,20.370000,19.570000
5180000000.000000,0.000000,20000000.000000,54Mbps,OFDM,0.598000,0.021000,0.000000,0.000000,12.840000,7.690000,6.850000,8.270000,0.000000,10.650000,6.690000,9.930000,13.680000
