[TX_POWER],,,,,,,,,,,
CHANNEL,5180000000,5190000000,5210000000,5290000000,5320000000,5500000000,5510000000,5530000000,5775000000,5785000000,5795000000
DSSS_1.0M,,,,,,,,,,,
DSSS_2.0M,,,,,,,,,,,
DSSS_5.5M,,,,,,,,,,,
DSSS_11.0M,,,,,,,,,,,
LOFDM_12M_5G,2,,,,,,,,,,
LOFDM_18M_5G,2,,,,,,,,,,
LOFDM_24M_5G,2,,,,,,,,,,
LOFDM_36M_5G,2,,,,,,,,,,
LOFDM_48M_5G,2,,,,,,,,,,
LOFDM_54M_5G,2,,,,,,,,,,
MCS0_5G,2,,,,,,,,,,
MCS1_5G,2,,,,,,,,,,
MCS2_5G,2,,,,,,,,,,
MCS3_5G,2,,,,,,,,,,
MCS4_5G,2,,,,,,,,,,
MCS5_5G,2,,,,,,,,,,
MCS6_5G,2,,,,,,,,,,
MCS7_5G,2,,,,,,,,,,
MCS8_5G,2,,,,,,,,,,
MCS9_5G,2,,,,,,,,,,
,,,,,,,,,,,
done,,,,,,,,,,,
[FREQUENCY_TOLERANCE],,,,,,,,,,,
TxCF5G,20,,,,,,,,,,
TxCF5G,20,,,,,,,,,,
,,,,,,,,,,,
done,,,,,,,,,,,
[RX_PER],,,,,,,,,,,
DSSS,10,,,,,,,,,,
LOFDM,10,,,,,,,,,,
HT20,10,,,,,,,,,,
HT40,10,,,,,,,,,,
Retry,10,,,,,,,,,,
VHT20,10,,,,,,,,,,
VHT40,10,,,,,,,,,,
VHT80,10,,,,,,,,,,
,,,,,,,,,,,
done,,,,,,,,,,,
[RX_SENSITIVITY_START_SEARCH_POWER],,,,,,,,,,,
;;,1M,2M,5.5M,11M,,,,,,,
CCK,-96,-93,-90,-87,,,,,,,
,,,,,,,,,,,
;;,6M,9M,12M,18M,24M,36M,48M,54M,,,
LOFDM_1R_5G,-92,-91,-89,-87,-84,-77,-76,-75,,,
LOFDM_2R_5G,-95,-94,-92,-90,-87,-80,-79,-78,,,
LOFDM_3R_5G,-95,-94,-92,-90,-87,-80,-79,-78,,,
LOFDM_4R_5G,-95,-94,-92,-90,-87,-80,-79,-78,,,
,,,,,,,,,,,
,,,,,,,,,,,
;;,MCS0,MCS1,MCS2,MCS3,MCS4,MCS5,MCS6,MCS7,,,
HT1SB20_1R_5G,-88,-85,-83,-80,-76,-72,-71,-70,,,
HT1SB20_2R_5G,-91,-88,-86,-83,-79,-75,-74,-73,,,
HT1SB20_3R_5G,-91,-88,-86,-83,-79,-75,-74,-73,,,
HT1SB20_4R_5G,-91,-88,-86,-83,-79,-75,-74,-73,,,
,,,,,,,,,,,
,,,,,,,,,,,
;;,MCS0,MCS1,MCS2,MCS3,MCS4,MCS5,MCS6,MCS7,,,
HT1SB40_1R_5G,-85,-82,-80,-77,-73,-69,-68,-67,,,
HT1SB40_2R_5G,-88,-85,-83,-80,-76,-72,-71,-70,,,
HT1SB40_3R_5G,-88,-85,-83,-80,-76,-72,-71,-70,,,
HT1SB40_4R_5G,-88,-85,-83,-80,-76,-72,-71,-70,,,
,,,,,,,,,,,
;;,MCS8,MCS9,MCS10,MCS11,MCS12,MCS13,MCS14,MCS15,,,
HT2SB20_2R_5G,-88,-85,-83,-80,-76,-72,-71,-70,,,
HT2SB20_3R_5G,-88,-85,-83,-80,-76,-72,-71,-70,,,
HT2SB20_4R_5G,-88,-85,-83,-80,-76,-72,-71,-70,,,
,,,,,,,,,,,
,,,,,,,,,,,
;;,MCS8,MCS9,MCS10,MCS11,MCS12,MCS13,MCS14,MCS15,,,
HT2SB40_2R_5G,-85,-82,-80,-77,-73,-69,-68,-67,,,
HT2SB40_3R_5G,-85,-82,-80,-77,-73,-69,-68,-67,,,
HT2SB40_4R_5G,-85,-82,-80,-77,-73,-69,-68,-67,,,
,,,,,,,,,,,
done,,,,,,,,,,,
[RX_SENSITIVITY],,,,,,,,,,,
;;,1M,2M,5.5M,11M,,,,,,,
CCK,-94,-91,-88,-78,,,,,,,
,,,,,,,,,,,
;;,6M,9M,12M,18M,24M,36M,48M,54M,,,
LOFDM_1R_5G,-88,-87,-85,-83,-80,-76,-72,-67,,,
LOFDM_2R_5G,-91,-90,-88,-86,-83,-79,-75,-65,,,
LOFDM_3R_5G,-91,-90,-88,-86,-83,-79,-75,-74,,,
LOFDM_4R_5G,-91,-90,-88,-86,-83,-79,-75,-74,,,
,,,,,,,,,,,
;;,MCS0,MCS1,MCS2,MCS3,MCS4,MCS5,MCS6,MCS7,,,
HT1SB20_1R_5G,-88,-85,-83,-80,-76,-72,-71,-66,,,
HT1SB20_2R_5G,-91,-88,-86,-83,-79,-75,-74,-64,,,
HT1SB20_3R_5G,-91,-88,-86,-83,-79,-75,-74,-73,,,
HT1SB20_4R_5G,-91,-88,-86,-83,-79,-75,-74,-73,,,
,,,,,,,,,,,
;;,MCS0,MCS1,MCS2,MCS3,MCS4,MCS5,MCS6,MCS7,,,
HT1SB40_1R_5G,-85,-82,-80,-77,-73,-69,-68,-63,,,
HT1SB40_2R_5G,-88,-85,-83,-80,-76,-72,-71,-70,,,
HT1SB40_3R_5G,-88,-85,-83,-80,-76,-72,-71,-70,,,
HT1SB40_4R_5G,-88,-85,-83,-80,-76,-72,-71,-70,,,
,,,,,,,,,,,
;;,MCS8,MCS9,MCS10,MCS11,MCS12,MCS13,MCS14,MCS15,,,
HT2SB20_2R_5G,-88,-85,-83,-80,-76,-72,-71,-70,,,
HT2SB20_3R_5G,-88,-85,-83,-80,-76,-72,-71,-70,,,
HT2SB20_4R_5G,-88,-85,-83,-80,-76,-72,-71,-70,,,
,,,,,,,,,,,
;;,MCS8,MCS9,MCS10,MCS11,MCS12,MCS13,MCS14,MCS15,,,
HT2SB40_2R_5G,-85,-82,-80,-77,-73,-69,-68,-67,,,
HT2SB40_3R_5G,-85,-82,-80,-77,-73,-69,-68,-67,,,
HT2SB40_4R_5G,-85,-82,-80,-77,-73,-69,-68,-67,,,
,,,,,,,,,,,
done,,,,,,,,,,,
,L_limit,H_limit,,,,,,,,,
