Standard,Frequency(Hz),Channel BW(Hz),Data Rate/MCS Index,Frame Format,Payload Length,Power Level,# Packets Transmitted,#Packets Received,PER(%),Measurment Time(min)
802.11 A/G OFDM,2417000000,20000000,6Mbps,OFDM,134,-85,200,200,0,
802.11 A/G OFDM,2417000000,20000000,6Mbps,OFDM,134,-86,200,200,0,
802.11 A/G OFDM,2417000000,20000000,6Mbps,OFDM,134,-87,200,200,0,
802.11 A/G OFDM,2417000000,20000000,6Mbps,OFDM,134,-88,200,200,0,
802.11 A/G OFDM,2417000000,20000000,6Mbps,OFDM,134,-89,200,200,0,
802.11 A/G OFDM,2417000000,20000000,6Mbps,OFDM,134,-90,200,198,1,
802.11 A/G OFDM,2417000000,20000000,6Mbps,OFDM,134,-91,200,194,3,
802.11 A/G OFDM,2417000000,20000000,6Mbps,OFDM,134,-92,200,180,10,
802.11 A/G OFDM,2417000000,20000000,6Mbps,OFDM,134,-93,200,122,39,
802.11 A/G OFDM,2417000000,20000000,6Mbps,OFDM,134,-94,200,37,81.5,
802.11 A/G OFDM,2417000000,20000000,6Mbps,OFDM,134,-95,200,4,98,
802.11 A/G OFDM,2417000000,20000000,6Mbps,OFDM,134,-96,200,1,99.5,
802.11 A/G OFDM,2417000000,20000000,6Mbps,OFDM,134,-97,200,0,100,
802.11 A/G OFDM,2417000000,20000000,6Mbps,OFDM,134,-98,200,0,100,
802.11 A/G OFDM,2417000000,20000000,6Mbps,OFDM,134,-99,200,0,100,
802.11 A/G OFDM,2417000000,20000000,6Mbps,OFDM,134,-100,200,0,100,
802.11 A/G OFDM,2442000000,20000000,6Mbps,OFDM,134,-15,200,200,0,0.04755
802.11 A/G OFDM,2442000000,20000000,6Mbps,OFDM,134,-16,200,196,2,
802.11 A/G OFDM,2442000000,20000000,6Mbps,OFDM,134,-17,200,200,0,
802.11 A/G OFDM,2442000000,20000000,6Mbps,OFDM,134,-18,200,200,0,
802.11 A/G OFDM,2442000000,20000000,6Mbps,OFDM,134,-19,200,200,0,
802.11 A/G OFDM,2442000000,20000000,6Mbps,OFDM,134,-20,200,200,0,
802.11 A/G OFDM,2442000000,20000000,6Mbps,OFDM,134,-21,200,200,0,
802.11 A/G OFDM,2442000000,20000000,6Mbps,OFDM,134,-22,200,200,0,
802.11 A/G OFDM,2442000000,20000000,6Mbps,OFDM,134,-23,200,198,1,
802.11 A/G OFDM,2442000000,20000000,6Mbps,OFDM,134,-24,200,198,1,
802.11 A/G OFDM,2442000000,20000000,6Mbps,OFDM,134,-25,200,199,0.5,
802.11 A/G OFDM,2442000000,20000000,6Mbps,OFDM,134,-26,200,199,0.5,
802.11 A/G OFDM,2442000000,20000000,6Mbps,OFDM,134,-31,200,197,1.5,
