Standard,Frequency(Hz),Channel BW(Hz),Data Rate/MCS Index,Frame Format,Payload Length,Power Level,# Packets Transmitted,#Packets Received,PER(%),Measurment Time(min)
802.11 A/G OFDM,2412000000.000000,20000000.000000,54Mbps,OFDM,634,-65.000000,100,98,2.000000,0.002300
802.11 N MIMOOFDM,2412000000.000000,20000000.000000,MCS7,Mixed Format,734,-50.000000,100,100,0.000000,0.002650
802.11 N MIMOOFDM,2437000000.000000,20000000.000000,MCS7,Mixed Format,734,-65.000000,100,96,4.000000,0.027850
802.11 N MIMOOFDM,2437000000.000000,20000000.000000,MCS7,Mixed Format,734,-66.000000,100,96,4.000000,
802.11 N MIMOOFDM,2437000000.000000,20000000.000000,MCS7,Mixed Format,734,-67.000000,100,89,11.000000,
802.11 N MIMOOFDM,2437000000.000000,20000000.000000,MCS7,Mixed Format,734,-68.000000,100,85,15.000000,
802.11 N MIMOOFDM,2437000000.000000,20000000.000000,MCS7,Mixed Format,734,-69.000000,100,50,50.000000,
802.11 N MIMOOFDM,2437000000.000000,20000000.000000,MCS7,Mixed Format,734,-70.000000,100,85,15.000000,
802.11 N MIMOOFDM,2437000000.000000,20000000.000000,MCS7,Mixed Format,734,-71.000000,100,26,74.000000,
802.11 N MIMOOFDM,2437000000.000000,20000000.000000,MCS7,Mixed Format,734,-72.000000,100,85,15.000000,
802.11 N MIMOOFDM,2437000000.000000,20000000.000000,MCS7,Mixed Format,734,-73.000000,100,74,26.000000,
802.11 N MIMOOFDM,2437000000.000000,20000000.000000,MCS7,Mixed Format,734,-74.000000,100,81,19.000000,
802.11 N MIMOOFDM,2437000000.000000,20000000.000000,MCS7,Mixed Format,734,-75.000000,100,77,23.000000,
