Channel Frequency(Hz),Power Level(dBm),Channel BW(Hz),DataRate/MCS Index,Frame Format,DUT Configuration Time,IQ Spectrum Meas Time,SM Violation(%) ,SMM(dB),SMM(dB)(-33MHz  -  -30MHz) ,SMM(dB)(-30MHz  -  -20MHz) ,SMM(dB)(-20MHz  -  -11MHz) ,SMM(dB)(-11MHz  -  9MHz) ,SMM(dB)(-9MHz  -  9MHz) ,SMM(dB)(9MHz  -  11MHz) ,SMM(dB)(11MHz  -  20MHz) ,SMM(20MHz  -  30Hz) ,SMM(30MHz  -  33MHz) 
2412000000.000000,16.000000,20000000.000000,54Mbps,OFDM,7.303000,0.016000,0.000000,0.000000,15.240000,9.700000,6.810000,7.310000,0.000000,6.560000,6.050000,9.010000,15.710000
2432000000.000000,1.000000,20000000.000000,54Mbps,OFDM,0.303000,0.016000,0.000000,0.000000,15.460000,16.530000,10.580000,10.590000,0.000000,11.630000,10.800000,17.200000,13.260000
2432000000.000000,2.000000,20000000.000000,54Mbps,OFDM,0.304000,0.016000,0.000000,0.000000,15.850000,15.580000,10.800000,11.180000,0.000000,12.390000,11.820000,17.310000,15.170000
2432000000.000000,4.000000,20000000.000000,54Mbps,OFDM,0.302000,0.016000,0.000000,0.000000,17.910000,18.180000,10.970000,10.550000,0.000000,11.690000,10.870000,18.320000,15.810000
2432000000.000000,6.000000,20000000.000000,54Mbps,OFDM,0.303000,0.014000,0.000000,0.000000,16.440000,16.950000,11.110000,10.700000,0.000000,11.060000,10.410000,18.030000,14.170000
2432000000.000000,8.000000,20000000.000000,54Mbps,OFDM,0.302000,0.016000,0.000000,0.000000,17.430000,18.240000,9.970000,9.000000,0.000000,9.850000,9.170000,19.550000,16.380000
2432000000.000000,10.000000,20000000.000000,54Mbps,OFDM,0.302000,0.015000,0.000000,0.000000,15.850000,17.070000,11.210000,10.040000,0.000000,10.290000,9.760000,17.030000,12.930000
2432000000.000000,12.000000,20000000.000000,54Mbps,OFDM,0.301000,0.016000,0.000000,0.000000,17.110000,17.170000,10.100000,10.200000,0.000000,9.450000,9.080000,16.810000,15.010000
2432000000.000000,14.000000,20000000.000000,54Mbps,OFDM,0.302000,0.015000,0.000000,0.000000,17.020000,12.920000,8.360000,9.190000,0.000000,8.970000,8.290000,12.150000,16.590000
2432000000.000000,16.000000,20000000.000000,54Mbps,OFDM,0.303000,0.016000,0.000000,0.000000,14.610000,9.910000,6.800000,8.820000,0.000000,8.160000,5.930000,9.380000,15.170000
