Channel Frequency(Hz),Power Level(dBm),Channel Bandwidth(Hz),DataRate/MCS Index,Frame Format,DUT Configuration Time,IQ demod Meas Time,RMS EVM(dB),Min Peak Power(dBm),Max Peak Power(dBm),Avg. Power(dBm),Min Avg. Power(dBm),Max Avg. Power(dBm),Frequency Offset(ppm),SampleClockOffset(ppm),LO Leakage(dB),GainImbalance(dB),Skew(deg),RMS Phase Noise(deg),SpectralFlatnessMargin(dB), Min SpectralFlatnessMargin(dB),Min SFM Subcarrier Index
2412000000.000000,15.000000,20000000.000000,18Mbps,OFDM,0.302000,0.045000,-29.180000,21.620000,22.780000,14.180000,14.170000,14.190000,-11.520000,-8.790000,-45.230000,-0.010000,0.110000,0.520000,1.650000,1.620000,-4.000000
5180000000.000000,15.000000,20000000.000000,18Mbps,OFDM,0.302000,0.046000,-21.750000,22.380000,23.340000,15.730000,15.660000,15.770000,-11.540000,-10.500000,-42.690000,0.030000,-0.020000,1.450000,1.230000,1.250000,-4.000000
5700000000.000000,15.000000,20000000.000000,18Mbps,OFDM,0.302000,0.049000,-21.280000,19.850000,20.730000,13.780000,13.770000,13.800000,-11.450000,-0.310000,-42.040000,0.060000,0.760000,1.630000,1.500000,1.480000,-15.000000
2412000000.000000,15.000000,20000000.000000,54Mbps,OFDM,0.302000,0.050000,-35.180000,22.470000,23.220000,14.250000,14.220000,14.260000,-11.600000,-11.150000,-38.080000,-0.020000,0.150000,0.310000,1.710000,1.760000,-17.000000
5180000000.000000,15.000000,20000000.000000,54Mbps,OFDM,0.302000,0.050000,-26.530000,23.720000,23.850000,16.080000,16.000000,16.210000,-11.570000,-8.390000,-40.340000,0.000000,-0.070000,0.960000,1.420000,1.430000,-4.000000
5700000000.000000,15.000000,20000000.000000,54Mbps,OFDM,0.302000,0.048000,-24.960000,21.020000,21.200000,14.460000,14.430000,14.490000,-11.620000,-10.730000,-41.170000,0.010000,0.780000,1.180000,1.600000,1.620000,-15.000000
