Channel Frequency(Hz),Power Level(dBm),Channel BW(Hz),DataRate/MCS Index,Frame Format,DUT Configuration Time,IQ Spectrum Meas Time,SM Violation(%) ,SMM(dB),SMM(-33MHz  -  -22MHz) ,SMM(-22MHz  -  -11MHz) ,SMM(-11MHz  -  11MHz) ,SMM(11MHz  -  22MHz) ,SMM(22MHz  -  33MHz) 
2412000000.000000,4.000000,20000000.000000,1Mbps,DSSS/CCK,0.033000,0.014000,0.000000,0.000000,13.050000,29.370000,0.000000,28.960000,10.920000
2412000000.000000,6.000000,20000000.000000,1Mbps,DSSS/CCK,0.003000,0.018000,0.000000,0.000000,12.090000,28.780000,0.000000,28.900000,10.780000
2412000000.000000,8.000000,20000000.000000,1Mbps,DSSS/CCK,0.003000,0.018000,0.000000,0.000000,12.180000,29.110000,0.000000,27.980000,11.080000
2412000000.000000,10.000000,20000000.000000,1Mbps,DSSS/CCK,0.003000,0.019000,0.000000,0.000000,11.260000,28.340000,0.000000,28.190000,10.250000
2412000000.000000,12.000000,20000000.000000,1Mbps,DSSS/CCK,0.003000,0.019000,0.000000,0.000000,7.510000,26.050000,0.000000,26.540000,7.760000
2412000000.000000,14.000000,20000000.000000,1Mbps,DSSS/CCK,0.003000,0.018000,0.000000,0.000000,7.260000,26.380000,0.000000,26.070000,6.490000
2412000000.000000,16.000000,20000000.000000,1Mbps,DSSS/CCK,0.003000,0.018000,0.000000,0.000000,5.980000,24.880000,0.000000,25.060000,5.800000
2412000000.000000,18.000000,20000000.000000,1Mbps,DSSS/CCK,0.003000,0.019000,0.000000,0.000000,3.620000,22.770000,0.000000,23.200000,2.680000
2412000000.000000,19.000000,20000000.000000,1Mbps,DSSS/CCK,0.003000,0.019000,0.000000,0.000000,10.160000,26.790000,0.000000,27.300000,9.890000
2417000000.000000,4.000000,20000000.000000,1Mbps,DSSS/CCK,0.030000,0.018000,0.000000,0.000000,4.530000,14.860000,0.000000,14.630000,4.430000
2417000000.000000,6.000000,20000000.000000,1Mbps,DSSS/CCK,0.004000,0.016000,0.000000,0.000000,13.040000,29.020000,0.000000,28.460000,10.950000
2417000000.000000,8.000000,20000000.000000,1Mbps,DSSS/CCK,0.003000,0.019000,0.000000,0.000000,12.790000,29.610000,0.000000,28.660000,11.930000
2417000000.000000,10.000000,20000000.000000,1Mbps,DSSS/CCK,0.003000,0.019000,0.000000,0.000000,12.480000,29.470000,0.000000,29.380000,12.700000
2417000000.000000,12.000000,20000000.000000,1Mbps,DSSS/CCK,0.003000,0.018000,0.000000,0.000000,11.790000,28.740000,0.000000,28.410000,11.550000
2417000000.000000,14.000000,20000000.000000,1Mbps,DSSS/CCK,0.003000,0.018000,0.000000,0.000000,11.460000,27.140000,0.000000,29.110000,10.420000
2417000000.000000,16.000000,20000000.000000,1Mbps,DSSS/CCK,0.003000,0.019000,0.000000,0.000000,11.730000,27.260000,0.000000,28.280000,11.280000
2417000000.000000,18.000000,20000000.000000,1Mbps,DSSS/CCK,0.003000,0.019000,0.000000,0.000000,10.190000,27.080000,0.000000,28.080000,10.250000
2417000000.000000,19.000000,20000000.000000,1Mbps,DSSS/CCK,0.003000,0.018000,0.000000,0.000000,11.560000,25.030000,0.000000,28.570000,10.660000
2422000000.000000,4.000000,20000000.000000,1Mbps,DSSS/CCK,0.030000,0.019000,7.620000,-5.820000,-5.600000,4.230000,0.000000,4.130000,-5.820000
2422000000.000000,6.000000,20000000.000000,1Mbps,DSSS/CCK,0.002000,0.019000,0.000000,0.000000,4.310000,14.230000,0.000000,13.880000,4.480000
2422000000.000000,8.000000,20000000.000000,1Mbps,DSSS/CCK,0.003000,0.018000,0.000000,0.000000,13.490000,26.700000,0.000000,28.640000,11.760000
2422000000.000000,10.000000,20000000.000000,1Mbps,DSSS/CCK,0.003000,0.018000,0.000000,0.000000,12.690000,26.900000,0.000000,28.530000,12.100000
2422000000.000000,12.000000,20000000.000000,1Mbps,DSSS/CCK,0.003000,0.018000,0.000000,0.000000,12.580000,26.790000,0.000000,28.090000,11.300000
2422000000.000000,14.000000,20000000.000000,1Mbps,DSSS/CCK,0.002000,0.019000,0.000000,0.000000,12.140000,26.220000,0.000000,27.740000,11.140000
2422000000.000000,16.000000,20000000.000000,1Mbps,DSSS/CCK,0.004000,0.016000,0.000000,0.000000,12.190000,24.810000,0.000000,28.760000,10.450000
2422000000.000000,18.000000,20000000.000000,1Mbps,DSSS/CCK,0.003000,0.018000,0.000000,0.000000,10.980000,23.800000,0.000000,28.260000,11.120000
2422000000.000000,19.000000,20000000.000000,1Mbps,DSSS/CCK,0.003000,0.019000,0.000000,0.000000,11.000000,23.950000,0.000000,27.900000,9.950000
2427000000.000000,4.000000,20000000.000000,1Mbps,DSSS/CCK,0.031000,0.018000,19.440000,-7.370000,-6.640000,3.670000,0.000000,3.140000,-7.370000
2427000000.000000,6.000000,20000000.000000,1Mbps,DSSS/CCK,0.003000,0.015000,5.480000,-5.430000,-5.240000,4.550000,0.000000,4.570000,-5.430000
2427000000.000000,8.000000,20000000.000000,1Mbps,DSSS/CCK,0.003000,0.019000,0.000000,0.000000,10.200000,24.650000,0.000000,26.490000,9.600000
2427000000.000000,10.000000,20000000.000000,1Mbps,DSSS/CCK,0.003000,0.019000,0.000000,0.000000,10.650000,24.830000,0.000000,29.180000,11.360000
2427000000.000000,12.000000,20000000.000000,1Mbps,DSSS/CCK,0.003000,0.019000,0.000000,0.000000,11.580000,25.030000,0.000000,29.310000,12.380000
2427000000.000000,14.000000,20000000.000000,1Mbps,DSSS/CCK,0.003000,0.018000,0.000000,0.000000,12.060000,23.960000,0.000000,29.360000,11.110000
2427000000.000000,16.000000,20000000.000000,1Mbps,DSSS/CCK,0.003000,0.018000,0.000000,0.000000,10.870000,24.190000,0.000000,28.890000,11.010000
2427000000.000000,18.000000,20000000.000000,1Mbps,DSSS/CCK,0.003000,0.019000,0.000000,0.000000,11.620000,23.790000,0.000000,27.290000,10.910000
2427000000.000000,19.000000,20000000.000000,1Mbps,DSSS/CCK,0.003000,0.019000,0.000000,0.000000,11.120000,22.820000,0.000000,29.090000,10.220000
2432000000.000000,4.000000,20000000.000000,1Mbps,DSSS/CCK,0.030000,0.019000,19.320000,-7.460000,-7.460000,2.640000,0.000000,3.040000,-7.200000
2432000000.000000,6.000000,20000000.000000,1Mbps,DSSS/CCK,0.003000,0.019000,6.090000,-6.360000,-5.970000,4.170000,0.000000,3.720000,-6.360000
2432000000.000000,8.000000,20000000.000000,1Mbps,DSSS/CCK,0.003000,0.019000,0.000000,0.000000,8.610000,24.190000,0.000000,25.650000,9.040000
2432000000.000000,10.000000,20000000.000000,1Mbps,DSSS/CCK,0.004000,0.019000,0.000000,0.000000,12.650000,24.850000,0.000000,29.780000,12.390000
2432000000.000000,12.000000,20000000.000000,1Mbps,DSSS/CCK,0.003000,0.018000,0.000000,0.000000,12.230000,24.890000,0.000000,29.150000,11.280000
2432000000.000000,14.000000,20000000.000000,1Mbps,DSSS/CCK,0.003000,0.018000,0.000000,0.000000,11.740000,24.680000,0.000000,29.280000,11.570000
2432000000.000000,16.000000,20000000.000000,1Mbps,DSSS/CCK,0.003000,0.019000,0.000000,0.000000,11.970000,25.670000,0.000000,28.340000,10.790000
2432000000.000000,18.000000,20000000.000000,1Mbps,DSSS/CCK,0.002000,0.019000,0.000000,0.000000,10.810000,25.570000,0.000000,28.260000,10.760000
2432000000.000000,19.000000,20000000.000000,1Mbps,DSSS/CCK,0.003000,0.018000,0.000000,0.000000,11.070000,26.040000,0.000000,28.490000,10.700000
2437000000.000000,4.000000,20000000.000000,1Mbps,DSSS/CCK,0.029000,0.019000,3.720000,-4.980000,-4.650000,4.160000,0.000000,4.410000,-4.980000
2437000000.000000,6.000000,20000000.000000,1Mbps,DSSS/CCK,0.004000,0.015000,0.000000,0.000000,12.720000,27.590000,0.000000,27.370000,13.630000
2437000000.000000,8.000000,20000000.000000,1Mbps,DSSS/CCK,0.003000,0.018000,0.000000,0.000000,12.890000,27.730000,0.000000,29.000000,11.670000
2437000000.000000,10.000000,20000000.000000,1Mbps,DSSS/CCK,0.004000,0.017000,0.000000,0.000000,13.160000,27.210000,0.000000,27.420000,12.440000
2437000000.000000,12.000000,20000000.000000,1Mbps,DSSS/CCK,0.004000,0.018000,0.000000,0.000000,12.970000,27.580000,0.000000,28.190000,11.430000
2437000000.000000,14.000000,20000000.000000,1Mbps,DSSS/CCK,0.004000,0.019000,0.000000,0.000000,12.050000,26.230000,0.000000,28.210000,12.010000
2437000000.000000,16.000000,20000000.000000,1Mbps,DSSS/CCK,0.003000,0.018000,0.000000,0.000000,11.350000,25.270000,0.000000,28.720000,11.740000
2437000000.000000,18.000000,20000000.000000,1Mbps,DSSS/CCK,0.003000,0.018000,0.000000,0.000000,11.540000,25.500000,0.000000,28.330000,11.500000
2437000000.000000,19.000000,20000000.000000,1Mbps,DSSS/CCK,0.003000,0.019000,0.000000,0.000000,10.760000,26.140000,0.000000,27.840000,10.350000
2442000000.000000,4.000000,20000000.000000,1Mbps,DSSS/CCK,0.031000,0.018000,5.970000,-5.600000,-5.460000,4.590000,0.000000,4.400000,-5.600000
2442000000.000000,6.000000,20000000.000000,1Mbps,DSSS/CCK,0.003000,0.018000,0.000000,0.000000,8.290000,25.190000,0.000000,24.980000,8.830000
2442000000.000000,8.000000,20000000.000000,1Mbps,DSSS/CCK,0.004000,0.018000,0.000000,0.000000,13.780000,27.760000,0.000000,28.900000,12.620000
2442000000.000000,10.000000,20000000.000000,1Mbps,DSSS/CCK,0.003000,0.019000,0.000000,0.000000,12.770000,26.820000,0.000000,28.960000,13.340000
