Channel Frequency(Hz),Power Level(dBm),Channel BW(Hz),DataRate/MCS Index,Frame Format,DUT Configuration Time,IQ Spectrum Meas Time,SM Violation(%) ,SMM(dB),SMM(dB)(-33MHz  -  -30MHz) ,SMM(dB)(-30MHz  -  -20MHz) ,SMM(dB)(-20MHz  -  -11MHz) ,SMM(dB)(-11MHz  -  9MHz) ,SMM(dB)(-9MHz  -  9MHz) ,SMM(dB)(9MHz  -  11MHz) ,SMM(dB)(11MHz  -  20MHz) ,SMM(20MHz  -  30Hz) ,SMM(30MHz  -  33MHz) 
2412000000.000000,15.000000,20000000.000000,18Mbps,OFDM,0.302000,0.020000,0.000000,0.000000,15.190000,15.020000,8.710000,8.560000,0.000000,10.030000,9.450000,16.640000,15.900000
5180000000.000000,15.000000,20000000.000000,18Mbps,OFDM,0.302000,0.086000,0.000000,0.000000,9.270000,4.660000,3.790000,5.480000,0.000000,5.190000,3.050000,3.920000,7.720000
5700000000.000000,15.000000,20000000.000000,18Mbps,OFDM,0.302000,0.026000,0.000000,0.000000,9.300000,1.560000,0.780000,2.840000,0.000000,4.980000,3.050000,4.800000,11.780000
2412000000.000000,15.000000,20000000.000000,54Mbps,OFDM,0.302000,0.019000,0.000000,0.000000,16.370000,15.480000,10.630000,10.100000,0.000000,9.970000,9.760000,16.380000,16.800000
5180000000.000000,15.000000,20000000.000000,54Mbps,OFDM,0.302000,0.019000,0.000000,0.000000,13.780000,9.270000,7.320000,10.280000,0.000000,7.540000,5.920000,7.890000,11.750000
5700000000.000000,15.000000,20000000.000000,54Mbps,OFDM,0.302000,0.019000,0.000000,0.000000,14.020000,6.710000,4.950000,8.020000,0.000000,9.090000,7.100000,8.850000,15.690000
