Channel Frequency(Hz),Power Level(dBm),Channel BW(Hz),DataRate/MCS Index,Frame Format,DUT Configuration Time,IQ Spectrum Meas Time,SM Violation(%) ,SMM(dB),SMM(dB)(-33MHz  -  -30MHz) ,SMM(dB)(-30MHz  -  -20MHz) ,SMM(dB)(-20MHz  -  -11MHz) ,SMM(dB)(-11MHz  -  9MHz) ,SMM(dB)(-9MHz  -  9MHz) ,SMM(dB)(9MHz  -  11MHz) ,SMM(dB)(11MHz  -  20MHz) ,SMM(20MHz  -  30Hz) ,SMM(30MHz  -  33MHz) 
2412000000.000000,15.000000,20000000.000000,18Mbps,OFDM,0.302000,0.021000,0.000000,0.000000,16.200000,13.340000,9.050000,10.590000,0.000000,7.940000,6.630000,11.050000,15.770000
5180000000.000000,15.000000,20000000.000000,18Mbps,OFDM,0.302000,0.019000,0.000000,0.000000,14.670000,9.440000,6.050000,7.080000,0.000000,7.360000,5.260000,7.740000,12.130000
5700000000.000000,15.000000,20000000.000000,18Mbps,OFDM,0.302000,0.019000,0.000000,0.000000,17.130000,7.180000,4.430000,5.520000,0.000000,8.080000,6.500000,9.990000,17.130000
2412000000.000000,15.000000,20000000.000000,54Mbps,OFDM,0.302000,0.019000,0.000000,0.000000,16.200000,13.590000,10.210000,9.900000,0.000000,9.020000,8.750000,11.230000,15.120000
5180000000.000000,15.000000,20000000.000000,54Mbps,OFDM,0.302000,0.019000,0.000000,0.000000,13.610000,9.170000,6.840000,9.770000,0.000000,8.930000,5.500000,8.220000,11.740000
5700000000.000000,15.000000,20000000.000000,54Mbps,OFDM,0.302000,0.019000,0.000000,0.000000,15.150000,7.030000,4.560000,7.090000,0.000000,9.040000,6.390000,9.530000,16.000000
