Channel Frequency(Hz),Power Level(dBm),Channel Bandwidth(Hz),DataRate/MCS Index,Frame Format,DUT Configuration Time,IQ demod Meas Time,RMS EVM(dB),Min Peak Power(dBm),Max Peak Power(dBm),Avg. Power(dBm),Min Avg. Power(dBm),Max Avg. Power(dBm),Frequency Offset(ppm),SampleClockOffset(ppm),Carrier Suppression(dB),GainImbalance(dB),Skew(deg),Ramp Up (uS),Ramp Dn(uS)
2412000000.000000,15.000000,20000000.000000,1Mbps,DSSS/CCK,0.302000,0.094000,-18.440000,17.380000,17.420000,14.960000,14.960000,14.970000,-1.160000,-1.380000,-39.700000,21474836.470000,21474836.470000,0.260000,0.080000
2432000000.000000,15.000000,20000000.000000,1Mbps,DSSS/CCK,0.302000,0.089000,-18.450000,18.280000,18.780000,16.180000,15.850000,16.350000,-1.120000,-1.380000,-40.520000,21474836.470000,21474836.470000,0.260000,0.080000
2412000000.000000,15.000000,20000000.000000,11CCK,DSSS/CCK,0.302000,0.081000,-18.060000,17.430000,17.960000,15.160000,14.990000,15.480000,-1.190000,-2.050000,-40.220000,0.200000,-0.080000,0.260000,0.150000
2432000000.000000,15.000000,20000000.000000,11CCK,DSSS/CCK,0.302000,0.084000,-18.030000,18.370000,18.780000,16.050000,15.870000,16.380000,-1.160000,-2.220000,-41.280000,0.070000,-0.100000,0.260000,0.150000
