Channel Frequency(Hz),Power Level(dBm),Channel Bandwidth(Hz),DataRate/MCS Index,Frame Format,DUT Configuration Time,IQ demod Meas Time,RMS EVM(dB),Min Peak Power(dBm),Max Peak Power(dBm),Avg. Power(dBm),Min Avg. Power(dBm),Max Avg. Power(dBm),Frequency Offset(ppm),SampleClockOffset(ppm),Carrier Suppression(dB),GainImbalance(dB),Skew(deg),Ramp Up (uS),Ramp Dn(uS)
2412000000.000000,15.000000,20000000.000000,1Mbps,DSSS/CCK,0.302000,0.093000,-18.460000,17.420000,17.450000,15.040000,15.030000,15.040000,-2.730000,-3.020000,-45.620000,21474836.470000,21474836.470000,0.260000,0.080000
2432000000.000000,15.000000,20000000.000000,1Mbps,DSSS/CCK,0.302000,0.088000,-18.470000,18.310000,18.330000,15.910000,15.900000,15.910000,-2.670000,-2.950000,-47.050000,21474836.470000,21474836.470000,0.270000,0.080000
2412000000.000000,15.000000,20000000.000000,11CCK,DSSS/CCK,0.302000,0.081000,-18.070000,17.480000,17.530000,15.070000,15.070000,15.080000,-2.730000,-3.520000,-45.340000,0.140000,-0.140000,0.270000,0.150000
2432000000.000000,15.000000,20000000.000000,11CCK,DSSS/CCK,0.302000,0.080000,-18.040000,18.370000,18.380000,15.960000,15.950000,15.960000,-2.690000,-3.830000,-45.980000,0.090000,-0.330000,0.260000,0.250000
