Channel Frequency(Hz),Power Level(dBm),Channel Bandwidth(Hz),DataRate/MCS Index,Frame Format,DUT Configuration Time(s),IQ demod Meas Time(s),RMS EVM(dB),Min Peak Power(dBm),Max Peak Power(dBm),Avg. Power(dBm),Min Avg. Power(dBm),Max Avg. Power(dBm),Frequency Offset(ppm),SampleClockOffset(ppm),LO Leakage(dB),GainImbalance(dB),Skew(deg),RMS Phase Noise(deg),SpectralFlatnessMargin(dB), Min SpectralFlatnessMargin(dB),Min SFM Subcarrier Index
2417000000,4,20000000,54Mbps,OFDM,0.03,0.019,-41.53,11.76,13.44,3.43,3.31,3.51,-10,-9.45,-38.75,0.01,-0.27,0.18,1.22,1.2,26
2417000000,6,20000000,54Mbps,OFDM,0.003,0.019,-42.55,14.35,14.63,5.79,5.75,5.82,-9.97,-10.64,-38.64,0,-0.24,0.2,1.21,1.22,26
2417000000,8,20000000,54Mbps,OFDM,0.004,0.019,-41.51,16.42,17.69,8.03,7.87,8.12,-10.03,-10.62,-35.54,0,-0.16,0.23,1.21,1.2,26
2417000000,10,20000000,54Mbps,OFDM,0.003,0.017,-40.78,18.11,19.04,10.03,9.97,10.07,-10.06,-9.52,-38.41,0.01,-0.1,0.23,1.19,1.21,25
2417000000,12,20000000,54Mbps,OFDM,0.003,0.017,-38.62,20.96,21.73,11.61,11.48,11.71,-10.09,-10.59,-46.35,-0.01,0.01,0.33,1.2,1.19,26
2417000000,14,20000000,54Mbps,OFDM,0.003,0.019,-38.61,21.72,22.51,13.27,13.19,13.41,-10.02,-8.75,-42.34,0,-0.04,0.28,1.2,1.2,26
2417000000,16,20000000,54Mbps,OFDM,0.003,0.019,-37.15,23.3,23.68,15.33,15.3,15.38,-10.03,-11.7,-50.4,-0.01,-0.01,0.22,1.21,1.22,26
2417000000,18,20000000,54Mbps,OFDM,0.004,0.018,-29.83,24.1,24.36,17.26,17.23,17.29,-9.98,-10.5,-41.38,-0.01,0,0.51,1.17,1.16,26
2417000000,19,20000000,54Mbps,OFDM,0.004,0.017,-29.44,24.13,24.43,17.41,17.19,17.53,-9.97,-8.8,-41.92,0,0.06,0.35,1.21,1.21,26
2422000000,4,20000000,54Mbps,OFDM,0.03,0.018,-41.78,12.53,13.7,3.34,3.29,3.36,-9.99,-10.24,-36.91,0,-0.17,0.22,1.22,1.22,25
2422000000,6,20000000,54Mbps,OFDM,0.004,0.019,-42.94,14.77,17.02,5.77,5.72,5.86,-9.98,-9.94,-34.4,-0.02,-0.08,0.2,1.22,1.22,26
2422000000,8,20000000,54Mbps,OFDM,0.003,0.02,-41.62,16.25,17.11,8.06,7.85,8.19,-10.03,-10.09,-34.83,-0.01,0,0.24,1.21,1.2,26
2422000000,10,20000000,54Mbps,OFDM,0.003,0.02,-40.92,18.23,20.13,9.97,9.83,10.1,-10.04,-10.11,-34.37,-0.01,0,0.21,1.2,1.21,25
2422000000,12,20000000,54Mbps,OFDM,0.003,0.019,-39.74,19.75,20.71,11.68,11.52,11.82,-10.01,-8.74,-37.9,-0.02,0.01,0.25,1.2,1.19,26
2422000000,14,20000000,54Mbps,OFDM,0.003,0.017,-38.54,22,22.59,13.43,13.37,13.54,-10.1,-9.03,-40.41,-0.02,0.07,0.21,1.18,1.21,26
2422000000,16,20000000,54Mbps,OFDM,0.003,0.019,-36.31,23.61,23.98,15.28,15.18,15.38,-9.99,-12.8,-40.65,-0.02,0.06,0.29,1.22,1.22,26
2422000000,18,20000000,54Mbps,OFDM,0.003,0.018,-28.96,24.05,24.55,17.38,17.24,17.55,-9.96,-10.22,-40.17,-0.02,0.14,0.46,1.21,1.21,26
2422000000,19,20000000,54Mbps,OFDM,0.004,0.02,-27.51,24.35,24.82,17.61,17.51,17.74,-10.03,-7.5,-34,-0.01,0.12,0.76,1.2,1.21,26
2427000000,4,20000000,54Mbps,OFDM,0.029,0.018,-42.08,11.79,12.27,3.46,3.41,3.56,-10.08,-10.07,-38.01,-0.01,-0.2,0.18,1.27,1.27,26
2427000000,6,20000000,54Mbps,OFDM,0.003,0.019,-42.08,14.05,14.73,5.83,5.73,5.89,-9.94,-11.33,-42.24,0,-0.08,0.22,1.25,1.26,26
2427000000,8,20000000,54Mbps,OFDM,0.004,0.017,-41.16,15.82,18.08,7.96,7.9,8.05,-9.98,-8.74,-43.09,-0.01,-0.04,0.22,1.24,1.23,26
2427000000,10,20000000,54Mbps,OFDM,0.004,0.017,-41.14,18.61,19.27,10.05,9.99,10.11,-10.03,-10.56,-49.87,-0.02,-0.02,0.19,1.23,1.23,26
2427000000,12,20000000,54Mbps,OFDM,0.004,0.019,-39.85,19.81,21.77,11.73,11.7,11.79,-10.02,-10.13,-36.77,-0.01,-0.05,0.26,1.25,1.25,26
2427000000,14,20000000,54Mbps,OFDM,0.004,0.018,-39.13,21.07,22.63,13.4,13.36,13.44,-10,-10.83,-37.15,-0.01,0.11,0.26,1.24,1.2,26
2427000000,16,20000000,54Mbps,OFDM,0.004,0.017,-37.9,23.08,23.35,15.23,15.21,15.26,-10.01,-8.92,-34.21,-0.02,0.03,0.26,1.24,1.24,26
2427000000,18,20000000,54Mbps,OFDM,0.003,0.019,-27.99,24.27,24.45,17.37,17.32,17.43,-9.96,-6.26,-34.66,-0.01,0.06,0.51,1.24,1.25,26
2427000000,19,20000000,54Mbps,OFDM,0.003,0.019,-27.73,24.4,24.57,17.61,17.42,17.72,-10.04,-11.41,-43.49,-0.02,0,0.52,1.25,1.25,26
2432000000,4,20000000,54Mbps,OFDM,0.03,0.018,-41.8,12.48,13.5,3.44,3.37,3.48,-9.97,-9.79,-42.6,0,-0.22,0.23,1.29,1.29,26
2432000000,6,20000000,54Mbps,OFDM,0.003,0.019,-41.52,15.83,16.09,6.02,5.98,6.04,-10.04,-10.2,-41.06,0,-0.18,0.25,1.28,1.29,26
2432000000,8,20000000,54Mbps,OFDM,0.003,0.02,-41.83,16.69,17.07,8.04,7.93,8.11,-10.05,-10.08,-34.26,-0.01,-0.16,0.2,1.27,1.25,26
2432000000,10,20000000,54Mbps,OFDM,0.003,0.019,-41,18.89,19.93,9.94,9.84,10.05,-10.02,-10.29,-37.13,-0.01,-0.1,0.24,1.25,1.25,26
2432000000,12,20000000,54Mbps,OFDM,0.003,0.017,-39.65,20.29,21.11,11.62,11.57,11.68,-10.03,-9.37,-37.55,-0.02,-0.03,0.19,1.28,1.26,26
2432000000,14,20000000,54Mbps,OFDM,0.003,0.017,-38.93,22.44,22.72,13.49,13.44,13.53,-10.01,-9.73,-40.36,-0.01,0,0.28,1.26,1.27,26
2432000000,16,20000000,54Mbps,OFDM,0.003,0.017,-37.65,23.26,23.58,15.24,15.19,15.32,-10.07,-9.36,-40.54,-0.01,-0.05,0.27,1.27,1.28,26
2432000000,18,20000000,54Mbps,OFDM,0.003,0.016,-29.86,24.2,24.58,17.25,17.14,17.39,-10.04,-11.48,-36.08,-0.02,0.04,0.48,1.25,1.24,26
2432000000,19,20000000,54Mbps,OFDM,0.003,0.017,-27.6,24.31,24.44,17.54,17.47,17.66,-9.99,-9.19,-41.28,-0.01,0.05,0.64,1.27,1.28,26
2437000000,4,20000000,54Mbps,OFDM,0.03,0.02,-42.1,11.4,12.63,3.37,3.2,3.53,-10.08,-10.16,-47.81,0.01,-0.18,0.18,1.26,1.26,26
2437000000,6,20000000,54Mbps,OFDM,0.004,0.019,-41.79,15.04,15.84,5.7,5.62,5.76,-10.01,-10.08,-43.92,0.01,-0.18,0.19,1.24,1.24,26
2437000000,8,20000000,54Mbps,OFDM,0.004,0.018,-41.03,16.57,17.82,8.04,8.01,8.09,-9.98,-9.32,-37.95,0,-0.16,0.2,1.24,1.24,26
2437000000,10,20000000,54Mbps,OFDM,0.003,0.02,-40.89,18.8,20.1,10.04,9.93,10.16,-10.04,-10.15,-41.01,-0.01,-0.01,0.26,1.23,1.24,26
2437000000,12,20000000,54Mbps,OFDM,0.003,0.018,-39.07,20.85,21.13,11.69,11.65,11.72,-9.93,-10.4,-40.98,-0.02,-0.02,0.24,1.24,1.23,26
2437000000,14,20000000,54Mbps,OFDM,0.003,0.018,-38.61,22.17,23.22,13.45,13.42,13.48,-10.02,-8.95,-37.96,0,0.06,0.27,1.23,1.25,25
2437000000,16,20000000,54Mbps,OFDM,0.003,0.018,-35.87,23.44,23.94,15.24,15.22,15.28,-10.05,-8.57,-41.08,0,-0.01,0.39,1.26,1.27,26
2437000000,18,20000000,54Mbps,OFDM,0.003,0.018,-28.59,24.27,24.71,17.34,17.26,17.41,-10.08,-7.38,-38.83,0,0.01,0.59,1.24,1.25,26
2437000000,19,20000000,54Mbps,OFDM,0.003,0.018,-28.6,24.21,24.56,17.45,17.35,17.57,-9.98,-15.34,-40.05,0,-0.07,0.44,1.27,1.29,26
2442000000,4,20000000,54Mbps,OFDM,0.029,0.018,-42.05,11.75,12.09,3.4,3.32,3.45,-9.96,-10.5,-49.94,0,-0.23,0.21,1.29,1.31,26
2442000000,6,20000000,54Mbps,OFDM,0.002,0.018,-40.69,14.77,16.03,5.85,5.79,5.96,-10.08,-9.66,-41.46,0,-0.16,0.16,1.29,1.31,26
2442000000,8,20000000,54Mbps,OFDM,0.003,0.018,-41.82,16.78,17.9,8.13,8.09,8.18,-10.09,-10.46,-49.9,-0.01,-0.11,0.25,1.28,1.3,26
2442000000,10,20000000,54Mbps,OFDM,0.003,0.017,-40.66,18.29,19.06,9.95,9.82,10.14,-9.97,-9.64,-35.98,-0.01,-0.12,0.17,1.26,1.27,26
2442000000,12,20000000,54Mbps,OFDM,0.004,0.018,-38.55,20.64,21.14,11.83,11.76,11.94,-10.01,-8.35,-38.62,-0.04,-0.06,0.26,1.27,1.27,26
2442000000,14,20000000,54Mbps,OFDM,0.004,0.017,-38.66,21.99,22.98,13.5,13.45,13.55,-9.98,-9.09,-38.45,-0.01,-0.08,0.18,1.29,1.28,26
2442000000,16,20000000,54Mbps,OFDM,0.004,0.018,-37.25,23.34,23.66,15.32,15.23,15.37,-10.01,-10.25,-38.02,0,-0.04,0.29,1.29,1.28,26
2442000000,18,20000000,54Mbps,OFDM,0.003,0.019,-29.41,24.13,24.42,17.28,17.25,17.3,-10,-5.68,-34.85,0,0,0.56,1.31,1.29,26
2442000000,19,20000000,54Mbps,OFDM,0.004,0.019,-28.03,24.44,24.47,17.63,17.45,17.91,-9.99,-9.13,-37.63,0,0.06,0.43,1.32,1.31,26
2447000000,4,20000000,54Mbps,OFDM,0.03,0.017,-41.8,11.93,13.2,3.41,3.29,3.49,-10.03,-10.85,-41.51,0,-0.28,0.18,1.31,1.29,26
2447000000,6,20000000,54Mbps,OFDM,0.003,0.02,-42.15,14.91,15.76,5.88,5.81,5.98,-9.98,-10.33,-37.65,-0.01,-0.21,0.18,1.3,1.31,26
2447000000,8,20000000,54Mbps,OFDM,0.003,0.02,-41.38,17.05,18.33,8.15,8.13,8.16,-10.03,-9.57,-42.24,-0.01,-0.17,0.19,1.3,1.31,26
2447000000,10,20000000,54Mbps,OFDM,0.003,0.017,-41.22,18.62,19.64,10,9.93,10.04,-9.99,-10.23,-51.73,0.01,-0.17,0.17,1.3,1.3,26
2447000000,12,20000000,54Mbps,OFDM,0.003,0.018,-38.91,20.44,21.35,11.76,11.74,11.78,-10.03,-8.86,-42.24,-0.03,0.06,0.23,1.31,1.3,26
2447000000,14,20000000,54Mbps,OFDM,0.003,0.018,-39.27,22.26,22.87,13.54,13.49,13.59,-10.02,-10.43,-34.1,-0.02,0.04,0.27,1.31,1.32,26
2447000000,16,20000000,54Mbps,OFDM,0.002,0.02,-37.52,22.91,24,15.29,15.24,15.32,-10.07,-11.28,-42.02,-0.01,0.02,0.26,1.31,1.33,26
2447000000,18,20000000,54Mbps,OFDM,0.003,0.021,-29.77,24.34,24.54,17.32,17.26,17.41,-9.98,-9.86,-36.26,0,-0.04,0.59,1.32,1.31,26
2447000000,19,20000000,54Mbps,OFDM,0.003,0.019,-28.41,24.24,24.54,17.55,17.49,17.63,-10,-9.11,-36.3,-0.02,0,0.64,1.3,1.29,26
2452000000,4,20000000,54Mbps,OFDM,0.031,0.018,-41.46,11.94,12.96,3.44,3.37,3.55,-10,-10.46,-34.47,0.02,-0.18,0.21,1.32,1.34,26
2452000000,6,20000000,54Mbps,OFDM,0.003,0.019,-42.05,13.84,14.96,5.92,5.85,5.97,-9.98,-9.94,-37.25,0.01,-0.19,0.24,1.29,1.3,26
2452000000,8,20000000,54Mbps,OFDM,0.004,0.019,-42.11,16.13,17.56,8,7.9,8.08,-10.05,-10,-40.41,0,-0.07,0.2,1.31,1.32,26
2452000000,10,20000000,54Mbps,OFDM,0.004,0.018,-40.71,18.28,19.92,10.11,10.07,10.18,-9.97,-9.76,-39.84,0.02,-0.04,0.25,1.3,1.29,26
2452000000,12,20000000,54Mbps,OFDM,0.004,0.018,-38.29,20.52,21.2,11.6,11.49,11.66,-10.06,-7.39,-39.56,-0.01,0.05,0.23,1.32,1.32,25
2452000000,14,20000000,54Mbps,OFDM,0.003,0.018,-39.12,22.69,23.33,13.51,13.45,13.56,-10.04,-10.59,-47.54,-0.01,0.01,0.26,1.32,1.31,26
2452000000,16,20000000,54Mbps,OFDM,0.004,0.017,-35.32,23.33,24.54,15.37,15.31,15.44,-10.05,-7.77,-39.16,-0.01,0.13,0.33,1.31,1.34,26
2452000000,18,20000000,54Mbps,OFDM,0.003,0.017,-29.24,24.35,24.58,17.33,17.26,17.39,-9.99,-9.11,-36.08,0,-0.02,0.48,1.31,1.32,26
2452000000,19,20000000,54Mbps,OFDM,0.003,0.017,-29.61,24.24,24.46,17.49,17.45,17.54,-10.01,-10.03,-41.62,0.02,0.06,0.48,1.33,1.33,26
2457000000,4,20000000,54Mbps,OFDM,0.031,0.018,-42.16,11.82,13,3.44,3.38,3.5,-10.09,-10.16,-51.72,-0.01,-0.17,0.2,1.31,1.32,26
2457000000,6,20000000,54Mbps,OFDM,0.003,0.02,-42.45,13.9,14.59,5.81,5.75,5.91,-9.92,-9.53,-34.9,0,-0.15,0.22,1.32,1.32,26
2457000000,8,20000000,54Mbps,OFDM,0.003,0.019,-42.2,16.17,17.45,8.01,7.98,8.06,-10.01,-9.72,-38.11,-0.01,-0.09,0.22,1.32,1.33,25
2457000000,10,20000000,54Mbps,OFDM,0.003,0.019,-40.42,18.46,19.89,10.14,10.1,10.21,-10.07,-11.61,-40.14,-0.01,-0.08,0.24,1.31,1.32,26
2457000000,12,20000000,54Mbps,OFDM,0.003,0.018,-38.73,20.05,22.06,11.7,11.63,11.79,-9.95,-10.52,-37.29,-0.01,0.07,0.25,1.31,1.33,26
2457000000,14,20000000,54Mbps,OFDM,0.004,0.018,-38.13,22.63,23.08,13.51,13.41,13.58,-10.11,-10.42,-49.1,-0.01,0.06,0.27,1.32,1.32,26
2457000000,16,20000000,54Mbps,OFDM,0.003,0.02,-37.38,23.01,23.73,15.27,15.22,15.29,-9.96,-10.52,-49.19,0,0.02,0.19,1.32,1.3,26
2457000000,18,20000000,54Mbps,OFDM,0.003,0.019,-29.64,24.41,24.64,17.35,17.27,17.41,-10.01,-11.43,-37.17,-0.01,0.06,0.53,1.33,1.32,-25
2457000000,19,20000000,54Mbps,OFDM,0.003,0.019,-27.89,24.43,24.68,17.89,17.64,18.05,-10.05,-9.76,-37.37,0,0.08,0.6,1.35,1.35,-26
2462000000,4,20000000,54Mbps,OFDM,0.03,0.017,-40.4,11.88,13.14,3.36,3.23,3.47,-10.05,-10.1,-45.12,-0.01,-0.2,0.21,1.26,1.25,26
2462000000,6,20000000,54Mbps,OFDM,0.003,0.018,-41.86,14.07,14.9,5.74,5.7,5.77,-10.06,-9.66,-36.32,-0.01,-0.14,0.21,1.29,1.27,26
2462000000,8,20000000,54Mbps,OFDM,0.003,0.02,-41.89,17.28,17.95,8.11,8.06,8.15,-10.06,-9.85,-36.23,0,-0.13,0.23,1.3,1.31,26
2462000000,10,20000000,54Mbps,OFDM,0.003,0.019,-40.83,19.06,19.79,10.08,9.88,10.24,-10.02,-10.12,-39.64,0,-0.05,0.22,1.28,1.26,26
2462000000,12,20000000,54Mbps,OFDM,0.004,0.017,-39.36,20.41,21.41,11.76,11.74,11.79,-9.97,-9.73,-40.16,-0.01,0.01,0.22,1.28,1.28,26
2462000000,14,20000000,54Mbps,OFDM,0.004,0.017,-38.95,21.91,22.88,13.5,13.45,13.57,-9.99,-9.58,-38.68,-0.01,0.02,0.24,1.29,1.3,26
2462000000,16,20000000,54Mbps,OFDM,0.003,0.018,-37.77,23.13,23.93,15.46,15.13,15.64,-9.92,-10.7,-35.49,-0.01,0.01,0.29,1.3,1.31,25
2462000000,18,20000000,54Mbps,OFDM,0.003,0.018,-30.54,24.44,24.48,17.31,17.16,17.42,-10.02,-13.2,-34.91,-0.01,0,0.47,1.29,1.28,26
2462000000,19,20000000,54Mbps,OFDM,0.002,0.019,-30.09,24.28,24.58,17.37,17.33,17.4,-10.05,-7.18,-36.11,0,0.01,0.42,1.3,1.31,26
2467000000,4,20000000,54Mbps,OFDM,0.03,0.02,-40.06,11.48,12.89,3.39,3.36,3.41,-10.01,-9.91,-46.78,-0.01,-0.19,0.21,1.29,1.27,26
2467000000,6,20000000,54Mbps,OFDM,0.003,0.019,-41.06,14.21,15.05,5.89,5.85,5.92,-10.06,-10.29,-36.86,-0.01,-0.14,0.27,1.28,1.28,26
2467000000,8,20000000,54Mbps,OFDM,0.003,0.017,-40.81,16.7,17.91,8.08,8.06,8.11,-10.08,-9.31,-40.65,-0.01,-0.12,0.28,1.26,1.27,26
2467000000,10,20000000,54Mbps,OFDM,0.003,0.017,-39.54,18.49,19.95,10.07,10.01,10.15,-10.03,-9.83,-36.4,-0.02,-0.1,0.24,1.27,1.26,26
2467000000,12,20000000,54Mbps,OFDM,0.003,0.017,-38.35,19.75,21.44,11.75,11.72,11.8,-10.04,-11.04,-36.38,-0.01,0.11,0.25,1.26,1.26,26
2467000000,14,20000000,54Mbps,OFDM,0.003,0.018,-38.12,22.43,22.82,13.65,13.56,13.7,-10.02,-10.18,-39.59,-0.02,0,0.27,1.28,1.3,26
2467000000,16,20000000,54Mbps,OFDM,0.003,0.018,-36.86,23.52,23.95,15.49,15.19,15.66,-10,-10.73,-36.57,-0.01,-0.01,0.32,1.27,1.27,26
2467000000,18,20000000,54Mbps,OFDM,0.003,0.018,-33.28,23.96,24.79,15.85,15.7,15.99,-9.99,-6.65,-41.23,-0.02,0.01,0.36,1.29,1.28,26
2467000000,19,20000000,54Mbps,OFDM,0.003,0.018,-38.04,23.17,23.49,14.97,14.86,15.04,-10.04,-9.07,-36.65,-0.01,0.06,0.24,1.27,1.27,26
2472000000,4,20000000,54Mbps,OFDM,0.03,0.02,-41.07,12.03,12.97,3.54,3.48,3.66,-10.07,-10.14,-42.05,0,-0.27,0.28,1.21,1.19,26
2472000000,6,20000000,54Mbps,OFDM,0.003,0.018,-41.89,14.04,15.71,5.77,5.72,5.86,-10.05,-10.15,-42.07,0,-0.19,0.21,1.2,1.2,26
2472000000,8,20000000,54Mbps,OFDM,0.003,0.018,-40.78,16.24,16.7,8.11,8,8.18,-10.12,-9.4,-41.99,-0.01,-0.19,0.28,1.22,1.19,26
2472000000,10,20000000,54Mbps,OFDM,0.003,0.018,-39.45,18.24,19.36,10.09,10.06,10.13,-10.01,-8.82,-36.8,0,-0.14,0.23,1.21,1.21,26
2472000000,12,20000000,54Mbps,OFDM,0.003,0.017,-38.6,20.68,22.18,11.73,11.7,11.76,-9.96,-9.63,-41.33,-0.01,0.01,0.31,1.22,1.25,25
2472000000,14,20000000,54Mbps,OFDM,0.004,0.018,-38.49,21.81,22.72,13.63,13.56,13.68,-9.93,-9.44,-38.23,-0.01,-0.01,0.31,1.21,1.21,26
2472000000,16,20000000,54Mbps,OFDM,0.004,0.02,-37.52,23.16,23.89,15.45,15.3,15.68,-9.98,-11.25,-41.07,0,0.05,0.27,1.24,1.24,26
2472000000,18,20000000,54Mbps,OFDM,0.003,0.018,-37.05,22.64,23.97,14.24,14.06,14.32,-9.96,-11.44,-40.84,-0.01,0.01,0.31,1.21,1.21,26
2472000000,19,20000000,54Mbps,OFDM,0.003,0.018,-36.69,23.97,24.24,15.61,15.34,15.78,-9.96,-9.53,-36.63,0,-0.09,0.28,1.24,1.24,26
5180000000,1,20000000,6Mbps,OFDM,0.051,0.019,-35.02,12.05,14.53,4.43,4.18,4.58,-10.02,-9.97,-21.49,-0.02,0.06,0.38,1.28,1.24,26
5180000000,2,20000000,6Mbps,OFDM,0.003,0.018,-34.65,9.75,10.77,2.38,2.17,2.69,-10.07,-8.55,-19.61,-0.01,-0.08,0.35,1.29,1.29,26
5180000000,4,20000000,6Mbps,OFDM,0.003,0.018,-35.04,11.65,13.54,3.76,3.52,4.18,-10.08,-9.79,-20.77,-0.03,-0.05,0.37,1.3,1.3,26
5180000000,6,20000000,6Mbps,OFDM,0.003,0.02,-34.92,12.1,13.53,5.13,5.08,5.2,-10.14,-9.6,-22.17,-0.03,-0.01,0.38,1.29,1.28,26
5180000000,8,20000000,6Mbps,OFDM,0.003,0.022,-35.35,16.01,16.47,7.78,7.75,7.81,-10.09,-9.98,-24.27,0,-0.07,0.43,1.28,1.25,26
5180000000,9,20000000,6Mbps,OFDM,0.003,0.022,-36.19,17.26,17.76,8.93,8.9,8.99,-10.04,-9.81,-25.6,-0.03,0,0.44,1.28,1.29,26
5180000000,10,20000000,6Mbps,OFDM,0.004,0.019,-35.32,18.33,18.66,10.01,10,10.02,-10.05,-8.87,-27.07,-0.01,-0.06,0.38,1.27,1.29,26
5180000000,12,20000000,6Mbps,OFDM,0.003,0.019,-34.6,20.14,21.78,12.05,12.01,12.07,-10.09,-9.63,-27.54,-0.02,0.09,0.41,1.27,1.28,26
5180000000,14,20000000,6Mbps,OFDM,0.003,0.018,-34.29,22.3,22.52,14.01,13.98,14.07,-10.07,-11.71,-31.19,-0.01,0,0.46,1.26,1.25,25
5180000000,15,20000000,6Mbps,OFDM,0.003,0.018,-32.39,22.47,23.43,14.96,14.95,14.96,-10.06,-10.92,-32.26,-0.04,-0.02,0.4,1.25,1.25,26
5200000000,1,20000000,6Mbps,OFDM,0.045,0.019,-34.28,6.29,9.1,-1.45,-1.59,-1.37,-10.07,-11.72,-15.57,-0.04,-0.1,0.41,1.29,1.29,26
5200000000,2,20000000,6Mbps,OFDM,0.003,0.039,-34.84,5.3,6.54,-2.23,-2.35,-2.16,-10.13,-11.08,-14.76,-0.02,-0.07,0.39,1.3,1.32,26
5200000000,4,20000000,6Mbps,OFDM,0.003,0.019,-34.91,9.32,11.02,1.84,1.81,1.87,-10.06,-10.09,-18.67,-0.01,-0.18,0.45,1.27,1.27,26
5200000000,6,20000000,6Mbps,OFDM,0.003,0.018,-34.85,13.59,14.39,5.09,5.08,5.09,-10.06,-8.57,-22.03,-0.04,-0.21,0.42,1.29,1.26,26
5200000000,8,20000000,6Mbps,OFDM,0.003,0.02,-35.82,16.51,17.87,7.68,7.53,7.93,-10.13,-9.5,-24.13,-0.03,-0.12,0.36,1.28,1.27,26
5200000000,9,20000000,6Mbps,OFDM,0.002,0.019,-35.52,16.6,17.69,8.84,8.78,8.87,-9.98,-11.52,-25.62,-0.02,-0.14,0.42,1.31,1.35,26
5200000000,10,20000000,6Mbps,OFDM,0.002,0.019,-34.69,18.13,18.48,9.89,9.87,9.91,-10.05,-9.55,-26.58,-0.03,-0.04,0.41,1.28,1.28,26
5200000000,12,20000000,6Mbps,OFDM,0.003,0.018,-34.49,20.53,21.66,12,11.98,12.01,-10.15,-10.4,-27.1,-0.04,-0.08,0.42,1.26,1.28,26
5200000000,14,20000000,6Mbps,OFDM,0.002,0.018,-34.18,21.63,22.29,13.92,13.91,13.93,-10.06,-9.59,-30.63,-0.05,-0.16,0.42,1.25,1.26,26
5200000000,15,20000000,6Mbps,OFDM,0.003,0.018,-32.14,22.39,23.49,14.87,14.79,14.93,-10.16,-7.2,-32.13,-0.02,-0.23,0.47,1.28,1.3,-26
5220000000,1,20000000,6Mbps,OFDM,0.045,0.018,-34.37,5.9,7.31,-1.46,-1.61,-1.38,-10.05,-10.86,-15.6,-0.03,-0.18,0.4,1.3,1.27,26
5220000000,2,20000000,6Mbps,OFDM,0.003,0.02,-34.59,6.07,6.86,-1.79,-1.93,-1.6,-10.17,-9.2,-15.09,-0.04,-0.13,0.4,1.3,1.32,26
5220000000,4,20000000,6Mbps,OFDM,0.004,0.019,-34.05,9.58,11.76,1.87,1.86,1.89,-10.15,-10.82,-18.45,-0.04,0.02,0.35,1.3,1.28,26
5220000000,6,20000000,6Mbps,OFDM,0.004,0.019,-35.36,13.34,13.97,5.04,4.99,5.07,-10.11,-9.92,-21.69,-0.02,-0.29,0.48,1.3,1.31,26
5220000000,8,20000000,6Mbps,OFDM,0.004,0.02,-35.48,16.19,19.81,7.79,7.63,7.88,-10.06,-12.06,-23.86,-0.03,-0.11,0.42,1.26,1.3,26
5220000000,9,20000000,6Mbps,OFDM,0.003,0.018,-35.64,17.87,18.6,8.84,8.81,8.85,-10.15,-10.52,-24.64,-0.03,-0.16,0.41,1.3,1.31,26
5220000000,10,20000000,6Mbps,OFDM,0.003,0.018,-35.59,18.36,18.69,9.91,9.83,9.96,-10.18,-11.19,-25.62,-0.02,-0.09,0.43,1.3,1.34,25
5220000000,12,20000000,6Mbps,OFDM,0.003,0.018,-34.41,19.93,20.92,11.99,11.97,12.04,-10.19,-11.31,-26.88,-0.03,-0.08,0.42,1.28,1.26,26
5220000000,14,20000000,6Mbps,OFDM,0.003,0.018,-34.04,22.41,22.92,14.06,14.02,14.08,-10.2,-10.51,-29.41,-0.02,-0.09,0.47,1.3,1.29,-26
5220000000,15,20000000,6Mbps,OFDM,0.003,0.018,-31.83,22.87,23.66,14.96,14.86,15.03,-10.22,-11.72,-31.33,-0.03,-0.17,0.41,1.25,1.26,-26
5240000000,1,20000000,6Mbps,OFDM,0.045,0.022,-34.22,8.32,9.45,0.6,0.41,0.69,-10.12,-9.35,-18.1,-0.03,-0.06,0.47,1.29,1.32,26
5240000000,2,20000000,6Mbps,OFDM,0.003,0.035,-33.7,7.92,10.27,-0.23,-0.35,-0.01,-10.06,-10.18,-17.39,-0.02,-0.24,0.35,1.29,1.29,26
5240000000,4,20000000,6Mbps,OFDM,0.003,0.02,-34.55,9.06,10.51,1.76,1.75,1.78,-10.14,-10.37,-18.84,-0.03,0,0.31,1.27,1.28,26
5240000000,6,20000000,6Mbps,OFDM,0.003,0.019,-35.1,12.61,16.48,4.95,4.95,4.95,-10.17,-9.06,-22.39,-0.02,-0.05,0.39,1.27,1.26,26
5240000000,8,20000000,6Mbps,OFDM,0.002,0.018,-35.11,17.26,18.4,7.67,7.44,7.79,-10.14,-11.26,-24.2,-0.01,-0.22,0.44,1.26,1.25,26
5240000000,9,20000000,6Mbps,OFDM,0.003,0.02,-35.67,16.66,18.42,8.79,8.76,8.83,-10.15,-11.54,-25.46,-0.02,-0.03,0.47,1.27,1.25,26
5240000000,10,20000000,6Mbps,OFDM,0.003,0.02,-34.88,17.92,19.51,9.85,9.75,9.98,-10.12,-11.08,-26.29,0,-0.04,0.49,1.27,1.28,26
5240000000,12,20000000,6Mbps,OFDM,0.003,0.018,-34.73,19.79,21.47,12.04,12.01,12.07,-10.16,-10.44,-27.77,-0.04,-0.09,0.39,1.25,1.26,26
5240000000,14,20000000,6Mbps,OFDM,0.004,0.018,-33.93,21.81,22.33,13.94,13.91,13.95,-10.1,-8.48,-30.49,-0.04,-0.1,0.39,1.24,1.27,25
5240000000,15,20000000,6Mbps,OFDM,0.003,0.018,-33.06,22.39,23.1,14.89,14.89,14.9,-10.19,-10.1,-32.17,-0.05,-0.04,0.41,1.25,1.24,26
