Standard,Frequency(Hz),Channel BW(Hz),Data Rate/MCS Index,Frame Format,Payload Length,Power Level,PER(%),Measurment Time(s)
802.11 A/G OFDM,2427000000.000000,20000000.000000,6Mbps,OFDM,134,-26.000000,0.000000,
802.11 A/G OFDM,2427000000.000000,20000000.000000,6Mbps,OFDM,134,-31.000000,1.000000,
802.11 A/G OFDM,2427000000.000000,20000000.000000,6Mbps,OFDM,134,-36.000000,1.500000,
802.11 A/G OFDM,2427000000.000000,20000000.000000,6Mbps,OFDM,134,-41.000000,0.000000,
802.11 A/G OFDM,2427000000.000000,20000000.000000,6Mbps,OFDM,134,-46.000000,0.000000,
802.11 A/G OFDM,2427000000.000000,20000000.000000,6Mbps,OFDM,134,-51.000000,0.000000,
802.11 A/G OFDM,2427000000.000000,20000000.000000,6Mbps,OFDM,134,-56.000000,0.000000,
802.11 A/G OFDM,2427000000.000000,20000000.000000,6Mbps,OFDM,134,-61.000000,0.000000,
802.11 A/G OFDM,2427000000.000000,20000000.000000,6Mbps,OFDM,134,-66.000000,0.000000,
802.11 A/G OFDM,2427000000.000000,20000000.000000,6Mbps,OFDM,134,-71.000000,0.000000,
802.11 A/G OFDM,2427000000.000000,20000000.000000,6Mbps,OFDM,134,-76.000000,0.000000,
802.11 A/G OFDM,2427000000.000000,20000000.000000,6Mbps,OFDM,134,-81.000000,0.000000,
802.11 A/G OFDM,2427000000.000000,20000000.000000,6Mbps,OFDM,134,-81.000000,0.000000,
802.11 A/G OFDM,2427000000.000000,20000000.000000,6Mbps,OFDM,134,-82.000000,0.000000,
802.11 A/G OFDM,2427000000.000000,20000000.000000,6Mbps,OFDM,134,-83.000000,0.000000,
802.11 A/G OFDM,2427000000.000000,20000000.000000,6Mbps,OFDM,134,-84.000000,0.000000,
802.11 A/G OFDM,2427000000.000000,20000000.000000,6Mbps,OFDM,134,-85.000000,0.000000,
802.11 A/G OFDM,2427000000.000000,20000000.000000,6Mbps,OFDM,134,-86.000000,0.000000,
802.11 A/G OFDM,2427000000.000000,20000000.000000,6Mbps,OFDM,134,-87.000000,0.000000,
802.11 A/G OFDM,2427000000.000000,20000000.000000,6Mbps,OFDM,134,-88.000000,0.000000,
802.11 A/G OFDM,2427000000.000000,20000000.000000,6Mbps,OFDM,134,-89.000000,0.500000,
802.11 A/G OFDM,2427000000.000000,20000000.000000,6Mbps,OFDM,134,-90.000000,2.500000,
802.11 A/G OFDM,2427000000.000000,20000000.000000,6Mbps,OFDM,134,-91.000000,9.000000,
802.11 A/G OFDM,2427000000.000000,20000000.000000,6Mbps,OFDM,134,-92.000000,25.000000,
802.11 A/G OFDM,2427000000.000000,20000000.000000,6Mbps,OFDM,134,-93.000000,70.500000,
802.11 A/G OFDM,2427000000.000000,20000000.000000,6Mbps,OFDM,134,-94.000000,97.500000,
