Channel Frequency(Hz),Power Level(dBm),Channel Bandwidth(Hz),DataRate/MCS Index,Frame Format,DUT Configuration Time,IQ demod Meas Time,RMS EVM(dB),Min Peak Power(dBm),Max Peak Power(dBm),Avg. Power(dBm),Min Avg. Power(dBm),Max Avg. Power(dBm),Frequency Offset(ppm),SampleClockOffset(ppm),LO Leakage(dB),GainImbalance(dB),Skew(deg),RMS Phase Noise(deg),SpectralFlatnessMargin(dB), Min SpectralFlatnessMargin(dB),Min SFM Subcarrier Index
2412000000,4,20000000,0,Mixedmode,0.049,0.026,-38.65,12.98,13.8,3.2,3.17,3.24,-10.51,-10.87,-40.52,0,-0.25,0.26,1.16,1.11,27
2412000000,6,20000000,0,Mixedmode,0.049,0.028,-39.01,15.82,16.28,5.83,5.64,5.95,-10.46,-10.3,-37.84,-0.01,-0.25,0.26,1.15,1.15,27
2412000000,8,20000000,0,Mixedmode,0.049,0.023,-38.77,17.84,18.5,7.9,7.88,7.92,-10.43,-10.95,-37.95,0,-0.09,0.23,1.14,1.12,27
2412000000,10,20000000,0,Mixedmode,0.048,0.027,-37.85,19.51,20.49,9.89,9.82,10,-10.47,-9.1,-39.36,-0.01,-0.14,0.24,1.12,1.13,27
2412000000,12,20000000,0,Mixedmode,0.05,0.022,-36.99,21.87,22.56,11.5,11.32,11.6,-10.38,-9.71,-41.03,-0.02,-0.01,0.31,1.15,1.18,27
2412000000,14,20000000,0,Mixedmode,0.049,0.028,-36.67,22.06,22.5,11.86,11.6,11.99,-10.39,-8.61,-35.39,-0.02,0.02,0.29,1.13,1.15,26
2412000000,16,20000000,0,Mixedmode,0.05,0.027,-36.5,21.75,22.11,11.43,11.34,11.61,-10.44,-10.78,-36.48,-0.01,0.21,0.28,1.1,1.18,26
2412000000,18,20000000,0,Mixedmode,0.048,0.029,-36.33,21.9,22.61,11.85,11.6,11.98,-10.23,-10.53,-40.47,-0.08,0.1,0.32,1.07,1.01,26
2412000000,19,20000000,0,Mixedmode,0.049,0.023,-36.81,21.84,22.05,11.42,11.33,11.59,-10.35,-10.59,-37.38,-0.06,-0.02,0.3,1.12,1.13,27
2417000000,4,20000000,0,Mixedmode,0.048,0.027,-40.43,12.96,14.23,3.26,3.2,3.31,-10.44,-10.11,-33.91,-0.03,-0.23,0.18,1.22,1.18,27
2417000000,6,20000000,0,Mixedmode,0.048,0.022,-41.17,15.8,16.58,5.93,5.76,6.02,-10.4,-11.12,-37.85,0,-0.16,0.2,1.19,1.18,26
2417000000,8,20000000,0,Mixedmode,0.048,0.028,-41.23,18.16,18.61,8.03,8.01,8.05,-10.38,-10.65,-41.31,-0.02,-0.1,0.2,1.23,1.21,27
2417000000,10,20000000,0,Mixedmode,0.049,0.026,-40,20.05,20.66,9.95,9.91,9.97,-10.34,-11.44,-37.92,-0.02,-0.04,0.23,1.21,1.21,27
2417000000,12,20000000,0,Mixedmode,0.049,0.028,-37.05,21.29,22.44,11.52,11.38,11.73,-10.36,-9.76,-43.26,-0.05,0.11,0.25,1.17,1.17,26
2417000000,14,20000000,0,Mixedmode,0.048,0.023,-37.62,22.11,22.64,11.94,11.68,12.09,-10.33,-11.51,-37.21,-0.03,0.07,0.22,1.17,1.18,26
2417000000,16,20000000,0,Mixedmode,0.048,0.023,-37.58,21.23,22.15,11.52,11.41,11.73,-10.35,-10.28,-35.72,0,0.14,0.27,1.15,1.13,27
2417000000,18,20000000,0,Mixedmode,0.05,0.027,-37.24,22.13,22.76,12.18,12.06,12.36,-10.39,-11.88,-37.68,-0.03,-0.02,0.22,1.16,1.19,26
2417000000,19,20000000,0,Mixedmode,0.049,0.023,-37.51,21.21,22.27,11.44,11.43,11.44,-10.33,-8.69,-36.77,-0.04,0.05,0.32,1.17,1.15,27
2422000000,4,20000000,0,Mixedmode,0.049,0.027,-41.67,13.2,13.76,3.23,3.15,3.31,-10.43,-10.77,-35.06,-0.01,-0.24,0.22,1.2,1.2,27
2422000000,6,20000000,0,Mixedmode,0.049,0.022,-40.28,15.48,16.31,5.77,5.77,5.77,-10.25,-10.09,-40.36,-0.05,-0.23,0.16,1.2,1.19,26
2422000000,8,20000000,0,Mixedmode,0.048,0.028,-39.92,17.83,18.54,8.08,8.06,8.1,-10.44,-10.44,-41.87,-0.01,-0.15,0.2,1.2,1.15,27
2422000000,10,20000000,0,Mixedmode,0.049,0.024,-39.15,20.08,21.02,9.96,9.94,9.97,-10.26,-9.21,-37.62,-0.05,-0.15,0.24,1.13,1.15,26
2422000000,12,20000000,0,Mixedmode,0.048,0.027,-39.11,21.76,22.19,11.59,11.58,11.61,-10.32,-11.36,-37.83,-0.04,-0.07,0.26,1.19,1.17,26
2422000000,14,20000000,0,Mixedmode,0.05,0.022,-37.43,22.16,22.43,11.67,11.58,11.84,-10.33,-9.67,-37.78,-0.05,0.11,0.26,1.15,1.15,27
2422000000,16,20000000,0,Mixedmode,0.049,0.027,-37.39,22.07,22.88,12.16,11.91,12.29,-10.39,-10.93,-37.15,-0.05,0.07,0.26,1.17,1.19,26
2422000000,18,20000000,0,Mixedmode,0.049,0.024,-37.63,21.74,22.28,11.82,11.64,11.9,-10.39,-10.35,-37.39,-0.03,0.09,0.24,1.14,1.16,27
2422000000,19,20000000,0,Mixedmode,0.048,0.026,-37.41,21.49,22.42,11.78,11.59,11.88,-10.33,-10.45,-48.7,-0.03,0.08,0.22,1.15,1.11,27
2427000000,4,20000000,0,Mixedmode,0.049,0.022,-40.22,13.48,13.9,3.32,3.29,3.38,-10.27,-9.56,-41.58,-0.05,-0.19,0.19,1.22,1.25,26
2427000000,6,20000000,0,Mixedmode,0.049,0.028,-40.24,16.04,16.19,5.86,5.86,5.87,-10.34,-10.82,-39.17,-0.01,-0.19,0.23,1.26,1.29,26
2427000000,8,20000000,0,Mixedmode,0.049,0.025,-40.79,17.81,18.43,8,7.91,8.16,-10.31,-10.21,-48.67,-0.01,-0.1,0.2,1.21,1.23,26
2427000000,10,20000000,0,Mixedmode,0.049,0.025,-40.1,20.55,20.64,10,9.99,10.02,-10.32,-9.57,-40.85,-0.03,-0.11,0.2,1.22,1.22,26
2427000000,12,20000000,0,Mixedmode,0.049,0.027,-39.02,21.68,22.31,11.69,11.66,11.7,-10.38,-10.74,-36.67,0.01,-0.12,0.27,1.23,1.25,26
2427000000,14,20000000,0,Mixedmode,0.048,0.024,-37.18,21.42,22.44,11.75,11.67,11.91,-10.33,-9.9,-45.35,-0.04,0.03,0.27,1.19,1.18,26
2427000000,16,20000000,0,Mixedmode,0.049,0.028,-37.81,22.24,22.89,12.17,11.92,12.3,-10.43,-10.02,-38.44,-0.02,0.02,0.29,1.21,1.19,27
2427000000,18,20000000,0,Mixedmode,0.049,0.028,-37.64,22.32,22.99,12.43,12.34,12.59,-10.34,-9.96,-35.51,-0.04,0.04,0.25,1.17,1.21,26
2427000000,19,20000000,0,Mixedmode,0.049,0.026,-37.45,21.37,22.51,11.78,11.65,11.99,-10.24,-9.93,-36.26,-0.06,0.07,0.22,1.19,1.19,26
2432000000,4,20000000,0,Mixedmode,0.049,0.029,-40.59,13.42,13.87,3.29,3.2,3.35,-10.39,-10.59,-39.6,0.01,-0.26,0.27,1.23,1.21,27
2432000000,6,20000000,0,Mixedmode,0.048,0.023,-40.47,15.75,16.54,5.93,5.91,5.95,-10.27,-10.34,-37.36,-0.03,-0.12,0.2,1.28,1.29,27
2432000000,8,20000000,0,Mixedmode,0.048,0.027,-40.8,18.04,18.38,8.01,7.98,8.03,-10.34,-10.5,-37.36,-0.04,-0.17,0.2,1.26,1.29,27
2432000000,10,20000000,0,Mixedmode,0.049,0.022,-39.17,20.45,20.57,9.96,9.91,10.03,-10.37,-9.33,-43.41,0,-0.02,0.21,1.23,1.24,26
2432000000,12,20000000,0,Mixedmode,0.048,0.027,-38.48,22.06,22.24,11.79,11.77,11.82,-10.25,-8.58,-36.98,-0.04,-0.01,0.24,1.2,1.14,26
2432000000,14,20000000,0,Mixedmode,0.05,0.025,-37.39,21.88,22.5,11.82,11.68,12.02,-10.29,-10.98,-38.3,-0.05,0.1,0.25,1.2,1.18,27
2432000000,16,20000000,0,Mixedmode,0.048,0.027,-37.69,21.9,22.66,11.92,11.76,12,-10.33,-10.28,-52.49,-0.02,0.04,0.24,1.24,1.26,27
2432000000,18,20000000,0,Mixedmode,0.05,0.022,-37.16,22.02,22.81,12.27,12.05,12.41,-10.29,-9.72,-40.25,-0.03,0.01,0.26,1.2,1.16,26
2432000000,19,20000000,0,Mixedmode,0.048,0.025,-37.19,21.56,22.26,11.87,11.73,12.04,-10.33,-12.17,-37.36,0,0.08,0.28,1.22,1.21,27
2437000000,4,20000000,0,Mixedmode,0.05,0.026,-40.91,13.4,13.77,3.33,3.28,3.41,-10.29,-9.33,-41.96,-0.01,-0.16,0.24,1.23,1.23,26
2437000000,6,20000000,0,Mixedmode,0.048,0.022,-41.42,16.04,16.45,5.85,5.76,6.03,-10.36,-10.72,-37.99,0,-0.15,0.18,1.24,1.25,26
2437000000,8,20000000,0,Mixedmode,0.05,0.028,-40.46,17.65,18.53,7.99,7.98,7.99,-10.34,-10.32,-38.3,0,-0.03,0.21,1.25,1.27,27
2437000000,10,20000000,0,Mixedmode,0.048,0.023,-39.89,19.72,20.7,10.06,9.96,10.14,-10.24,-10.89,-39.19,-0.01,-0.02,0.24,1.21,1.22,27
2437000000,12,20000000,0,Mixedmode,0.049,0.028,-38.86,21.74,22.34,11.7,11.7,11.7,-10.29,-12.48,-40.37,-0.03,0.12,0.23,1.18,1.19,27
2437000000,14,20000000,0,Mixedmode,0.048,0.022,-37.92,21.23,22.18,11.51,11.43,11.66,-10.36,-11.9,-38.62,-0.03,0.19,0.23,1.2,1.19,26
2437000000,16,20000000,0,Mixedmode,0.048,0.029,-37.45,22.28,22.83,12.16,12.06,12.34,-10.26,-10.18,-37.41,-0.04,0.04,0.24,1.22,1.24,26
