Channel Frequency(Hz),Power Level(dBm),Channel Bandwidth(Hz),DataRate/MCS Index,Frame Format,DUT Configuration Time,IQ demod Meas Time,RMS EVM(dB),Min Peak Power(dBm),Max Peak Power(dBm),Avg. Power(dBm),Min Avg. Power(dBm),Max Avg. Power(dBm),Frequency Offset(ppm),SampleClockOffset(ppm),LO Leakage(dB),GainImbalance(dB),Skew(deg),RMS Phase Noise(deg),SpectralFlatnessMargin(dB), Min SpectralFlatnessMargin(dB),Min SFM Subcarrier Index
2412000000.000000,15.000000,20000000.000000,4,Mixedmode,0.302000,0.037000,-29.250000,21.820000,22.440000,14.080000,13.690000,14.330000,-12.480000,-13.880000,-43.550000,-0.030000,0.180000,0.490000,1.730000,1.700000,-1.000000
5180000000.000000,15.000000,20000000.000000,4,Mixedmode,0.302000,0.036000,-22.230000,21.850000,22.560000,15.540000,15.510000,15.580000,-12.430000,-9.210000,-48.640000,0.080000,0.530000,1.090000,1.280000,1.310000,11.000000
5700000000.000000,15.000000,20000000.000000,4,Mixedmode,0.302000,0.034000,-21.710000,19.790000,20.200000,13.610000,13.390000,13.750000,-12.350000,-12.120000,-41.660000,0.020000,0.130000,1.530000,1.530000,1.530000,-11.000000
2412000000.000000,15.000000,20000000.000000,7,Mixedmode,0.302000,0.038000,-33.800000,22.620000,22.770000,14.300000,14.260000,14.370000,-12.530000,-10.690000,-40.810000,-0.030000,0.150000,0.410000,1.710000,1.710000,-17.000000
5180000000.000000,15.000000,20000000.000000,7,Mixedmode,0.302000,0.036000,-25.920000,23.090000,23.330000,15.890000,15.810000,15.940000,-12.570000,-12.800000,-47.000000,0.110000,0.670000,0.950000,1.380000,1.420000,19.000000
5700000000.000000,15.000000,20000000.000000,7,Mixedmode,0.302000,0.035000,-25.100000,20.770000,21.010000,14.000000,13.910000,14.040000,-12.440000,-10.750000,-46.620000,-0.010000,0.230000,1.000000,1.630000,1.600000,-15.000000
