Channel Frequency(Hz),Power Level(dBm),Channel BW(Hz),DataRate/MCS Index,Frame Format,DUT Configuration Time,IQ Spectrum Meas Time,SM Violation(%) ,SMM(dB),SMM(-33MHz  -  -22MHz) ,SMM(-22MHz  -  -11MHz) ,SMM(-11MHz  -  11MHz) ,SMM(11MHz  -  22MHz) ,SMM(22MHz  -  33MHz) 
2412000000.000000,4.000000,20000000.000000,1Mbps,DSSS/CCK,0.035000,0.017000,0.000000,0.000000,10.500000,28.320000,0.000000,28.870000,10.000000
2412000000.000000,6.000000,20000000.000000,1Mbps,DSSS/CCK,0.003000,0.018000,0.000000,0.000000,11.190000,29.170000,0.000000,28.660000,10.560000
2412000000.000000,8.000000,20000000.000000,1Mbps,DSSS/CCK,0.003000,0.018000,0.000000,0.000000,12.300000,29.190000,0.000000,28.470000,11.220000
2412000000.000000,10.000000,20000000.000000,1Mbps,DSSS/CCK,0.003000,0.019000,0.000000,0.000000,9.980000,28.330000,0.000000,28.290000,9.380000
2412000000.000000,12.000000,20000000.000000,1Mbps,DSSS/CCK,0.003000,0.019000,0.000000,0.000000,10.840000,27.980000,0.000000,27.660000,10.180000
2412000000.000000,14.000000,20000000.000000,1Mbps,DSSS/CCK,0.003000,0.019000,0.000000,0.000000,9.670000,27.100000,0.000000,28.080000,8.790000
2412000000.000000,16.000000,20000000.000000,1Mbps,DSSS/CCK,0.004000,0.017000,0.000000,0.000000,8.930000,27.030000,0.000000,27.200000,8.840000
2412000000.000000,18.000000,20000000.000000,1Mbps,DSSS/CCK,0.003000,0.019000,0.000000,0.000000,7.930000,27.000000,0.000000,26.540000,6.670000
2412000000.000000,19.000000,20000000.000000,1Mbps,DSSS/CCK,0.004000,0.018000,0.000000,0.000000,9.040000,24.420000,0.000000,27.710000,8.480000
2417000000.000000,4.000000,20000000.000000,1Mbps,DSSS/CCK,0.005000,0.018000,0.000000,0.000000,4.600000,16.440000,0.000000,16.330000,3.800000
2417000000.000000,6.000000,20000000.000000,1Mbps,DSSS/CCK,0.003000,0.018000,0.000000,0.000000,10.400000,26.020000,0.000000,29.260000,10.510000
2417000000.000000,8.000000,20000000.000000,1Mbps,DSSS/CCK,0.004000,0.017000,0.000000,0.000000,10.170000,25.250000,0.000000,29.410000,9.820000
2417000000.000000,10.000000,20000000.000000,1Mbps,DSSS/CCK,0.004000,0.018000,0.000000,0.000000,9.750000,25.200000,0.000000,28.280000,10.090000
2417000000.000000,12.000000,20000000.000000,1Mbps,DSSS/CCK,0.003000,0.018000,0.000000,0.000000,10.030000,25.730000,0.000000,28.930000,10.480000
2417000000.000000,14.000000,20000000.000000,1Mbps,DSSS/CCK,0.003000,0.018000,0.000000,0.000000,11.340000,25.790000,0.000000,28.650000,10.570000
2417000000.000000,16.000000,20000000.000000,1Mbps,DSSS/CCK,0.003000,0.019000,0.000000,0.000000,9.440000,24.190000,0.000000,28.120000,9.350000
2417000000.000000,18.000000,20000000.000000,1Mbps,DSSS/CCK,0.004000,0.018000,0.000000,0.000000,7.780000,24.100000,0.000000,28.110000,7.610000
2417000000.000000,19.000000,20000000.000000,1Mbps,DSSS/CCK,0.004000,0.017000,0.000000,0.000000,8.470000,22.440000,0.000000,27.850000,7.980000
2422000000.000000,4.000000,20000000.000000,1Mbps,DSSS/CCK,0.031000,0.019000,5.910000,-6.160000,-5.800000,4.030000,0.000000,3.960000,-6.160000
2422000000.000000,6.000000,20000000.000000,1Mbps,DSSS/CCK,0.003000,0.018000,0.000000,0.000000,10.560000,23.640000,0.000000,29.470000,10.740000
2422000000.000000,8.000000,20000000.000000,1Mbps,DSSS/CCK,0.003000,0.018000,0.000000,0.000000,11.160000,24.160000,0.000000,29.780000,11.650000
2422000000.000000,10.000000,20000000.000000,1Mbps,DSSS/CCK,0.003000,0.019000,0.000000,0.000000,10.020000,23.300000,0.000000,29.260000,11.470000
2422000000.000000,12.000000,20000000.000000,1Mbps,DSSS/CCK,0.004000,0.018000,0.000000,0.000000,9.610000,23.040000,0.000000,29.370000,10.300000
2422000000.000000,14.000000,20000000.000000,1Mbps,DSSS/CCK,0.003000,0.017000,0.000000,0.000000,10.730000,23.410000,0.000000,28.490000,9.730000
2422000000.000000,16.000000,20000000.000000,1Mbps,DSSS/CCK,0.003000,0.019000,0.000000,0.000000,10.380000,22.990000,0.000000,28.430000,9.670000
2422000000.000000,18.000000,20000000.000000,1Mbps,DSSS/CCK,0.002000,0.019000,0.000000,0.000000,10.380000,23.540000,0.000000,27.820000,9.980000
2422000000.000000,19.000000,20000000.000000,1Mbps,DSSS/CCK,0.004000,0.017000,0.000000,0.000000,10.090000,22.850000,0.000000,26.950000,9.880000
2427000000.000000,4.000000,20000000.000000,1Mbps,DSSS/CCK,0.029000,0.019000,0.000000,0.000000,2.020000,7.500000,0.000000,7.530000,1.810000
2427000000.000000,6.000000,20000000.000000,1Mbps,DSSS/CCK,0.002000,0.016000,0.000000,0.000000,10.100000,25.490000,0.000000,29.570000,10.840000
2427000000.000000,8.000000,20000000.000000,1Mbps,DSSS/CCK,0.004000,0.017000,0.000000,0.000000,9.890000,24.900000,0.000000,28.710000,10.000000
2427000000.000000,10.000000,20000000.000000,1Mbps,DSSS/CCK,0.003000,0.019000,0.000000,0.000000,9.300000,24.460000,0.000000,29.560000,10.590000
2427000000.000000,12.000000,20000000.000000,1Mbps,DSSS/CCK,0.004000,0.018000,0.000000,0.000000,9.180000,24.260000,0.000000,29.130000,10.230000
2427000000.000000,14.000000,20000000.000000,1Mbps,DSSS/CCK,0.003000,0.018000,0.000000,0.000000,10.400000,24.380000,0.000000,29.260000,10.410000
2427000000.000000,16.000000,20000000.000000,1Mbps,DSSS/CCK,0.004000,0.017000,0.000000,0.000000,11.070000,24.180000,0.000000,28.250000,10.260000
2427000000.000000,18.000000,20000000.000000,1Mbps,DSSS/CCK,0.004000,0.018000,0.000000,0.000000,8.570000,22.380000,0.000000,28.400000,8.790000
2427000000.000000,19.000000,20000000.000000,1Mbps,DSSS/CCK,0.003000,0.019000,0.000000,0.000000,9.110000,23.040000,0.000000,28.510000,8.380000
2432000000.000000,4.000000,20000000.000000,1Mbps,DSSS/CCK,0.030000,0.018000,0.000000,0.000000,0.840000,7.300000,0.000000,7.360000,0.540000
2432000000.000000,6.000000,20000000.000000,1Mbps,DSSS/CCK,0.003000,0.019000,0.000000,0.000000,9.850000,25.050000,0.000000,29.390000,10.820000
2432000000.000000,8.000000,20000000.000000,1Mbps,DSSS/CCK,0.002000,0.019000,0.000000,0.000000,9.190000,24.890000,0.000000,29.290000,10.370000
2432000000.000000,10.000000,20000000.000000,1Mbps,DSSS/CCK,0.004000,0.016000,0.000000,0.000000,10.110000,25.270000,0.000000,29.070000,12.400000
2432000000.000000,12.000000,20000000.000000,1Mbps,DSSS/CCK,0.003000,0.018000,0.000000,0.000000,10.380000,24.740000,0.000000,28.890000,9.870000
2432000000.000000,14.000000,20000000.000000,1Mbps,DSSS/CCK,0.003000,0.019000,0.000000,0.000000,8.920000,24.390000,0.000000,28.330000,10.450000
2432000000.000000,16.000000,20000000.000000,1Mbps,DSSS/CCK,0.003000,0.018000,0.000000,0.000000,9.620000,24.960000,0.000000,28.110000,8.950000
2432000000.000000,18.000000,20000000.000000,1Mbps,DSSS/CCK,0.003000,0.018000,0.000000,0.000000,7.690000,25.320000,0.000000,27.600000,9.700000
2432000000.000000,19.000000,20000000.000000,1Mbps,DSSS/CCK,0.004000,0.018000,0.000000,0.000000,6.980000,24.680000,0.000000,27.270000,8.710000
2437000000.000000,4.000000,20000000.000000,1Mbps,DSSS/CCK,0.031000,0.017000,0.000000,0.000000,12.440000,28.500000,0.000000,28.370000,11.550000
2437000000.000000,6.000000,20000000.000000,1Mbps,DSSS/CCK,0.003000,0.018000,0.000000,0.000000,11.660000,27.820000,0.000000,28.470000,12.200000
2437000000.000000,8.000000,20000000.000000,1Mbps,DSSS/CCK,0.003000,0.018000,0.000000,0.000000,11.890000,27.320000,0.000000,28.250000,11.470000
2437000000.000000,10.000000,20000000.000000,1Mbps,DSSS/CCK,0.003000,0.018000,0.000000,0.000000,10.770000,27.930000,0.000000,28.360000,10.670000
2437000000.000000,12.000000,20000000.000000,1Mbps,DSSS/CCK,0.003000,0.017000,0.000000,0.000000,11.340000,27.280000,0.000000,28.450000,10.920000
2437000000.000000,14.000000,20000000.000000,1Mbps,DSSS/CCK,0.003000,0.018000,0.000000,0.000000,10.950000,26.420000,0.000000,27.940000,11.750000
2437000000.000000,16.000000,20000000.000000,1Mbps,DSSS/CCK,0.003000,0.019000,0.000000,0.000000,10.460000,25.660000,0.000000,28.630000,10.330000
2437000000.000000,18.000000,20000000.000000,1Mbps,DSSS/CCK,0.003000,0.018000,0.000000,0.000000,10.350000,24.720000,0.000000,27.800000,9.870000
2437000000.000000,19.000000,20000000.000000,1Mbps,DSSS/CCK,0.004000,0.018000,0.000000,0.000000,9.100000,25.820000,0.000000,27.140000,8.780000
2442000000.000000,4.000000,20000000.000000,1Mbps,DSSS/CCK,0.031000,0.017000,0.000000,0.000000,12.770000,27.440000,0.000000,29.080000,10.100000
2442000000.000000,6.000000,20000000.000000,1Mbps,DSSS/CCK,0.004000,0.016000,0.000000,0.000000,11.340000,26.370000,0.000000,29.270000,12.040000
2442000000.000000,8.000000,20000000.000000,1Mbps,DSSS/CCK,0.003000,0.018000,0.000000,0.000000,12.370000,27.340000,0.000000,27.950000,11.190000
2442000000.000000,10.000000,20000000.000000,1Mbps,DSSS/CCK,0.003000,0.019000,0.000000,0.000000,12.140000,27.120000,0.000000,27.820000,10.810000
2442000000.000000,12.000000,20000000.000000,1Mbps,DSSS/CCK,0.003000,0.018000,0.000000,0.000000,11.670000,26.530000,0.000000,28.310000,9.750000
2442000000.000000,14.000000,20000000.000000,1Mbps,DSSS/CCK,0.004000,0.018000,0.000000,0.000000,9.830000,25.250000,0.000000,28.220000,10.780000
2442000000.000000,16.000000,20000000.000000,1Mbps,DSSS/CCK,0.003000,0.019000,0.000000,0.000000,10.040000,25.520000,0.000000,28.340000,9.700000
2442000000.000000,18.000000,20000000.000000,1Mbps,DSSS/CCK,0.003000,0.018000,0.000000,0.000000,9.700000,26.030000,0.000000,27.040000,7.930000
2442000000.000000,19.000000,20000000.000000,1Mbps,DSSS/CCK,0.003000,0.018000,0.000000,0.000000,8.640000,25.080000,0.000000,26.480000,8.570000
2447000000.000000,4.000000,20000000.000000,1Mbps,DSSS/CCK,0.029000,0.018000,0.000000,0.000000,12.660000,27.380000,0.000000,29.110000,11.150000
2447000000.000000,6.000000,20000000.000000,1Mbps,DSSS/CCK,0.003000,0.018000,0.000000,0.000000,13.100000,28.390000,0.000000,28.730000,11.090000
2447000000.000000,8.000000,20000000.000000,1Mbps,DSSS/CCK,0.003000,0.018000,0.000000,0.000000,10.140000,26.960000,0.000000,29.210000,10.070000
2447000000.000000,10.000000,20000000.000000,1Mbps,DSSS/CCK,0.004000,0.018000,0.000000,0.000000,12.100000,27.510000,0.000000,28.810000,11.530000
2447000000.000000,12.000000,20000000.000000,1Mbps,DSSS/CCK,0.004000,0.018000,0.000000,0.000000,12.260000,27.190000,0.000000,28.800000,11.030000
2447000000.000000,14.000000,20000000.000000,1Mbps,DSSS/CCK,0.005000,0.018000,0.000000,0.000000,10.080000,27.410000,0.000000,28.690000,9.590000
2447000000.000000,16.000000,20000000.000000,1Mbps,DSSS/CCK,0.003000,0.017000,0.000000,0.000000,9.780000,26.680000,0.000000,27.920000,7.240000
2447000000.000000,18.000000,20000000.000000,1Mbps,DSSS/CCK,0.003000,0.019000,0.000000,0.000000,8.930000,26.240000,0.000000,26.580000,8.230000
2447000000.000000,19.000000,20000000.000000,1Mbps,DSSS/CCK,0.004000,0.018000,0.000000,0.000000,8.340000,26.470000,0.000000,26.690000,7.530000
2452000000.000000,4.000000,20000000.000000,1Mbps,DSSS/CCK,0.030000,0.017000,0.000000,0.000000,11.910000,28.820000,0.000000,29.920000,10.830000
2452000000.000000,6.000000,20000000.000000,1Mbps,DSSS/CCK,0.003000,0.016000,0.000000,0.000000,11.870000,29.230000,0.000000,29.350000,9.770000
2452000000.000000,8.000000,20000000.000000,1Mbps,DSSS/CCK,0.003000,0.018000,0.000000,0.000000,11.390000,28.550000,0.000000,29.550000,11.670000
