Channel Frequency(Hz),Power Level(dBm),Channel Bandwidth(Hz),DataRate/MCS Index,Frame Format,DUT Configuration Time,IQ demod Meas Time,RMS EVM(dB),Min Peak Power(dBm),Max Peak Power(dBm),Avg. Power(dBm),Min Avg. Power(dBm),Max Avg. Power(dBm),Frequency Offset(ppm),SampleClockOffset(ppm),Carrier Suppression(dB),GainImbalance(dB),Skew(deg),Ramp Up (uS),Ramp Dn(uS)
2412000000.000000,1.000000,20000000.000000,1Mbps,DSSS/CCK,0.302000,0.097000,-18.450000,3.940000,3.950000,1.250000,1.250000,1.250000,-2.000000,-2.300000,-39.900000,21474836.470000,21474836.470000,0.260000,0.080000
2412000000.000000,2.000000,20000000.000000,1Mbps,DSSS/CCK,0.302000,0.098000,-18.480000,5.030000,5.080000,2.340000,2.340000,2.340000,-2.000000,-2.230000,-42.760000,21474836.470000,21474836.470000,0.260000,0.080000
2412000000.000000,4.000000,20000000.000000,1Mbps,DSSS/CCK,0.302000,0.094000,-18.320000,6.200000,6.260000,3.610000,3.610000,3.610000,-1.980000,-2.200000,-33.770000,21474836.470000,21474836.470000,0.260000,0.080000
2412000000.000000,6.000000,20000000.000000,1Mbps,DSSS/CCK,0.303000,0.096000,-18.360000,8.190000,8.680000,5.800000,5.610000,6.150000,-1.960000,-2.240000,-36.250000,21474836.470000,21474836.470000,0.260000,0.090000
2412000000.000000,8.000000,20000000.000000,1Mbps,DSSS/CCK,0.304000,0.095000,-18.460000,10.080000,10.660000,7.920000,7.560000,8.100000,-1.950000,-2.080000,-39.530000,21474836.470000,21474836.470000,0.260000,0.080000
2412000000.000000,10.000000,20000000.000000,1Mbps,DSSS/CCK,0.302000,0.092000,-18.340000,11.800000,12.260000,9.580000,9.250000,9.740000,-1.950000,-2.210000,-35.590000,21474836.470000,21474836.470000,0.260000,0.080000
2412000000.000000,12.000000,20000000.000000,1Mbps,DSSS/CCK,0.302000,0.096000,-18.430000,14.110000,14.120000,11.650000,11.650000,11.650000,-1.930000,-2.130000,-39.160000,21474836.470000,21474836.470000,0.260000,0.080000
2412000000.000000,14.000000,20000000.000000,1Mbps,DSSS/CCK,0.302000,0.093000,-18.420000,16.080000,16.140000,13.670000,13.670000,13.670000,-1.930000,-2.100000,-36.630000,21474836.470000,21474836.470000,0.270000,0.080000
2412000000.000000,16.000000,20000000.000000,1Mbps,DSSS/CCK,7.303000,0.095000,-18.490000,17.820000,17.860000,15.450000,15.450000,15.450000,-2.020000,-2.190000,-37.420000,21474836.470000,21474836.470000,0.260000,0.080000
2432000000.000000,1.000000,20000000.000000,1Mbps,DSSS/CCK,0.302000,0.095000,-18.470000,4.880000,4.940000,2.170000,2.170000,2.170000,-1.760000,-2.090000,-49.450000,21474836.470000,21474836.470000,0.260000,0.090000
2432000000.000000,2.000000,20000000.000000,1Mbps,DSSS/CCK,0.302000,0.095000,-18.240000,5.050000,5.060000,2.450000,2.450000,2.450000,-1.740000,-2.140000,-45.280000,21474836.470000,21474836.470000,0.250000,0.080000
2432000000.000000,4.000000,20000000.000000,1Mbps,DSSS/CCK,0.302000,0.095000,-18.300000,6.990000,7.000000,4.410000,4.410000,4.410000,-1.730000,-2.020000,-47.940000,21474836.470000,21474836.470000,0.260000,0.090000
