Channel Frequency(Hz),Power Level(dBm),Channel BW(Hz),DataRate/MCS Index,Frame Format,DUT Configuration Time,IQ Spectrum Meas Time,SM Violation(%) ,SMM(dB),SMM(dB)(-33MHz  -  -30MHz) ,SMM(dB)(-30MHz  -  -20MHz) ,SMM(dB)(-20MHz  -  -11MHz) ,SMM(dB)(-11MHz  -  9MHz) ,SMM(dB)(-9MHz  -  9MHz) ,SMM(dB)(9MHz  -  11MHz) ,SMM(dB)(11MHz  -  20MHz) ,SMM(20MHz  -  33MHz) 
2412000000.000000,4.000000,20000000.000000,MCS 0,Mixedmode,0.049000,0.015000,0.000000,0.000000,10.800000,13.610000,8.980000,9.490000,0.000000,8.960000,8.950000,13.340000,10.220000
2412000000.000000,6.000000,20000000.000000,MCS 0,Mixedmode,0.049000,0.015000,0.000000,0.000000,11.900000,14.380000,10.010000,10.360000,0.000000,10.840000,10.720000,13.820000,11.670000
2412000000.000000,8.000000,20000000.000000,MCS 0,Mixedmode,0.049000,0.014000,0.000000,0.000000,10.780000,12.920000,8.230000,8.610000,0.000000,8.850000,8.380000,11.810000,9.680000
2412000000.000000,10.000000,20000000.000000,MCS 0,Mixedmode,0.048000,0.016000,0.000000,0.000000,10.760000,12.120000,10.090000,10.510000,0.000000,9.980000,9.860000,11.510000,9.660000
2412000000.000000,12.000000,20000000.000000,MCS 0,Mixedmode,0.050000,0.016000,0.000000,0.000000,9.330000,10.110000,9.380000,9.550000,0.000000,8.550000,9.090000,9.820000,8.150000
2412000000.000000,14.000000,20000000.000000,MCS 0,Mixedmode,0.049000,0.016000,0.000000,0.000000,7.760000,8.500000,8.820000,9.130000,0.000000,8.900000,8.490000,8.830000,7.170000
2412000000.000000,16.000000,20000000.000000,MCS 0,Mixedmode,0.050000,0.014000,0.000000,0.000000,5.720000,6.680000,8.230000,8.370000,0.000000,8.050000,8.300000,7.120000,5.440000
2412000000.000000,18.000000,20000000.000000,MCS 0,Mixedmode,0.048000,0.016000,0.000000,0.000000,4.100000,4.580000,9.390000,9.740000,0.000000,8.680000,8.370000,5.320000,3.980000
2412000000.000000,19.000000,20000000.000000,MCS 0,Mixedmode,0.049000,0.015000,0.000000,0.000000,3.130000,4.770000,8.780000,8.970000,0.000000,8.460000,8.320000,3.420000,2.010000
2417000000.000000,4.000000,20000000.000000,MCS 0,Mixedmode,0.048000,0.015000,0.000000,0.000000,11.530000,13.630000,8.130000,8.210000,0.000000,7.920000,7.550000,11.770000,10.530000
2417000000.000000,6.000000,20000000.000000,MCS 0,Mixedmode,0.048000,0.016000,0.000000,0.000000,12.110000,13.870000,8.230000,8.550000,0.000000,9.300000,9.350000,12.970000,10.880000
2417000000.000000,8.000000,20000000.000000,MCS 0,Mixedmode,0.048000,0.015000,0.000000,0.000000,10.500000,12.930000,9.010000,9.450000,0.000000,8.730000,9.020000,11.880000,10.070000
2417000000.000000,10.000000,20000000.000000,MCS 0,Mixedmode,0.049000,0.016000,0.000000,0.000000,9.610000,10.940000,9.420000,9.380000,0.000000,8.720000,8.230000,10.670000,8.940000
2417000000.000000,12.000000,20000000.000000,MCS 0,Mixedmode,0.049000,0.014000,0.000000,0.000000,8.720000,10.220000,8.640000,9.050000,0.000000,8.030000,8.350000,9.360000,8.410000
2417000000.000000,14.000000,20000000.000000,MCS 0,Mixedmode,0.048000,0.016000,0.000000,0.000000,7.870000,9.740000,7.710000,7.850000,0.000000,8.530000,8.440000,9.090000,7.120000
2417000000.000000,16.000000,20000000.000000,MCS 0,Mixedmode,0.048000,0.015000,0.000000,0.000000,5.920000,7.100000,8.080000,8.680000,0.000000,8.340000,8.470000,6.620000,5.780000
2417000000.000000,18.000000,20000000.000000,MCS 0,Mixedmode,0.050000,0.016000,0.000000,0.000000,4.080000,5.590000,9.100000,9.250000,0.000000,8.420000,8.650000,5.750000,3.650000
2417000000.000000,19.000000,20000000.000000,MCS 0,Mixedmode,0.049000,0.014000,0.000000,0.000000,3.990000,5.380000,10.320000,10.120000,0.000000,9.360000,9.150000,4.300000,3.830000
2422000000.000000,4.000000,20000000.000000,MCS 0,Mixedmode,0.049000,0.016000,0.000000,0.000000,11.150000,12.810000,7.990000,8.480000,0.000000,8.650000,9.040000,13.640000,10.900000
2422000000.000000,6.000000,20000000.000000,MCS 0,Mixedmode,0.049000,0.015000,0.000000,0.000000,11.700000,13.070000,8.670000,8.990000,0.000000,8.640000,8.570000,13.600000,10.410000
2422000000.000000,8.000000,20000000.000000,MCS 0,Mixedmode,0.048000,0.016000,0.000000,0.000000,10.810000,12.960000,8.660000,8.920000,0.000000,9.060000,9.150000,12.170000,10.450000
2422000000.000000,10.000000,20000000.000000,MCS 0,Mixedmode,0.049000,0.014000,0.000000,0.000000,9.740000,11.520000,8.550000,8.580000,0.000000,7.300000,7.570000,10.760000,8.620000
2422000000.000000,12.000000,20000000.000000,MCS 0,Mixedmode,0.048000,0.015000,0.000000,0.000000,9.730000,10.140000,8.510000,8.790000,0.000000,9.260000,9.410000,9.430000,9.070000
2422000000.000000,14.000000,20000000.000000,MCS 0,Mixedmode,0.050000,0.015000,0.000000,0.000000,7.950000,8.660000,8.290000,8.050000,0.000000,8.030000,8.360000,8.470000,6.920000
2422000000.000000,16.000000,20000000.000000,MCS 0,Mixedmode,0.049000,0.016000,0.000000,0.000000,6.200000,7.480000,7.070000,6.870000,0.000000,7.670000,7.870000,6.630000,5.930000
2422000000.000000,18.000000,20000000.000000,MCS 0,Mixedmode,0.049000,0.015000,0.000000,0.000000,4.340000,6.160000,9.730000,10.110000,0.000000,8.170000,8.350000,4.580000,4.090000
2422000000.000000,19.000000,20000000.000000,MCS 0,Mixedmode,0.048000,0.015000,0.000000,0.000000,3.260000,4.430000,8.590000,8.800000,0.000000,7.960000,8.010000,4.570000,3.040000
2427000000.000000,4.000000,20000000.000000,MCS 0,Mixedmode,0.049000,0.016000,0.000000,0.000000,11.240000,13.770000,7.620000,7.930000,0.000000,8.330000,8.650000,12.770000,10.540000
2427000000.000000,6.000000,20000000.000000,MCS 0,Mixedmode,0.049000,0.015000,0.000000,0.000000,10.960000,12.610000,8.180000,8.200000,0.000000,8.100000,8.040000,13.280000,11.270000
2427000000.000000,8.000000,20000000.000000,MCS 0,Mixedmode,0.049000,0.015000,0.000000,0.000000,11.440000,13.770000,8.780000,8.770000,0.000000,8.280000,8.600000,12.130000,10.680000
2427000000.000000,10.000000,20000000.000000,MCS 0,Mixedmode,0.049000,0.015000,0.000000,0.000000,10.040000,12.000000,8.520000,9.010000,0.000000,8.710000,8.760000,11.430000,8.470000
2427000000.000000,12.000000,20000000.000000,MCS 0,Mixedmode,0.049000,0.016000,0.000000,0.000000,8.920000,8.000000,9.400000,9.430000,0.000000,8.920000,8.790000,9.840000,8.660000
2427000000.000000,14.000000,20000000.000000,MCS 0,Mixedmode,0.048000,0.015000,0.000000,0.000000,7.870000,7.920000,9.090000,9.530000,0.000000,7.350000,7.570000,7.930000,6.990000
2427000000.000000,16.000000,20000000.000000,MCS 0,Mixedmode,0.049000,0.015000,0.000000,0.000000,6.900000,7.610000,8.620000,8.970000,0.000000,9.690000,9.480000,8.570000,6.390000
2427000000.000000,18.000000,20000000.000000,MCS 0,Mixedmode,0.049000,0.016000,0.000000,0.000000,3.880000,5.340000,8.260000,8.300000,0.000000,6.980000,7.150000,4.910000,3.390000
2427000000.000000,19.000000,20000000.000000,MCS 0,Mixedmode,0.049000,0.015000,0.000000,0.000000,4.370000,5.200000,8.630000,9.130000,0.000000,8.370000,8.350000,4.610000,2.850000
2432000000.000000,4.000000,20000000.000000,MCS 0,Mixedmode,0.049000,0.015000,0.000000,0.000000,11.570000,12.220000,9.010000,9.330000,0.000000,8.660000,8.890000,13.170000,10.270000
2432000000.000000,6.000000,20000000.000000,MCS 0,Mixedmode,0.048000,0.015000,0.000000,0.000000,12.280000,13.090000,10.010000,9.850000,0.000000,8.690000,8.420000,13.760000,10.480000
2432000000.000000,8.000000,20000000.000000,MCS 0,Mixedmode,0.048000,0.016000,0.000000,0.000000,11.190000,12.520000,9.470000,9.630000,0.000000,9.090000,8.770000,12.720000,10.930000
2432000000.000000,10.000000,20000000.000000,MCS 0,Mixedmode,0.049000,0.015000,0.000000,0.000000,8.830000,11.710000,8.040000,8.230000,0.000000,9.680000,9.350000,10.200000,8.900000
2432000000.000000,12.000000,20000000.000000,MCS 0,Mixedmode,0.048000,0.015000,0.000000,0.000000,9.070000,11.000000,7.550000,7.930000,0.000000,8.190000,8.470000,10.680000,8.180000
2432000000.000000,14.000000,20000000.000000,MCS 0,Mixedmode,0.050000,0.015000,0.000000,0.000000,8.140000,9.000000,9.400000,9.660000,0.000000,9.400000,9.690000,8.950000,7.010000
2432000000.000000,16.000000,20000000.000000,MCS 0,Mixedmode,0.048000,0.015000,0.000000,0.000000,6.020000,7.300000,8.430000,8.430000,0.000000,8.320000,8.530000,7.360000,6.130000
2432000000.000000,18.000000,20000000.000000,MCS 0,Mixedmode,0.050000,0.016000,0.000000,0.000000,4.400000,5.690000,8.090000,8.010000,0.000000,7.960000,7.720000,5.000000,3.690000
2432000000.000000,19.000000,20000000.000000,MCS 0,Mixedmode,0.048000,0.014000,0.000000,0.000000,3.170000,2.980000,6.770000,6.880000,0.000000,7.570000,7.820000,3.420000,2.600000
2437000000.000000,4.000000,20000000.000000,MCS 0,Mixedmode,0.050000,0.015000,0.000000,0.000000,11.660000,13.560000,8.680000,9.170000,0.000000,9.000000,9.100000,12.140000,11.320000
2437000000.000000,6.000000,20000000.000000,MCS 0,Mixedmode,0.048000,0.015000,0.000000,0.000000,12.530000,14.030000,9.800000,10.070000,0.000000,8.550000,8.660000,13.470000,10.760000
2437000000.000000,8.000000,20000000.000000,MCS 0,Mixedmode,0.050000,0.016000,0.000000,0.000000,10.980000,12.060000,8.680000,8.870000,0.000000,9.030000,8.730000,11.800000,9.930000
2437000000.000000,10.000000,20000000.000000,MCS 0,Mixedmode,0.048000,0.014000,0.000000,0.000000,9.210000,10.900000,8.380000,8.490000,0.000000,7.890000,7.820000,9.830000,8.040000
2437000000.000000,12.000000,20000000.000000,MCS 0,Mixedmode,0.049000,0.015000,0.000000,0.000000,8.560000,10.230000,8.430000,8.930000,0.000000,8.110000,8.230000,9.600000,8.130000
2437000000.000000,14.000000,20000000.000000,MCS 0,Mixedmode,0.048000,0.015000,0.000000,0.000000,7.630000,8.520000,8.970000,9.300000,0.000000,9.240000,9.420000,8.140000,7.580000
2437000000.000000,16.000000,20000000.000000,MCS 0,Mixedmode,0.048000,0.016000,0.000000,0.000000,6.450000,7.770000,9.420000,9.260000,0.000000,9.220000,9.420000,7.050000,5.980000
2437000000.000000,18.000000,20000000.000000,MCS 0,Mixedmode,0.049000,0.014000,0.000000,0.000000,4.530000,5.660000,9.620000,10.090000,0.000000,9.300000,9.290000,5.460000,3.920000
2437000000.000000,19.000000,20000000.000000,MCS 0,Mixedmode,0.049000,0.015000,0.000000,0.000000,4.230000,5.280000,8.940000,9.270000,0.000000,9.080000,9.260000,3.700000,3.190000
2442000000.000000,4.000000,20000000.000000,MCS 0,Mixedmode,0.048000,0.015000,0.000000,0.000000,11.600000,12.900000,9.310000,9.690000,0.000000,8.310000,8.420000,12.880000,10.550000
2442000000.000000,6.000000,20000000.000000,MCS 0,Mixedmode,0.048000,0.015000,0.000000,0.000000,12.130000,13.700000,9.240000,9.690000,0.000000,9.080000,9.060000,12.690000,11.090000
2442000000.000000,8.000000,20000000.000000,MCS 0,Mixedmode,0.052000,0.015000,0.000000,0.000000,10.440000,12.970000,7.980000,8.460000,0.000000,7.550000,7.190000,12.340000,10.100000
2442000000.000000,10.000000,20000000.000000,MCS 0,Mixedmode,0.048000,0.014000,0.000000,0.000000,10.000000,10.300000,8.020000,8.620000,0.000000,8.130000,8.300000,11.670000,9.490000
2442000000.000000,12.000000,20000000.000000,MCS 0,Mixedmode,0.049000,0.016000,0.000000,0.000000,8.110000,10.290000,8.370000,8.480000,0.000000,9.220000,9.390000,9.160000,7.440000
2442000000.000000,14.000000,20000000.000000,MCS 0,Mixedmode,0.048000,0.015000,0.000000,0.000000,7.310000,8.600000,9.180000,9.290000,0.000000,8.630000,8.330000,7.600000,6.360000
