Channel Frequency(Hz),Power Level(dBm),Channel BW(Hz),DataRate/MCS Index,Frame Format,DUT Configuration Time,IQ Spectrum Meas Time,SM Violation(%) ,SMM(dB),SMM(-33MHz  -  -22MHz) ,SMM(-22MHz  -  -11MHz) ,SMM(-11MHz  -  11MHz) ,SMM(11MHz  -  22MHz) ,SMM(22MHz  -  33MHz) 
2412000000.000000,15.000000,20000000.000000,1Mbps,DSSS/CCK,0.302000,0.018000,0.000000,0.000000,10.320000,12.740000,0.000000,12.470000,11.390000
2432000000.000000,15.000000,20000000.000000,1Mbps,DSSS/CCK,0.302000,0.018000,0.000000,0.000000,11.500000,11.580000,0.000000,10.790000,11.970000
2412000000.000000,15.000000,20000000.000000,11CCK,DSSS/CCK,0.302000,0.018000,0.000000,0.000000,10.980000,12.720000,0.000000,12.570000,11.480000
2432000000.000000,15.000000,20000000.000000,11CCK,DSSS/CCK,0.302000,0.018000,0.000000,0.000000,11.690000,11.810000,0.000000,11.210000,10.920000
