Channel Frequency(Hz),Power Level(dBm),Channel Bandwidth(Hz),DataRate/MCS Index,Frame Format,DUT Configuration Time,IQ demod Meas Time,RMS EVM(dB),Min Peak Power(dBm),Max Peak Power(dBm),Avg. Power(dBm),Min Avg. Power(dBm),Max Avg. Power(dBm),Frequency Offset(ppm),SampleClockOffset(ppm),LO Leakage(dB),GainImbalance(dB),Skew(deg),RMS Phase Noise(deg),SpectralFlatnessMargin(dB), Min SpectralFlatnessMargin(dB),Min SFM Subcarrier Index
2412000000.000000,1.000000,20000000.000000,0,Mixedmode,0.303000,0.032000,-35.340000,9.580000,11.220000,1.000000,0.840000,1.310000,-2.040000,-1.570000,-33.030000,-0.010000,-0.120000,0.310000,1.680000,1.700000,-16.000000
2412000000.000000,2.000000,20000000.000000,0,Mixedmode,0.302000,0.029000,-35.440000,10.380000,10.840000,2.020000,1.810000,2.350000,-2.040000,-2.190000,-34.130000,0.000000,-0.120000,0.360000,1.660000,1.680000,-16.000000
2412000000.000000,4.000000,20000000.000000,0,Mixedmode,0.303000,0.028000,-34.600000,12.180000,13.630000,3.800000,3.790000,3.820000,-2.120000,-0.430000,-37.410000,0.000000,0.170000,0.340000,1.670000,1.580000,-17.000000
2412000000.000000,6.000000,20000000.000000,0,Mixedmode,0.303000,0.027000,-34.210000,14.790000,15.960000,5.760000,5.750000,5.770000,-2.040000,2.000000,-44.940000,-0.010000,-0.040000,0.380000,1.730000,1.730000,-18.000000
2412000000.000000,8.000000,20000000.000000,0,Mixedmode,0.302000,0.028000,-35.160000,15.820000,16.980000,7.670000,7.470000,8.020000,-2.060000,-1.890000,-37.850000,-0.030000,0.130000,0.280000,1.700000,1.720000,-14.000000
2412000000.000000,10.000000,20000000.000000,0,Mixedmode,0.302000,0.029000,-33.500000,18.210000,19.580000,9.930000,9.670000,10.080000,-2.090000,-2.470000,-35.760000,-0.020000,0.180000,0.300000,1.720000,1.740000,-17.000000
2412000000.000000,12.000000,20000000.000000,0,Mixedmode,0.302000,0.028000,-31.030000,19.900000,20.140000,11.940000,11.930000,11.950000,-1.960000,-2.810000,-38.430000,-0.010000,0.080000,0.400000,1.710000,1.690000,-17.000000
2412000000.000000,14.000000,20000000.000000,0,Mixedmode,0.304000,0.028000,-26.930000,21.600000,22.470000,14.060000,14.030000,14.090000,-1.970000,-5.360000,-40.400000,-0.050000,0.210000,0.650000,1.740000,1.750000,-14.000000
2412000000.000000,16.000000,20000000.000000,0,Mixedmode,7.303000,0.028000,-22.660000,22.680000,22.970000,15.870000,15.840000,15.890000,-1.950000,-4.240000,-42.440000,-0.070000,0.480000,1.110000,1.680000,1.610000,-11.000000
2432000000.000000,1.000000,20000000.000000,0,Mixedmode,0.303000,0.028000,-34.540000,10.530000,10.880000,1.700000,1.680000,1.720000,-1.790000,-2.420000,-40.650000,-0.100000,-0.390000,0.280000,1.680000,1.670000,-17.000000
2432000000.000000,2.000000,20000000.000000,0,Mixedmode,0.302000,0.028000,-34.470000,11.520000,12.110000,2.710000,2.690000,2.720000,-1.670000,-1.890000,-41.070000,-0.080000,-0.340000,0.330000,1.680000,1.670000,-20.000000
2432000000.000000,4.000000,20000000.000000,0,Mixedmode,0.302000,0.028000,-34.220000,13.440000,13.570000,4.620000,4.610000,4.630000,-1.730000,-2.740000,-43.080000,-0.110000,-0.120000,0.320000,1.640000,1.640000,-17.000000
2432000000.000000,6.000000,20000000.000000,0,Mixedmode,0.302000,0.029000,-34.410000,14.500000,16.030000,6.290000,6.270000,6.300000,-1.800000,-2.720000,-41.360000,-0.040000,-0.180000,0.300000,1.600000,1.530000,-17.000000
2432000000.000000,8.000000,20000000.000000,0,Mixedmode,0.302000,0.029000,-34.630000,16.690000,17.030000,8.240000,8.220000,8.270000,-1.740000,-1.640000,-40.870000,-0.060000,-0.380000,0.270000,1.660000,1.720000,-17.000000
2432000000.000000,10.000000,20000000.000000,0,Mixedmode,0.303000,0.029000,-32.390000,18.720000,19.170000,10.510000,10.330000,10.820000,-1.830000,-0.300000,-35.090000,-0.080000,-0.140000,0.310000,1.690000,1.720000,-1.000000
2432000000.000000,12.000000,20000000.000000,0,Mixedmode,0.301000,0.029000,-29.650000,20.320000,20.980000,12.650000,12.190000,12.870000,-1.830000,-0.410000,-41.300000,-0.100000,-0.100000,0.390000,1.700000,1.690000,-14.000000
2432000000.000000,14.000000,20000000.000000,0,Mixedmode,0.302000,0.028000,-26.190000,22.260000,22.670000,14.750000,14.740000,14.770000,-1.640000,-4.570000,-44.610000,-0.090000,0.080000,0.520000,1.680000,1.720000,-1.000000
2432000000.000000,16.000000,20000000.000000,0,Mixedmode,7.303000,0.027000,-23.240000,23.320000,23.540000,16.420000,16.400000,16.450000,-1.730000,-9.140000,-41.130000,-0.100000,0.060000,0.940000,1.660000,1.660000,13.000000
2412000000.000000,1.000000,20000000.000000,7,Mixedmode,0.303000,0.029000,-35.070000,9.840000,10.500000,1.110000,1.100000,1.130000,-1.720000,-0.230000,-34.010000,0.010000,0.080000,0.330000,1.670000,1.650000,-17.000000
2412000000.000000,2.000000,20000000.000000,7,Mixedmode,0.302000,0.029000,-34.830000,10.840000,11.470000,2.060000,2.010000,2.090000,-1.740000,-1.130000,-34.050000,0.010000,-0.040000,0.320000,1.680000,1.680000,-17.000000
2412000000.000000,4.000000,20000000.000000,7,Mixedmode,0.302000,0.029000,-34.950000,12.990000,13.870000,3.980000,3.910000,4.070000,-1.630000,0.100000,-37.470000,0.000000,0.140000,0.300000,1.660000,1.650000,-17.000000
2412000000.000000,6.000000,20000000.000000,7,Mixedmode,0.303000,0.029000,-33.730000,14.930000,16.010000,5.910000,5.840000,6.000000,-1.760000,-1.600000,-42.570000,0.020000,0.120000,0.370000,1.670000,1.650000,-20.000000
2412000000.000000,8.000000,20000000.000000,7,Mixedmode,0.301000,0.029000,-34.840000,16.190000,16.860000,7.610000,7.550000,7.700000,-1.670000,-0.590000,-37.550000,0.030000,-0.030000,0.320000,1.650000,1.660000,-17.000000
2412000000.000000,10.000000,20000000.000000,7,Mixedmode,0.302000,0.027000,-33.030000,18.280000,18.700000,9.760000,9.620000,9.870000,-1.680000,-2.070000,-35.560000,-0.030000,0.140000,0.330000,1.740000,1.710000,-17.000000
2412000000.000000,12.000000,20000000.000000,7,Mixedmode,0.302000,0.028000,-31.110000,19.290000,19.960000,11.510000,11.440000,11.580000,-1.720000,-0.440000,-37.750000,0.000000,0.150000,0.450000,1.710000,1.720000,-17.000000
2412000000.000000,14.000000,20000000.000000,7,Mixedmode,0.302000,0.028000,-25.700000,21.460000,22.180000,13.720000,13.610000,13.780000,-1.630000,-6.330000,-41.600000,-0.050000,0.330000,0.840000,1.750000,1.770000,13.000000
2412000000.000000,16.000000,20000000.000000,7,Mixedmode,7.302000,0.028000,-22.810000,22.650000,23.300000,15.910000,15.860000,16.010000,-1.730000,-2.620000,-45.360000,-0.070000,0.600000,1.170000,1.650000,1.660000,-9.000000
2432000000.000000,1.000000,20000000.000000,7,Mixedmode,0.302000,0.028000,-34.310000,10.400000,11.750000,1.730000,1.700000,1.750000,-1.630000,-1.430000,-41.970000,-0.070000,-0.130000,0.290000,1.630000,1.630000,-20.000000
2432000000.000000,2.000000,20000000.000000,7,Mixedmode,0.303000,0.028000,-34.290000,11.340000,12.400000,2.780000,2.750000,2.810000,-1.550000,0.150000,-41.330000,-0.060000,-0.110000,0.290000,1.660000,1.660000,-20.000000
2432000000.000000,4.000000,20000000.000000,7,Mixedmode,0.304000,0.028000,-33.380000,13.520000,14.740000,4.690000,4.650000,4.720000,-1.620000,-2.030000,-44.650000,-0.090000,-0.370000,0.350000,1.610000,1.600000,-17.000000
2432000000.000000,6.000000,20000000.000000,7,Mixedmode,0.302000,0.028000,-34.770000,14.830000,15.660000,6.370000,6.350000,6.400000,-1.550000,-1.740000,-40.180000,-0.090000,-0.260000,0.350000,1.630000,1.620000,-17.000000
2432000000.000000,8.000000,20000000.000000,7,Mixedmode,0.302000,0.027000,-33.980000,16.720000,17.960000,8.240000,8.200000,8.300000,-1.560000,-0.280000,-40.220000,-0.080000,-0.110000,0.300000,1.620000,1.600000,-17.000000
2432000000.000000,10.000000,20000000.000000,7,Mixedmode,0.302000,0.030000,-32.630000,18.720000,19.080000,10.450000,10.430000,10.470000,-1.390000,-0.280000,-35.060000,-0.100000,-0.150000,0.330000,1.720000,1.740000,-14.000000
2432000000.000000,12.000000,20000000.000000,7,Mixedmode,0.302000,0.029000,-30.200000,20.200000,20.820000,12.280000,12.220000,12.350000,-1.580000,-4.020000,-37.000000,-0.090000,-0.150000,0.510000,1.690000,1.680000,-14.000000
2432000000.000000,14.000000,20000000.000000,7,Mixedmode,0.303000,0.028000,-26.500000,21.440000,22.490000,14.380000,14.360000,14.430000,-1.640000,-1.500000,-43.350000,-0.070000,0.080000,0.830000,1.600000,1.580000,-1.000000
2432000000.000000,16.000000,20000000.000000,7,Mixedmode,7.303000,0.027000,-22.880000,23.060000,24.130000,16.150000,15.950000,16.410000,-1.780000,-0.170000,-42.680000,-0.040000,0.190000,1.240000,1.610000,1.630000,-1.000000
5190000000.000000,1.000000,40000000.000000,7,Mixedmode,0.302000,0.041000,-32.200000,10.120000,10.600000,0.930000,0.900000,0.960000,-1.590000,-0.910000,-44.420000,0.020000,0.060000,0.600000,1.270000,1.330000,40.000000
5190000000.000000,2.000000,40000000.000000,7,Mixedmode,0.302000,0.042000,-32.830000,11.800000,12.230000,2.540000,2.510000,2.570000,-1.540000,-1.840000,-43.740000,0.090000,0.200000,0.580000,1.280000,1.280000,34.000000
5190000000.000000,4.000000,40000000.000000,7,Mixedmode,0.302000,0.041000,-31.350000,13.670000,13.840000,4.460000,4.430000,4.490000,-1.570000,-1.860000,-45.860000,0.100000,0.330000,0.610000,1.250000,1.200000,34.000000
5190000000.000000,6.000000,40000000.000000,7,Mixedmode,0.303000,0.041000,-30.100000,15.090000,15.710000,6.310000,6.290000,6.320000,-1.600000,-0.380000,-55.090000,0.100000,0.320000,0.550000,1.270000,1.250000,40.000000
5190000000.000000,8.000000,40000000.000000,7,Mixedmode,0.302000,0.042000,-29.640000,17.140000,18.110000,8.100000,8.060000,8.150000,-1.630000,-0.580000,-34.300000,0.080000,0.600000,0.540000,1.230000,1.240000,36.000000
5190000000.000000,10.000000,40000000.000000,7,Mixedmode,0.302000,0.041000,-28.090000,18.560000,19.030000,9.950000,9.940000,9.980000,-1.560000,-3.300000,-37.190000,0.100000,0.680000,0.690000,1.220000,1.220000,40.000000
5190000000.000000,12.000000,40000000.000000,7,Mixedmode,0.304000,0.042000,-25.900000,20.130000,20.210000,11.740000,11.680000,11.810000,-1.560000,-0.830000,-38.620000,0.120000,0.810000,0.790000,1.170000,1.170000,35.000000
5190000000.000000,14.000000,40000000.000000,7,Mixedmode,0.302000,0.041000,-22.860000,21.850000,22.020000,13.720000,13.680000,13.770000,-1.750000,-1.680000,-38.690000,0.100000,0.970000,1.130000,1.100000,1.130000,29.000000
5190000000.000000,16.000000,40000000.000000,7,Mixedmode,0.302000,0.040000,-21.060000,23.200000,23.320000,15.640000,15.620000,15.670000,-1.670000,2.880000,-37.880000,0.160000,0.740000,1.550000,1.010000,1.060000,29.000000
